model,cv_recall_at_1,cv_recall_at_10,cv_recall_at_100,cv_recall_at_1000,cv_recall_at_20,cv_recall_at_3,cv_recall_at_5,main_score,map_at_1,map_at_10,map_at_100,map_at_1000,map_at_20,map_at_3,map_at_5,mrr_at_1,mrr_at_10,mrr_at_100,mrr_at_1000,mrr_at_20,mrr_at_3,mrr_at_5,nauc_cv_recall_at_1000_diff1,nauc_cv_recall_at_1000_max,nauc_cv_recall_at_1000_std,nauc_cv_recall_at_100_diff1,nauc_cv_recall_at_100_max,nauc_cv_recall_at_100_std,nauc_cv_recall_at_10_diff1,nauc_cv_recall_at_10_max,nauc_cv_recall_at_10_std,nauc_cv_recall_at_1_diff1,nauc_cv_recall_at_1_max,nauc_cv_recall_at_1_std,nauc_cv_recall_at_20_diff1,nauc_cv_recall_at_20_max,nauc_cv_recall_at_20_std,nauc_cv_recall_at_3_diff1,nauc_cv_recall_at_3_max,nauc_cv_recall_at_3_std,nauc_cv_recall_at_5_diff1,nauc_cv_recall_at_5_max,nauc_cv_recall_at_5_std,nauc_map_at_1000_diff1,nauc_map_at_1000_max,nauc_map_at_1000_std,nauc_map_at_100_diff1,nauc_map_at_100_max,nauc_map_at_100_std,nauc_map_at_10_diff1,nauc_map_at_10_max,nauc_map_at_10_std,nauc_map_at_1_diff1,nauc_map_at_1_max,nauc_map_at_1_std,nauc_map_at_20_diff1,nauc_map_at_20_max,nauc_map_at_20_std,nauc_map_at_3_diff1,nauc_map_at_3_max,nauc_map_at_3_std,nauc_map_at_5_diff1,nauc_map_at_5_max,nauc_map_at_5_std,nauc_mrr_at_1000_diff1,nauc_mrr_at_1000_max,nauc_mrr_at_1000_std,nauc_mrr_at_100_diff1,nauc_mrr_at_100_max,nauc_mrr_at_100_std,nauc_mrr_at_10_diff1,nauc_mrr_at_10_max,nauc_mrr_at_10_std,nauc_mrr_at_1_diff1,nauc_mrr_at_1_max,nauc_mrr_at_1_std,nauc_mrr_at_20_diff1,nauc_mrr_at_20_max,nauc_mrr_at_20_std,nauc_mrr_at_3_diff1,nauc_mrr_at_3_max,nauc_mrr_at_3_std,nauc_mrr_at_5_diff1,nauc_mrr_at_5_max,nauc_mrr_at_5_std,nauc_ndcg_at_1000_diff1,nauc_ndcg_at_1000_max,nauc_ndcg_at_1000_std,nauc_ndcg_at_100_diff1,nauc_ndcg_at_100_max,nauc_ndcg_at_100_std,nauc_ndcg_at_10_diff1,nauc_ndcg_at_10_max,nauc_ndcg_at_10_std,nauc_ndcg_at_1_diff1,nauc_ndcg_at_1_max,nauc_ndcg_at_1_std,nauc_ndcg_at_20_diff1,nauc_ndcg_at_20_max,nauc_ndcg_at_20_std,nauc_ndcg_at_3_diff1,nauc_ndcg_at_3_max,nauc_ndcg_at_3_std,nauc_ndcg_at_5_diff1,nauc_ndcg_at_5_max,nauc_ndcg_at_5_std,nauc_precision_at_1000_diff1,nauc_precision_at_1000_max,nauc_precision_at_1000_std,nauc_precision_at_100_diff1,nauc_precision_at_100_max,nauc_precision_at_100_std,nauc_precision_at_10_diff1,nauc_precision_at_10_max,nauc_precision_at_10_std,nauc_precision_at_1_diff1,nauc_precision_at_1_max,nauc_precision_at_1_std,nauc_precision_at_20_diff1,nauc_precision_at_20_max,nauc_precision_at_20_std,nauc_precision_at_3_diff1,nauc_precision_at_3_max,nauc_precision_at_3_std,nauc_precision_at_5_diff1,nauc_precision_at_5_max,nauc_precision_at_5_std,nauc_recall_at_1000_diff1,nauc_recall_at_1000_max,nauc_recall_at_1000_std,nauc_recall_at_100_diff1,nauc_recall_at_100_max,nauc_recall_at_100_std,nauc_recall_at_10_diff1,nauc_recall_at_10_max,nauc_recall_at_10_std,nauc_recall_at_1_diff1,nauc_recall_at_1_max,nauc_recall_at_1_std,nauc_recall_at_20_diff1,nauc_recall_at_20_max,nauc_recall_at_20_std,nauc_recall_at_3_diff1,nauc_recall_at_3_max,nauc_recall_at_3_std,nauc_recall_at_5_diff1,nauc_recall_at_5_max,nauc_recall_at_5_std,ndcg_at_1,ndcg_at_10,ndcg_at_100,ndcg_at_1000,ndcg_at_20,ndcg_at_3,ndcg_at_5,precision_at_1,precision_at_10,precision_at_100,precision_at_1000,precision_at_20,precision_at_3,precision_at_5,recall_at_1,recall_at_10,recall_at_100,recall_at_1000,recall_at_20,recall_at_3,recall_at_5
CLIP-ViT-bigG-14-laion2B-39B-b160k,0.00505,0.00505,0.07071,0.67677,0.00505,0.00505,0.00505,0.00505,0.00505,0.00505,0.00636,0.00787,0.00505,0.00505,0.00505,0.005051,0.005051,0.006364,0.007875,0.005051,0.005051,0.005051,-0.055155,0.10021,0.567323,-0.233026,-0.048455,0.399275,1.0,-0.416854,-0.071089,1.0,-0.416854,-0.071089,1.0,-0.416854,-0.071089,1.0,-0.416854,-0.071089,1.0,-0.416854,-0.071089,0.655401,-0.314158,0.08775,0.715823,-0.347256,0.034843,1.0,-0.416854,-0.071089,1.0,-0.416854,-0.071089,1.0,-0.416854,-0.071089,1.0,-0.416854,-0.071089,1.0,-0.416854,-0.071089,0.654513,-0.313269,0.087764,0.714879,-0.346347,0.034888,1.0,-0.416854,-0.071089,1.0,-0.416854,-0.071089,1.0,-0.416854,-0.071089,1.0,-0.416854,-0.071089,1.0,-0.416854,-0.071089,0.056517,-0.014065,0.465236,0.070296,-0.152496,0.282678,1.0,-0.416854,-0.071089,1.0,-0.416854,-0.071089,1.0,-0.416854,-0.071089,1.0,-0.416854,-0.071089,1.0,-0.416854,-0.071089,-0.055155,0.10021,0.567323,-0.233026,-0.048455,0.399275,1.0,-0.416854,-0.071089,1.0,-0.416854,-0.071089,1.0,-0.416854,-0.071089,1.0,-0.416854,-0.071089,1.0,-0.416854,-0.071089,-0.055155,0.10021,0.567323,-0.233026,-0.048455,0.399275,1.0,-0.416854,-0.071089,1.0,-0.416854,-0.071089,1.0,-0.416854,-0.071089,1.0,-0.416854,-0.071089,1.0,-0.416854,-0.071089,0.00505,0.00505,0.01648,0.08528,0.00505,0.00505,0.00505,0.00505,0.00051,0.00071,0.00068,0.00025,0.00168,0.00101,0.00505,0.00505,0.07071,0.67677,0.00505,0.00505,0.00505
VLM2Vec-Full,0.00505,0.04545,0.17172,0.84343,0.07576,0.0202,0.0202,0.01395,0.00505,0.01532,0.01908,0.02114,0.01737,0.01178,0.01178,0.005051,0.01532,0.019083,0.021136,0.017367,0.011785,0.011785,0.189844,0.150282,0.576677,-0.127234,-0.089444,0.083115,0.091592,-0.062399,0.135151,1.0,-0.320058,-0.416854,-0.002843,-0.128694,0.024415,0.444791,0.007814,-0.115556,0.444791,0.007814,-0.115556,0.310834,-0.12777,-0.025227,0.313223,-0.132474,-0.041371,0.427067,-0.126026,-0.043191,1.0,-0.320058,-0.416854,0.362506,-0.138725,-0.059252,0.618397,-0.133315,-0.173589,0.618397,-0.133315,-0.173589,0.310834,-0.12777,-0.025227,0.313223,-0.132474,-0.041371,0.427067,-0.126026,-0.043191,1.0,-0.320058,-0.416854,0.362506,-0.138725,-0.059252,0.618397,-0.133315,-0.173589,0.618397,-0.133315,-0.173589,0.140073,-0.039835,0.189359,0.039839,-0.105655,0.037852,0.273355,-0.093616,0.039415,1.0,-0.320058,-0.416854,0.169063,-0.128334,-0.009968,0.555243,-0.083036,-0.151484,0.555243,-0.083036,-0.151484,0.189844,0.150282,0.576677,-0.127234,-0.089444,0.083115,0.091592,-0.062399,0.135151,1.0,-0.320058,-0.416854,-0.002843,-0.128694,0.024415,0.444791,0.007814,-0.115556,0.444791,0.007814,-0.115556,0.189844,0.150282,0.576677,-0.127234,-0.089444,0.083115,0.091592,-0.062399,0.135151,1.0,-0.320058,-0.416854,-0.002843,-0.128694,0.024415,0.444791,0.007814,-0.115556,0.444791,0.007814,-0.115556,0.00505,0.02227,0.04615,0.12475,0.02987,0.01395,0.01395,0.00505,0.00455,0.00172,0.00084,0.00379,0.00673,0.00404,0.00505,0.04545,0.17172,0.84343,0.07576,0.0202,0.0202
clip-vit-base-patch16,0.0,0.0101,0.05051,0.67677,0.01515,0.00505,0.00505,0.00253,0.0,0.00253,0.00379,0.00534,0.00298,0.00168,0.00168,0.0,0.002525,0.003789,0.005341,0.002984,0.001684,0.001684,0.466276,-0.159036,0.544075,0.220685,-0.086371,0.364397,0.060137,-0.158816,0.213246,,,,0.149181,0.003212,0.363375,-0.206994,0.099223,0.099223,-0.206994,0.099223,0.099223,0.102287,-0.05325,0.316821,0.072687,-0.027602,0.278508,-0.028907,-0.072803,0.175238,,,,0.025889,-0.011253,0.250376,-0.206994,0.099223,0.099223,-0.206994,0.099223,0.099223,0.102287,-0.05325,0.316821,0.072687,-0.027602,0.278508,-0.028907,-0.072803,0.175238,,,,0.025889,-0.011253,0.250376,-0.206994,0.099223,0.099223,-0.206994,0.099223,0.099223,0.353661,-0.138783,0.490049,0.175279,-0.063212,0.341276,0.015274,-0.11548,0.194096,,,,0.091941,-0.006683,0.309477,-0.206994,0.099223,0.099223,-0.206994,0.099223,0.099223,0.466276,-0.159036,0.544075,0.220685,-0.086371,0.364397,0.060137,-0.158816,0.213246,,,,0.149181,0.003212,0.363375,-0.206994,0.099223,0.099223,-0.206994,0.099223,0.099223,0.466276,-0.159036,0.544075,0.220685,-0.086371,0.364397,0.060137,-0.158816,0.213246,,,,0.149181,0.003212,0.363375,-0.206994,0.099223,0.099223,-0.206994,0.099223,0.099223,0.0,0.00432,0.01209,0.08309,0.00573,0.00253,0.00253,0.0,0.00101,0.00051,0.00068,0.00076,0.00168,0.00101,0.0,0.0101,0.05051,0.67677,0.01515,0.00505,0.00505
colSmol-256M,0.41919,0.5404,0.68182,0.93939,0.57576,0.46465,0.51515,0.46609,0.41919,0.45398,0.459,0.46004,0.45655,0.43855,0.45017,0.419192,0.453976,0.459003,0.460041,0.456552,0.438552,0.450168,0.574559,0.222865,0.675862,0.632419,0.061719,0.163416,0.719837,0.08852,0.06363,0.830476,0.141525,0.165717,0.694062,0.094829,0.110118,0.784114,0.08657,0.095666,0.735968,0.091536,0.056614,0.796992,0.114706,0.129956,0.796646,0.114531,0.129591,0.798693,0.114423,0.125993,0.830476,0.141525,0.165717,0.797308,0.115497,0.128766,0.811791,0.114219,0.135388,0.800809,0.114226,0.125258,0.796992,0.114706,0.129956,0.796646,0.114531,0.129591,0.798693,0.114423,0.125993,0.830476,0.141525,0.165717,0.797308,0.115497,0.128766,0.811791,0.114219,0.135388,0.800809,0.114226,0.125258,0.778,0.112211,0.139123,0.768469,0.105121,0.129192,0.780342,0.107833,0.110575,0.830476,0.141525,0.165717,0.774875,0.110237,0.121566,0.804797,0.107025,0.125266,0.785236,0.108139,0.108372,0.574559,0.222865,0.675862,0.632419,0.061719,0.163416,0.719837,0.08852,0.06363,0.830476,0.141525,0.165717,0.694062,0.094829,0.110118,0.784114,0.08657,0.095666,0.735968,0.091536,0.056614,0.574559,0.222865,0.675862,0.632419,0.061719,0.163416,0.719837,0.08852,0.06363,0.830476,0.141525,0.165717,0.694062,0.094829,0.110118,0.784114,0.08657,0.095666,0.735968,0.091536,0.056614,0.41919,0.47469,0.50295,0.53457,0.48379,0.44523,0.46609,0.41919,0.05404,0.00682,0.00094,0.02879,0.15488,0.10303,0.41919,0.5404,0.68182,0.93939,0.57576,0.46465,0.51515
colSmol-500M,0.4899,0.54545,0.64646,0.76263,0.58586,0.5101,0.52525,0.50895,0.4899,0.50611,0.50994,0.51034,0.50857,0.5,0.50354,0.489899,0.506109,0.50994,0.510341,0.508571,0.5,0.503535,0.724037,0.153278,0.78649,0.771203,0.176774,0.711542,0.842647,0.126719,0.522753,0.891791,0.154735,0.413338,0.805988,0.157093,0.626692,0.88522,0.177093,0.454092,0.86788,0.145679,0.472667,0.879034,0.158499,0.449453,0.879075,0.158725,0.449311,0.881701,0.156375,0.442697,0.891791,0.154735,0.413338,0.879681,0.157983,0.448441,0.888529,0.165836,0.433573,0.884784,0.158675,0.437102,0.879034,0.158499,0.449453,0.879075,0.158725,0.449311,0.881701,0.156375,0.442697,0.891791,0.154735,0.413338,0.879681,0.157983,0.448441,0.888529,0.165836,0.433573,0.884784,0.158675,0.437102,0.858886,0.157299,0.494951,0.860369,0.160898,0.493847,0.87305,0.150125,0.460651,0.891791,0.154735,0.413338,0.864948,0.157041,0.483783,0.887667,0.168769,0.438918,0.880758,0.155894,0.445866,0.724037,0.153278,0.78649,0.771203,0.176774,0.711542,0.842647,0.126719,0.522753,0.891791,0.154735,0.413338,0.805988,0.157093,0.626692,0.88522,0.177093,0.454092,0.86788,0.145679,0.472667,0.724037,0.153278,0.78649,0.771203,0.176774,0.711542,0.842647,0.126719,0.522753,0.891791,0.154735,0.413338,0.805988,0.157093,0.626692,0.88522,0.177093,0.454092,0.86788,0.145679,0.472667,0.4899,0.51535,0.53597,0.54983,0.52515,0.50265,0.50895,0.4899,0.05455,0.00646,0.00076,0.02929,0.17003,0.10505,0.4899,0.54545,0.64646,0.76263,0.58586,0.5101,0.52525
colnomic-embed-multimodal-3b,0.78283,0.88889,0.9798,1.0,0.91414,0.84848,0.84848,0.82227,0.78283,0.8185,0.8221,0.82222,0.82029,0.81313,0.81313,0.782828,0.818496,0.822096,0.822215,0.820287,0.813131,0.813131,,,,0.869134,0.547078,0.125302,0.898942,0.374066,-0.378386,0.952424,0.483279,-0.297681,0.913373,0.403597,-0.52756,0.945661,0.423134,-0.380503,0.945661,0.423134,-0.380503,0.946139,0.467024,-0.32569,0.946083,0.46706,-0.325313,0.944754,0.463983,-0.325425,0.952424,0.483279,-0.297681,0.945836,0.466155,-0.329267,0.948615,0.46607,-0.326829,0.948615,0.46607,-0.326829,0.946139,0.467024,-0.32569,0.946083,0.46706,-0.325313,0.944754,0.463983,-0.325425,0.952424,0.483279,-0.297681,0.945836,0.466155,-0.329267,0.948615,0.46607,-0.326829,0.948615,0.46607,-0.326829,0.944205,0.463471,-0.330279,0.942725,0.464988,-0.321035,0.93749,0.449003,-0.335578,0.952424,0.483279,-0.297681,0.94131,0.456687,-0.354191,0.947896,0.456702,-0.338756,0.947896,0.456702,-0.338756,1.0,1.0,1.0,0.869134,0.547078,0.125302,0.898942,0.374066,-0.378386,0.952424,0.483279,-0.297681,0.913373,0.403597,-0.52756,0.945661,0.423134,-0.380503,0.945661,0.423134,-0.380503,,,,0.869134,0.547078,0.125302,0.898942,0.374066,-0.378386,0.952424,0.483279,-0.297681,0.913373,0.403597,-0.52756,0.945661,0.423134,-0.380503,0.945661,0.423134,-0.380503,0.78283,0.83531,0.85422,0.85692,0.84174,0.82227,0.82227,0.78283,0.08889,0.0098,0.001,0.04571,0.28283,0.1697,0.78283,0.88889,0.9798,1.0,0.91414,0.84848,0.84848
colnomic-embed-multimodal-7b,0.77778,0.89394,0.9798,1.0,0.91919,0.82323,0.85859,0.81947,0.77778,0.81098,0.81412,0.81423,0.81275,0.79882,0.80665,0.777778,0.810977,0.814118,0.814231,0.81275,0.798822,0.80665,,,,0.967284,0.576895,-0.480947,0.906309,0.572791,-0.279004,0.96971,0.485412,-0.238404,0.903369,0.640098,-0.216743,0.934348,0.477451,-0.254501,0.915903,0.56565,-0.242603,0.95291,0.496652,-0.243038,0.952924,0.496722,-0.243271,0.951958,0.497327,-0.244337,0.96971,0.485412,-0.238404,0.952347,0.497351,-0.243114,0.954726,0.482522,-0.24156,0.952096,0.498527,-0.239286,0.95291,0.496652,-0.243038,0.952924,0.496722,-0.243271,0.951958,0.497327,-0.244337,0.96971,0.485412,-0.238404,0.952347,0.497351,-0.243114,0.954726,0.482522,-0.24156,0.952096,0.498527,-0.239286,0.949909,0.502549,-0.243865,0.950253,0.503976,-0.248867,0.944217,0.509285,-0.250134,0.96971,0.485412,-0.238404,0.945415,0.513642,-0.242269,0.949866,0.481335,-0.244477,0.944697,0.511391,-0.240047,1.0,1.0,1.0,0.967284,0.576895,-0.480947,0.906309,0.572791,-0.279004,0.96971,0.485412,-0.238404,0.903369,0.640098,-0.216743,0.934348,0.477451,-0.254501,0.915903,0.56565,-0.242603,,,,0.967284,0.576895,-0.480947,0.906309,0.572791,-0.279004,0.96971,0.485412,-0.238404,0.903369,0.640098,-0.216743,0.934348,0.477451,-0.254501,0.915903,0.56565,-0.242603,0.77778,0.83051,0.84777,0.85041,0.83691,0.80513,0.81947,0.77778,0.08939,0.0098,0.001,0.04596,0.27441,0.17172,0.77778,0.89394,0.9798,1.0,0.91919,0.82323,0.85859
colpali-v1.1,0.33838,0.44444,0.68182,0.9899,0.5101,0.39899,0.42424,0.38309,0.33838,0.37232,0.38047,0.38182,0.37653,0.36364,0.36944,0.338384,0.37232,0.380475,0.38182,0.376528,0.363636,0.369444,0.795419,0.358371,0.554119,0.585008,0.105218,-0.142634,0.739462,0.016863,-0.179907,0.8689,-0.011515,-0.210629,0.66009,0.000886,-0.189961,0.781602,0.02376,-0.188302,0.765974,0.02215,-0.194937,0.817273,0.010154,-0.198598,0.816868,0.010428,-0.198856,0.822151,0.007557,-0.199665,0.8689,-0.011515,-0.210629,0.817115,0.007127,-0.200781,0.829687,0.00894,-0.200971,0.826466,0.007771,-0.203367,0.817273,0.010154,-0.198598,0.816868,0.010428,-0.198856,0.822151,0.007557,-0.199665,0.8689,-0.011515,-0.210629,0.817115,0.007127,-0.200781,0.829687,0.00894,-0.200971,0.826466,0.007771,-0.203367,0.796657,0.018063,-0.188304,0.777591,0.02526,-0.188813,0.801765,0.010371,-0.194681,0.8689,-0.011515,-0.210629,0.782776,0.007263,-0.197804,0.817177,0.012991,-0.197691,0.811074,0.011614,-0.201211,0.795419,0.358371,0.554119,0.585008,0.105218,-0.142634,0.739462,0.016863,-0.179907,0.8689,-0.011515,-0.210629,0.66009,0.000886,-0.189961,0.781602,0.02376,-0.188302,0.765974,0.02215,-0.194937,0.795419,0.358371,0.554119,0.585008,0.105218,-0.142634,0.739462,0.016863,-0.179907,0.8689,-0.011515,-0.210629,0.66009,0.000886,-0.189961,0.781602,0.02376,-0.188302,0.765974,0.02215,-0.194937,0.33838,0.3898,0.43681,0.47549,0.40595,0.37265,0.38309,0.33838,0.04444,0.00682,0.00099,0.02551,0.133,0.08485,0.33838,0.44444,0.68182,0.9899,0.5101,0.39899,0.42424
colpali-v1.2,0.39899,0.53535,0.74747,0.9798,0.59596,0.44949,0.47475,0.4382,0.39899,0.43528,0.4426,0.44362,0.43918,0.42003,0.42609,0.39899,0.435281,0.442601,0.44362,0.439183,0.420034,0.426094,0.595583,0.77416,0.806876,0.669175,0.191779,0.073702,0.781968,0.125571,-0.108917,0.904174,0.117662,-0.180581,0.736905,0.117605,-0.096996,0.829666,0.062144,-0.15994,0.820911,0.077492,-0.136455,0.862168,0.102849,-0.16381,0.861698,0.102656,-0.163653,0.864006,0.103349,-0.164546,0.904174,0.117662,-0.180581,0.861474,0.101824,-0.164887,0.872049,0.093952,-0.174882,0.869792,0.096569,-0.169524,0.862168,0.102849,-0.16381,0.861698,0.102656,-0.163653,0.864006,0.103349,-0.164546,0.904174,0.117662,-0.180581,0.861474,0.101824,-0.164887,0.872049,0.093952,-0.174882,0.869792,0.096569,-0.169524,0.845969,0.112154,-0.143429,0.832893,0.112088,-0.134061,0.844782,0.107096,-0.151688,0.904174,0.117662,-0.180581,0.835285,0.103753,-0.1507,0.861262,0.085867,-0.171214,0.857485,0.091405,-0.161606,0.595583,0.77416,0.806876,0.669175,0.191779,0.073702,0.781968,0.125571,-0.108917,0.904174,0.117662,-0.180581,0.736905,0.117605,-0.096996,0.829666,0.062144,-0.15994,0.820911,0.077492,-0.136455,0.595583,0.77416,0.806876,0.669175,0.191779,0.073702,0.781968,0.125571,-0.108917,0.904174,0.117662,-0.180581,0.736905,0.117605,-0.096996,0.829666,0.062144,-0.15994,0.820911,0.077492,-0.136455,0.39899,0.45888,0.50103,0.53004,0.47382,0.42755,0.4382,0.39899,0.05354,0.00747,0.00098,0.0298,0.14983,0.09495,0.39899,0.53535,0.74747,0.9798,0.59596,0.44949,0.47475
colpali-v1.3,0.38384,0.50505,0.73737,0.99495,0.56566,0.44444,0.4596,0.42596,0.38384,0.42026,0.42774,0.42882,0.42442,0.41077,0.41456,0.383838,0.420264,0.427735,0.428821,0.424422,0.410774,0.414562,0.721703,0.358371,0.721703,0.594482,0.285434,-0.106735,0.745054,0.091952,-0.29675,0.830863,0.104977,-0.285006,0.687333,0.125716,-0.264487,0.778096,0.07345,-0.324209,0.777262,0.108952,-0.312969,0.799661,0.10474,-0.290529,0.79935,0.104963,-0.290543,0.803621,0.100874,-0.296039,0.830863,0.104977,-0.285006,0.800244,0.102754,-0.293376,0.807435,0.093837,-0.301018,0.807267,0.102657,-0.298204,0.799661,0.10474,-0.290529,0.79935,0.104963,-0.290543,0.803621,0.100874,-0.296039,0.830863,0.104977,-0.285006,0.800244,0.102754,-0.293376,0.807435,0.093837,-0.301018,0.807267,0.102657,-0.298204,0.784735,0.112691,-0.278368,0.769702,0.125755,-0.268049,0.790013,0.098981,-0.296802,0.830863,0.104977,-0.285006,0.777159,0.106725,-0.288361,0.799918,0.088736,-0.3069,0.799611,0.103953,-0.302054,0.721703,0.358371,0.721703,0.594482,0.285434,-0.106735,0.745054,0.091952,-0.29675,0.830863,0.104977,-0.285006,0.687333,0.125716,-0.264487,0.778096,0.07345,-0.324209,0.777262,0.108952,-0.312969,0.721703,0.358371,0.721703,0.594482,0.285434,-0.106735,0.745054,0.091952,-0.29675,0.830863,0.104977,-0.285006,0.687333,0.125716,-0.264487,0.778096,0.07345,-0.324209,0.777262,0.108952,-0.312969,0.38384,0.4403,0.48528,0.51736,0.45556,0.41943,0.42596,0.38384,0.05051,0.00737,0.00099,0.02828,0.14815,0.09192,0.38384,0.50505,0.73737,0.99495,0.56566,0.44444,0.4596
