model,cv_recall_at_1,cv_recall_at_10,cv_recall_at_100,cv_recall_at_1000,cv_recall_at_20,cv_recall_at_3,cv_recall_at_5,main_score,map_at_1,map_at_10,map_at_100,map_at_1000,map_at_20,map_at_3,map_at_5,mrr_at_1,mrr_at_10,mrr_at_100,mrr_at_1000,mrr_at_20,mrr_at_3,mrr_at_5,nauc_cv_recall_at_1000_diff1,nauc_cv_recall_at_1000_max,nauc_cv_recall_at_1000_std,nauc_cv_recall_at_100_diff1,nauc_cv_recall_at_100_max,nauc_cv_recall_at_100_std,nauc_cv_recall_at_10_diff1,nauc_cv_recall_at_10_max,nauc_cv_recall_at_10_std,nauc_cv_recall_at_1_diff1,nauc_cv_recall_at_1_max,nauc_cv_recall_at_1_std,nauc_cv_recall_at_20_diff1,nauc_cv_recall_at_20_max,nauc_cv_recall_at_20_std,nauc_cv_recall_at_3_diff1,nauc_cv_recall_at_3_max,nauc_cv_recall_at_3_std,nauc_cv_recall_at_5_diff1,nauc_cv_recall_at_5_max,nauc_cv_recall_at_5_std,nauc_map_at_1000_diff1,nauc_map_at_1000_max,nauc_map_at_1000_std,nauc_map_at_100_diff1,nauc_map_at_100_max,nauc_map_at_100_std,nauc_map_at_10_diff1,nauc_map_at_10_max,nauc_map_at_10_std,nauc_map_at_1_diff1,nauc_map_at_1_max,nauc_map_at_1_std,nauc_map_at_20_diff1,nauc_map_at_20_max,nauc_map_at_20_std,nauc_map_at_3_diff1,nauc_map_at_3_max,nauc_map_at_3_std,nauc_map_at_5_diff1,nauc_map_at_5_max,nauc_map_at_5_std,nauc_mrr_at_1000_diff1,nauc_mrr_at_1000_max,nauc_mrr_at_1000_std,nauc_mrr_at_100_diff1,nauc_mrr_at_100_max,nauc_mrr_at_100_std,nauc_mrr_at_10_diff1,nauc_mrr_at_10_max,nauc_mrr_at_10_std,nauc_mrr_at_1_diff1,nauc_mrr_at_1_max,nauc_mrr_at_1_std,nauc_mrr_at_20_diff1,nauc_mrr_at_20_max,nauc_mrr_at_20_std,nauc_mrr_at_3_diff1,nauc_mrr_at_3_max,nauc_mrr_at_3_std,nauc_mrr_at_5_diff1,nauc_mrr_at_5_max,nauc_mrr_at_5_std,nauc_ndcg_at_1000_diff1,nauc_ndcg_at_1000_max,nauc_ndcg_at_1000_std,nauc_ndcg_at_100_diff1,nauc_ndcg_at_100_max,nauc_ndcg_at_100_std,nauc_ndcg_at_10_diff1,nauc_ndcg_at_10_max,nauc_ndcg_at_10_std,nauc_ndcg_at_1_diff1,nauc_ndcg_at_1_max,nauc_ndcg_at_1_std,nauc_ndcg_at_20_diff1,nauc_ndcg_at_20_max,nauc_ndcg_at_20_std,nauc_ndcg_at_3_diff1,nauc_ndcg_at_3_max,nauc_ndcg_at_3_std,nauc_ndcg_at_5_diff1,nauc_ndcg_at_5_max,nauc_ndcg_at_5_std,nauc_precision_at_1000_diff1,nauc_precision_at_1000_max,nauc_precision_at_1000_std,nauc_precision_at_100_diff1,nauc_precision_at_100_max,nauc_precision_at_100_std,nauc_precision_at_10_diff1,nauc_precision_at_10_max,nauc_precision_at_10_std,nauc_precision_at_1_diff1,nauc_precision_at_1_max,nauc_precision_at_1_std,nauc_precision_at_20_diff1,nauc_precision_at_20_max,nauc_precision_at_20_std,nauc_precision_at_3_diff1,nauc_precision_at_3_max,nauc_precision_at_3_std,nauc_precision_at_5_diff1,nauc_precision_at_5_max,nauc_precision_at_5_std,nauc_recall_at_1000_diff1,nauc_recall_at_1000_max,nauc_recall_at_1000_std,nauc_recall_at_100_diff1,nauc_recall_at_100_max,nauc_recall_at_100_std,nauc_recall_at_10_diff1,nauc_recall_at_10_max,nauc_recall_at_10_std,nauc_recall_at_1_diff1,nauc_recall_at_1_max,nauc_recall_at_1_std,nauc_recall_at_20_diff1,nauc_recall_at_20_max,nauc_recall_at_20_std,nauc_recall_at_3_diff1,nauc_recall_at_3_max,nauc_recall_at_3_std,nauc_recall_at_5_diff1,nauc_recall_at_5_max,nauc_recall_at_5_std,ndcg_at_1,ndcg_at_10,ndcg_at_100,ndcg_at_1000,ndcg_at_20,ndcg_at_3,ndcg_at_5,precision_at_1,precision_at_10,precision_at_100,precision_at_1000,precision_at_20,precision_at_3,precision_at_5,recall_at_1,recall_at_10,recall_at_100,recall_at_1000,recall_at_20,recall_at_3,recall_at_5
CLIP-ViT-bigG-14-laion2B-39B-b160k,0.01203,0.03877,0.1377,0.77139,0.0615,0.02139,0.02607,0.01937,0.01203,0.01888,0.02202,0.02365,0.02044,0.01604,0.01715,0.012032,0.018888,0.02203,0.023657,0.020411,0.016043,0.017146,0.083415,0.218111,0.15252,0.12183,0.354092,0.344902,0.366618,0.521332,0.525808,0.745343,0.64173,0.483983,0.252563,0.42336,0.462933,0.490322,0.645188,0.609758,0.44027,0.571576,0.53997,0.46181,0.552546,0.497448,0.468736,0.560743,0.505622,0.539048,0.603129,0.534152,0.745343,0.64173,0.483983,0.502691,0.578248,0.5224,0.597726,0.645966,0.55705,0.573532,0.618526,0.533049,0.461419,0.552271,0.496755,0.468518,0.56054,0.504771,0.538539,0.602948,0.533536,0.745343,0.64173,0.483983,0.502971,0.577413,0.521639,0.597726,0.645966,0.55705,0.573532,0.618526,0.533049,0.256205,0.390887,0.350298,0.278638,0.451051,0.428217,0.472196,0.573181,0.532784,0.745343,0.64173,0.483983,0.390333,0.514427,0.500424,0.563884,0.645808,0.573668,0.528788,0.603532,0.536188,0.083415,0.218111,0.15252,0.118816,0.353489,0.348101,0.366618,0.521332,0.525808,0.745343,0.64173,0.483983,0.250908,0.42956,0.46508,0.490322,0.645188,0.609758,0.44027,0.571576,0.53997,0.083415,0.218111,0.15252,0.118816,0.353489,0.348101,0.366618,0.521332,0.525808,0.745343,0.64173,0.483983,0.250908,0.42956,0.46508,0.490322,0.645188,0.609758,0.44027,0.571576,0.53997,0.01203,0.02352,0.04264,0.1147,0.02935,0.01741,0.01937,0.01203,0.00388,0.00138,0.00077,0.00311,0.00713,0.00521,0.01203,0.03877,0.1377,0.77139,0.06217,0.02139,0.02607
VLM2Vec-Full,0.00468,0.03944,0.20789,0.87701,0.06618,0.01805,0.02607,0.01584,0.00468,0.01412,0.01883,0.02087,0.01594,0.01058,0.01246,0.004679,0.014121,0.018828,0.020867,0.015943,0.010584,0.012455,0.101487,0.200612,0.155925,0.067025,0.077165,0.142887,0.075843,0.064801,0.212446,0.373724,0.395509,0.140118,0.121521,0.0939,0.187041,0.008816,-0.05098,0.028371,0.111231,-0.005769,0.100965,0.119471,0.080637,0.121472,0.120365,0.077871,0.121556,0.122293,0.070139,0.124622,0.373724,0.395509,0.140118,0.129314,0.07741,0.127376,0.102862,0.043635,0.046697,0.139256,0.052438,0.080564,0.119471,0.080637,0.121472,0.120365,0.077871,0.121556,0.122293,0.070139,0.124622,0.373724,0.395509,0.140118,0.129314,0.07741,0.127376,0.102862,0.043635,0.046697,0.139256,0.052438,0.080564,0.096545,0.109889,0.137599,0.087931,0.077337,0.136908,0.100157,0.063884,0.161576,0.373724,0.395509,0.140118,0.121989,0.08194,0.158539,0.068124,0.007983,0.039567,0.126114,0.027168,0.087726,0.101487,0.200612,0.155925,0.067025,0.077165,0.142887,0.075843,0.064801,0.212446,0.373724,0.395509,0.140118,0.121521,0.0939,0.187041,0.008816,-0.05098,0.028371,0.111231,-0.005769,0.100965,0.101487,0.200612,0.155925,0.067025,0.077165,0.142887,0.075843,0.064801,0.212446,0.373724,0.395509,0.140118,0.121521,0.0939,0.187041,0.008816,-0.05098,0.028371,0.111231,-0.005769,0.100965,0.00468,0.02004,0.05153,0.12969,0.02676,0.0125,0.01584,0.00468,0.00394,0.00208,0.00088,0.00331,0.00602,0.00521,0.00468,0.03944,0.20789,0.87701,0.06618,0.01805,0.02607
clip-vit-base-patch16,0.00401,0.01203,0.08356,0.73997,0.02072,0.00668,0.00869,0.0063,0.00401,0.00593,0.00781,0.00953,0.00653,0.00501,0.00551,0.004011,0.005925,0.007809,0.009528,0.006532,0.005013,0.005515,-0.108277,0.026664,0.03352,-0.048336,0.119713,0.080174,0.176173,0.231277,0.148231,0.359447,0.686351,0.482938,0.135563,0.216083,0.126965,0.141027,0.330489,0.234775,0.21792,0.350164,0.250496,0.173999,0.343013,0.237934,0.186683,0.364469,0.251908,0.264752,0.455108,0.318952,0.359447,0.686351,0.482938,0.247966,0.42836,0.297268,0.261585,0.501829,0.349131,0.280917,0.494003,0.344928,0.173999,0.343013,0.237934,0.186683,0.364469,0.251908,0.264752,0.455108,0.318952,0.359447,0.686351,0.482938,0.247966,0.42836,0.297268,0.261585,0.501829,0.349131,0.280917,0.494003,0.344928,-0.012568,0.119891,0.088749,0.030248,0.192915,0.130153,0.230552,0.370378,0.255683,0.359447,0.686351,0.482938,0.195997,0.327629,0.218188,0.224563,0.448417,0.313296,0.258796,0.443937,0.311871,-0.108277,0.026664,0.03352,-0.048336,0.119713,0.080174,0.176173,0.231277,0.148231,0.359447,0.686351,0.482938,0.135563,0.216083,0.126965,0.141027,0.330489,0.234775,0.21792,0.350164,0.250496,-0.108277,0.026664,0.03352,-0.048336,0.119713,0.080174,0.176173,0.231277,0.148231,0.359447,0.686351,0.482938,0.135563,0.216083,0.126965,0.141027,0.330489,0.234775,0.21792,0.350164,0.250496,0.00401,0.00734,0.02052,0.09526,0.00955,0.00544,0.0063,0.00401,0.0012,0.00084,0.00074,0.00104,0.00223,0.00174,0.00401,0.01203,0.08356,0.73997,0.02072,0.00668,0.00869
colSmol-256M,0.02406,0.0762,0.19051,0.80749,0.09291,0.04479,0.05348,0.03965,0.02406,0.03816,0.04153,0.04324,0.03929,0.03309,0.03506,0.024064,0.038156,0.041533,0.043243,0.039294,0.033088,0.03506,-0.04531,0.010888,0.068266,0.103803,0.146207,0.340667,0.214419,0.094768,0.373086,0.57492,0.02125,0.270853,0.194516,0.122759,0.370202,0.373467,0.08292,0.372802,0.335105,0.066309,0.332113,0.373952,0.073644,0.331524,0.376212,0.0749,0.335644,0.399879,0.06441,0.332362,0.57492,0.02125,0.270853,0.392436,0.070177,0.332121,0.459275,0.06048,0.331328,0.440535,0.057002,0.320709,0.373952,0.073644,0.331524,0.376212,0.0749,0.335644,0.399879,0.06441,0.332362,0.57492,0.02125,0.270853,0.392436,0.070177,0.332121,0.459275,0.06048,0.331328,0.440535,0.057002,0.320709,0.228887,0.075157,0.279321,0.249131,0.108063,0.344688,0.33095,0.075673,0.347777,0.57492,0.02125,0.270853,0.313431,0.090371,0.347641,0.432087,0.067732,0.344542,0.405087,0.060687,0.325439,-0.04531,0.010888,0.068266,0.103803,0.146207,0.340667,0.214419,0.094768,0.373086,0.57492,0.02125,0.270853,0.194516,0.122759,0.370202,0.373467,0.08292,0.372802,0.335105,0.066309,0.332113,-0.04531,0.010888,0.068266,0.103803,0.146207,0.340667,0.214419,0.094768,0.373086,0.57492,0.02125,0.270853,0.194516,0.122759,0.370202,0.373467,0.08292,0.372802,0.335105,0.066309,0.332113,0.02406,0.04707,0.0688,0.13961,0.05126,0.03609,0.03965,0.02406,0.00762,0.00191,0.00081,0.00465,0.01493,0.0107,0.02406,0.0762,0.19051,0.80749,0.09291,0.04479,0.05348
colSmol-500M,0.03275,0.08222,0.22995,0.82754,0.10628,0.04947,0.0615,0.04728,0.03275,0.04528,0.04953,0.05127,0.04694,0.03988,0.04262,0.032754,0.045276,0.049533,0.051271,0.046937,0.039884,0.042625,0.068709,0.136761,0.215097,0.130356,0.18801,0.338824,0.383388,0.246407,0.403749,0.600645,0.288265,0.431022,0.278462,0.229152,0.426372,0.55976,0.301948,0.470329,0.494095,0.302834,0.460566,0.483199,0.280693,0.432377,0.484591,0.281696,0.434198,0.526527,0.292328,0.440856,0.600645,0.288265,0.431022,0.505468,0.288586,0.442203,0.577306,0.30461,0.455457,0.555206,0.305469,0.4529,0.483199,0.280693,0.432377,0.484591,0.281696,0.434198,0.526527,0.292328,0.440856,0.600645,0.288265,0.431022,0.505468,0.288586,0.442203,0.577306,0.30461,0.455457,0.555206,0.305469,0.4529,0.340443,0.234618,0.375997,0.330355,0.240176,0.395506,0.477792,0.277514,0.429342,0.600645,0.288265,0.431022,0.422318,0.267346,0.436029,0.571996,0.30417,0.460044,0.536076,0.304995,0.455657,0.068709,0.136761,0.215097,0.130356,0.18801,0.338824,0.383388,0.246407,0.403749,0.600645,0.288265,0.431022,0.278462,0.229152,0.426372,0.55976,0.301948,0.470329,0.494095,0.302834,0.460566,0.068709,0.136761,0.215097,0.130356,0.18801,0.338824,0.383388,0.246407,0.403749,0.600645,0.288265,0.431022,0.278462,0.229152,0.426372,0.55976,0.301948,0.470329,0.494095,0.302834,0.460566,0.03275,0.05387,0.08173,0.15095,0.05994,0.04233,0.04728,0.03275,0.00822,0.0023,0.00083,0.00531,0.01649,0.0123,0.03275,0.08222,0.22995,0.82754,0.10628,0.04947,0.0615
colnomic-embed-multimodal-3b,0.59091,0.86765,0.94987,0.98262,0.90709,0.75,0.80481,0.70713,0.59091,0.68308,0.6871,0.68721,0.68588,0.66188,0.67441,0.590909,0.683078,0.687096,0.687209,0.68588,0.661876,0.67441,0.588109,0.495921,0.440323,0.676263,0.745485,0.672501,0.692301,0.641883,0.20564,0.78998,0.505723,-0.075366,0.657191,0.69625,0.405739,0.727086,0.575718,-0.017127,0.692203,0.583835,0.044062,0.763226,0.53177,-0.036906,0.76322,0.531917,-0.036592,0.763076,0.532142,-0.038796,0.78998,0.505723,-0.075366,0.762746,0.532326,-0.036003,0.765143,0.530032,-0.055829,0.76067,0.529967,-0.047164,0.763226,0.53177,-0.036906,0.76322,0.531917,-0.036592,0.763076,0.532142,-0.038796,0.78998,0.505723,-0.075366,0.762746,0.532326,-0.036003,0.765143,0.530032,-0.055829,0.76067,0.529967,-0.047164,0.755815,0.539696,-0.01116,0.755288,0.545871,0.003294,0.752605,0.54728,-0.006463,0.78998,0.505723,-0.075366,0.751108,0.549064,0.006525,0.75674,0.539961,-0.047448,0.747758,0.540261,-0.030371,0.588109,0.495921,0.440323,0.676263,0.745485,0.672501,0.692301,0.641883,0.20564,0.78998,0.505723,-0.075366,0.657191,0.69625,0.405739,0.727086,0.575718,-0.017127,0.692203,0.583835,0.044062,0.588109,0.495921,0.440323,0.676263,0.745485,0.672501,0.692301,0.641883,0.20564,0.78998,0.505723,-0.075366,0.657191,0.69625,0.405739,0.727086,0.575718,-0.017127,0.692203,0.583835,0.044062,0.59091,0.72773,0.74594,0.74982,0.73778,0.68455,0.70713,0.59091,0.08676,0.0095,0.00098,0.04535,0.25,0.16096,0.59091,0.86765,0.94987,0.98262,0.90709,0.75,0.80481
colnomic-embed-multimodal-7b,0.55414,0.85963,0.95655,0.99465,0.90107,0.72527,0.78409,0.67863,0.55414,0.65381,0.6583,0.65845,0.65671,0.62979,0.64333,0.554144,0.653815,0.658299,0.65845,0.656711,0.629791,0.643327,0.68141,0.705915,0.858471,0.720265,0.788611,0.698735,0.685709,0.608653,0.243012,0.818112,0.492296,-0.015722,0.65866,0.635562,0.341567,0.724062,0.552329,0.06335,0.713894,0.567606,0.133783,0.781601,0.515787,0.025268,0.781558,0.515936,0.02556,0.780329,0.515478,0.024732,0.818112,0.492296,-0.015722,0.780557,0.515615,0.025258,0.779757,0.512957,0.010603,0.780309,0.514292,0.020527,0.781601,0.515787,0.025268,0.781558,0.515936,0.02556,0.780329,0.515478,0.024732,0.818112,0.492296,-0.015722,0.780557,0.515615,0.025258,0.779757,0.512957,0.010603,0.780309,0.514292,0.020527,0.775312,0.524386,0.046109,0.774193,0.530118,0.058776,0.766403,0.52852,0.054446,0.818112,0.492296,-0.015722,0.766722,0.528725,0.05772,0.767226,0.521634,0.02219,0.767189,0.524579,0.041855,0.68141,0.705915,0.858471,0.720265,0.788611,0.698735,0.685709,0.608653,0.243012,0.818112,0.492296,-0.015722,0.65866,0.635562,0.341567,0.724062,0.552329,0.06335,0.713894,0.567606,0.133783,0.68141,0.705915,0.858471,0.720265,0.788611,0.698735,0.685709,0.608653,0.243012,0.818112,0.492296,-0.015722,0.65866,0.635562,0.341567,0.724062,0.552329,0.06335,0.713894,0.567606,0.133783,0.55414,0.70346,0.72457,0.72919,0.71397,0.65432,0.67863,0.55414,0.08596,0.00957,0.00099,0.04505,0.24176,0.15682,0.55414,0.85963,0.95655,0.99465,0.90107,0.72527,0.78409
colpali-v1.1,0.12634,0.3242,0.65241,0.97126,0.4111,0.2119,0.24532,0.19025,0.12634,0.18246,0.19433,0.19561,0.18864,0.16444,0.17189,0.126337,0.182458,0.194328,0.195607,0.188644,0.164439,0.171892,0.356003,0.325102,0.525509,0.167556,0.307054,0.312201,0.176743,0.249789,0.248192,0.376533,0.276272,0.2037,0.140781,0.227359,0.229687,0.243914,0.281849,0.239654,0.1842,0.274058,0.245465,0.282798,0.274517,0.228174,0.282293,0.274538,0.22829,0.284816,0.275868,0.228662,0.376533,0.276272,0.2037,0.281256,0.273181,0.226487,0.305262,0.282598,0.225716,0.287336,0.279827,0.227245,0.282798,0.274517,0.228174,0.282293,0.274538,0.22829,0.284816,0.275868,0.228662,0.376533,0.276272,0.2037,0.281256,0.273181,0.226487,0.305262,0.282598,0.225716,0.287336,0.279827,0.227245,0.262063,0.272784,0.238558,0.248848,0.275897,0.243569,0.251864,0.268784,0.234871,0.376533,0.276272,0.2037,0.239741,0.260832,0.22852,0.287224,0.282513,0.229923,0.257158,0.278278,0.232721,0.356003,0.325102,0.525509,0.167556,0.307054,0.312201,0.176743,0.249789,0.248192,0.376533,0.276272,0.2037,0.140781,0.227359,0.229687,0.243914,0.281849,0.239654,0.1842,0.274058,0.245465,0.356003,0.325102,0.525509,0.167556,0.307054,0.312201,0.176743,0.249789,0.248192,0.376533,0.276272,0.2037,0.140781,0.227359,0.229687,0.243914,0.281849,0.239654,0.1842,0.274058,0.245465,0.12634,0.21579,0.28172,0.32079,0.23796,0.17664,0.19025,0.12634,0.03242,0.00652,0.00097,0.02055,0.07063,0.04906,0.12634,0.3242,0.65241,0.97126,0.4111,0.2119,0.24532
colpali-v1.2,0.1357,0.32019,0.61497,0.96591,0.39706,0.2119,0.26471,0.2022,0.1357,0.1888,0.19901,0.2004,0.19397,0.16934,0.18161,0.135695,0.188803,0.199005,0.200405,0.193968,0.16934,0.181607,0.168843,0.398367,0.189589,0.192229,0.247455,0.108913,0.243437,0.252998,0.083831,0.433362,0.274917,0.033877,0.24036,0.254226,0.090888,0.331684,0.276339,0.091897,0.281996,0.281713,0.08332,0.354381,0.271448,0.064911,0.353802,0.271421,0.065085,0.355059,0.2714,0.063475,0.433362,0.274917,0.033877,0.354741,0.271606,0.064182,0.379398,0.274866,0.063779,0.363289,0.275823,0.061844,0.354381,0.271448,0.064911,0.353802,0.271421,0.065085,0.355059,0.2714,0.063475,0.433362,0.274917,0.033877,0.354741,0.271606,0.064182,0.379398,0.274866,0.063779,0.363289,0.275823,0.061844,0.329597,0.270576,0.073615,0.313682,0.265927,0.076425,0.322147,0.266642,0.070223,0.433362,0.274917,0.033877,0.320668,0.267038,0.072609,0.365567,0.27526,0.071893,0.339409,0.277408,0.068434,0.168843,0.398367,0.189589,0.192229,0.247455,0.108913,0.243437,0.252998,0.083831,0.433362,0.274917,0.033877,0.24036,0.254226,0.090888,0.331684,0.276339,0.091897,0.281996,0.281713,0.08332,0.168843,0.398367,0.189589,0.192229,0.247455,0.108913,0.243437,0.252998,0.083831,0.433362,0.274917,0.033877,0.24036,0.254226,0.090888,0.331684,0.276339,0.091897,0.281996,0.281713,0.08332,0.1357,0.21993,0.27848,0.32151,0.23915,0.18027,0.2022,0.1357,0.03202,0.00615,0.00097,0.01985,0.07063,0.05294,0.1357,0.32019,0.61497,0.96591,0.39706,0.2119,0.26471
colpali-v1.3,0.11832,0.32553,0.64572,0.97259,0.41043,0.19987,0.25334,0.18836,0.11832,0.17667,0.18804,0.18942,0.18242,0.15486,0.16696,0.118316,0.176668,0.188036,0.189422,0.182422,0.154857,0.166956,0.139627,0.142884,0.395057,0.100458,0.211119,0.139544,0.224022,0.240438,0.146137,0.411731,0.21338,0.089737,0.18055,0.249861,0.183212,0.268563,0.226735,0.105996,0.228398,0.231026,0.116909,0.310412,0.226289,0.108733,0.309691,0.226161,0.10852,0.316715,0.225924,0.106002,0.411731,0.21338,0.089737,0.311652,0.227045,0.109832,0.332653,0.222425,0.097226,0.319688,0.223724,0.100241,0.310412,0.226289,0.108733,0.309691,0.226161,0.10852,0.316715,0.225924,0.106002,0.411731,0.21338,0.089737,0.311652,0.227045,0.109832,0.332653,0.222425,0.097226,0.319688,0.223724,0.100241,0.281049,0.227561,0.122194,0.259338,0.225764,0.119554,0.287364,0.230323,0.117622,0.411731,0.21338,0.089737,0.271859,0.233651,0.13011,0.313585,0.223776,0.099774,0.292063,0.225977,0.105122,0.139627,0.142884,0.395057,0.100458,0.211119,0.139544,0.224022,0.240438,0.146137,0.411731,0.21338,0.089737,0.18055,0.249861,0.183212,0.268563,0.226735,0.105996,0.228398,0.231026,0.116909,0.139627,0.142884,0.395057,0.100458,0.211119,0.139544,0.224022,0.240438,0.146137,0.411731,0.21338,0.089737,0.18055,0.249861,0.183212,0.268563,0.226735,0.105996,0.228398,0.231026,0.116909,0.11832,0.21178,0.27587,0.31639,0.23307,0.16644,0.18836,0.11832,0.03255,0.00646,0.00097,0.02052,0.06662,0.05067,0.11832,0.32553,0.64572,0.97259,0.41043,0.19987,0.25334
