model,cv_recall_at_1,cv_recall_at_10,cv_recall_at_100,cv_recall_at_1000,cv_recall_at_20,cv_recall_at_3,cv_recall_at_5,main_score,map_at_1,map_at_10,map_at_100,map_at_1000,map_at_20,map_at_3,map_at_5,mrr_at_1,mrr_at_10,mrr_at_100,mrr_at_1000,mrr_at_20,mrr_at_3,mrr_at_5,nauc_cv_recall_at_1000_diff1,nauc_cv_recall_at_1000_max,nauc_cv_recall_at_1000_std,nauc_cv_recall_at_100_diff1,nauc_cv_recall_at_100_max,nauc_cv_recall_at_100_std,nauc_cv_recall_at_10_diff1,nauc_cv_recall_at_10_max,nauc_cv_recall_at_10_std,nauc_cv_recall_at_1_diff1,nauc_cv_recall_at_1_max,nauc_cv_recall_at_1_std,nauc_cv_recall_at_20_diff1,nauc_cv_recall_at_20_max,nauc_cv_recall_at_20_std,nauc_cv_recall_at_3_diff1,nauc_cv_recall_at_3_max,nauc_cv_recall_at_3_std,nauc_cv_recall_at_5_diff1,nauc_cv_recall_at_5_max,nauc_cv_recall_at_5_std,nauc_map_at_1000_diff1,nauc_map_at_1000_max,nauc_map_at_1000_std,nauc_map_at_100_diff1,nauc_map_at_100_max,nauc_map_at_100_std,nauc_map_at_10_diff1,nauc_map_at_10_max,nauc_map_at_10_std,nauc_map_at_1_diff1,nauc_map_at_1_max,nauc_map_at_1_std,nauc_map_at_20_diff1,nauc_map_at_20_max,nauc_map_at_20_std,nauc_map_at_3_diff1,nauc_map_at_3_max,nauc_map_at_3_std,nauc_map_at_5_diff1,nauc_map_at_5_max,nauc_map_at_5_std,nauc_mrr_at_1000_diff1,nauc_mrr_at_1000_max,nauc_mrr_at_1000_std,nauc_mrr_at_100_diff1,nauc_mrr_at_100_max,nauc_mrr_at_100_std,nauc_mrr_at_10_diff1,nauc_mrr_at_10_max,nauc_mrr_at_10_std,nauc_mrr_at_1_diff1,nauc_mrr_at_1_max,nauc_mrr_at_1_std,nauc_mrr_at_20_diff1,nauc_mrr_at_20_max,nauc_mrr_at_20_std,nauc_mrr_at_3_diff1,nauc_mrr_at_3_max,nauc_mrr_at_3_std,nauc_mrr_at_5_diff1,nauc_mrr_at_5_max,nauc_mrr_at_5_std,nauc_ndcg_at_1000_diff1,nauc_ndcg_at_1000_max,nauc_ndcg_at_1000_std,nauc_ndcg_at_100_diff1,nauc_ndcg_at_100_max,nauc_ndcg_at_100_std,nauc_ndcg_at_10_diff1,nauc_ndcg_at_10_max,nauc_ndcg_at_10_std,nauc_ndcg_at_1_diff1,nauc_ndcg_at_1_max,nauc_ndcg_at_1_std,nauc_ndcg_at_20_diff1,nauc_ndcg_at_20_max,nauc_ndcg_at_20_std,nauc_ndcg_at_3_diff1,nauc_ndcg_at_3_max,nauc_ndcg_at_3_std,nauc_ndcg_at_5_diff1,nauc_ndcg_at_5_max,nauc_ndcg_at_5_std,nauc_precision_at_1000_diff1,nauc_precision_at_1000_max,nauc_precision_at_1000_std,nauc_precision_at_100_diff1,nauc_precision_at_100_max,nauc_precision_at_100_std,nauc_precision_at_10_diff1,nauc_precision_at_10_max,nauc_precision_at_10_std,nauc_precision_at_1_diff1,nauc_precision_at_1_max,nauc_precision_at_1_std,nauc_precision_at_20_diff1,nauc_precision_at_20_max,nauc_precision_at_20_std,nauc_precision_at_3_diff1,nauc_precision_at_3_max,nauc_precision_at_3_std,nauc_precision_at_5_diff1,nauc_precision_at_5_max,nauc_precision_at_5_std,nauc_recall_at_1000_diff1,nauc_recall_at_1000_max,nauc_recall_at_1000_std,nauc_recall_at_100_diff1,nauc_recall_at_100_max,nauc_recall_at_100_std,nauc_recall_at_10_diff1,nauc_recall_at_10_max,nauc_recall_at_10_std,nauc_recall_at_1_diff1,nauc_recall_at_1_max,nauc_recall_at_1_std,nauc_recall_at_20_diff1,nauc_recall_at_20_max,nauc_recall_at_20_std,nauc_recall_at_3_diff1,nauc_recall_at_3_max,nauc_recall_at_3_std,nauc_recall_at_5_diff1,nauc_recall_at_5_max,nauc_recall_at_5_std,ndcg_at_1,ndcg_at_10,ndcg_at_100,ndcg_at_1000,ndcg_at_20,ndcg_at_3,ndcg_at_5,precision_at_1,precision_at_10,precision_at_100,precision_at_1000,precision_at_20,precision_at_3,precision_at_5,recall_at_1,recall_at_10,recall_at_100,recall_at_1000,recall_at_20,recall_at_3,recall_at_5
CLIP-ViT-bigG-14-laion2B-39B-b160k,0.01351,0.08559,0.21171,0.74775,0.12162,0.04054,0.06306,0.03655,0.01126,0.0303,0.03401,0.0357,0.03252,0.02327,0.028,0.013514,0.033164,0.036973,0.038638,0.035383,0.025526,0.030255,0.082646,0.10581,-0.040968,0.085981,0.056426,0.117401,0.257951,0.126164,0.152083,0.475964,0.200133,0.773604,0.184933,0.221569,0.266583,0.446885,0.36289,0.254774,0.27464,0.135655,0.179994,0.287512,0.137852,0.309054,0.288725,0.138183,0.312298,0.320684,0.13273,0.315261,0.371157,0.04016,0.796244,0.300783,0.151139,0.328067,0.37707,0.223833,0.399415,0.313,0.140408,0.341835,0.322811,0.191369,0.328823,0.323704,0.191988,0.331899,0.356806,0.190909,0.335562,0.475964,0.200133,0.773604,0.336798,0.204885,0.346405,0.432035,0.292319,0.422444,0.364141,0.204397,0.36555,0.197712,0.116352,0.164646,0.199324,0.102983,0.206227,0.304103,0.130836,0.239095,0.475964,0.200133,0.773604,0.255722,0.181263,0.287524,0.400909,0.273424,0.344814,0.298312,0.140509,0.273314,0.013485,0.040893,-0.050425,0.08885,0.038711,0.093876,0.257951,0.126164,0.152083,0.475964,0.200133,0.773604,0.184933,0.221569,0.266583,0.446885,0.36289,0.254774,0.27464,0.135655,0.179994,0.078574,0.071651,-0.073797,0.090158,0.029218,0.093836,0.271549,0.101351,0.136439,0.371157,0.04016,0.796244,0.186342,0.204951,0.256802,0.414349,0.325413,0.230913,0.247775,0.103642,0.162201,0.01351,0.04259,0.06544,0.12928,0.05135,0.02764,0.03655,0.01351,0.00856,0.00212,0.0008,0.00608,0.01351,0.01261,0.01126,0.07883,0.19595,0.73198,0.11486,0.03829,0.06081
VLM2Vec-Full,0.04505,0.11261,0.35586,0.88739,0.15766,0.09009,0.09459,0.07226,0.04279,0.06731,0.07447,0.07626,0.07035,0.06381,0.06471,0.045045,0.06731,0.074628,0.076485,0.070345,0.063814,0.064715,0.06838,0.138738,0.56321,0.250694,-0.027651,0.125666,0.226304,-0.25516,-0.20383,0.303667,-0.176796,-0.371616,0.191548,-0.236552,-0.137777,0.187885,-0.249161,-0.265593,0.183595,-0.260982,-0.248289,0.233007,-0.213346,-0.26983,0.232687,-0.213913,-0.270594,0.234914,-0.225946,-0.307495,0.345829,-0.202985,-0.374488,0.231417,-0.224448,-0.29512,0.226389,-0.220598,-0.324865,0.224599,-0.224451,-0.318981,0.235119,-0.211794,-0.269907,0.234534,-0.212139,-0.270471,0.234914,-0.225946,-0.307495,0.303667,-0.176796,-0.371616,0.231417,-0.224448,-0.29512,0.226389,-0.220598,-0.324865,0.224599,-0.224451,-0.318981,0.216793,-0.162565,-0.120377,0.226938,-0.162023,-0.123428,0.230554,-0.236678,-0.273533,0.303667,-0.176796,-0.371616,0.217396,-0.230805,-0.239878,0.213504,-0.229952,-0.306124,0.210714,-0.236401,-0.296383,0.123071,0.116677,0.281692,0.234459,-0.020089,0.116059,0.197334,-0.232104,-0.208363,0.303667,-0.176796,-0.371616,0.169736,-0.218906,-0.143452,0.155253,-0.222019,-0.268044,0.152641,-0.234536,-0.251415,0.0374,0.100326,0.532638,0.217278,-0.055126,0.124198,0.226304,-0.25516,-0.20383,0.345829,-0.202985,-0.374488,0.191548,-0.236552,-0.137777,0.187885,-0.249161,-0.265593,0.183595,-0.260982,-0.248289,0.04505,0.07827,0.12353,0.18683,0.08955,0.07052,0.07226,0.04505,0.01171,0.0036,0.00094,0.00811,0.03153,0.01982,0.04279,0.11261,0.34685,0.86712,0.15766,0.09009,0.09459
clip-vit-base-patch16,0.0,0.00901,0.08108,0.63514,0.02252,0.0,0.0,0.0,0.0,0.00095,0.0029,0.00436,0.00187,0.0,0.0,0.0,0.000951,0.003183,0.004634,0.001867,0.0,0.0,0.022718,0.100908,0.103865,-0.150923,-0.085842,0.091032,-0.317052,-0.44458,0.251301,,,,-0.333143,-0.387116,0.182343,,,,,,,-0.229609,-0.142983,0.129819,-0.269177,-0.179,0.157472,-0.317052,-0.437868,0.211896,,,,-0.339177,-0.356823,0.120718,,,,,,,-0.221475,-0.13994,0.107626,-0.250284,-0.172846,0.123195,-0.317052,-0.437868,0.211896,,,,-0.339177,-0.356823,0.120718,,,,,,,-0.049494,0.027257,0.099303,-0.19614,-0.108502,0.144535,-0.317052,-0.441994,0.23612,,,,-0.335613,-0.375557,0.159806,,,,,,,0.019929,0.082768,0.072999,-0.150923,-0.085842,0.091032,-0.317052,-0.44458,0.251301,,,,-0.333143,-0.387116,0.182343,,,,,,,0.025872,0.095811,0.100184,-0.164677,-0.076189,0.148761,-0.317052,-0.44458,0.251301,,,,-0.333143,-0.387116,0.182343,,,,,,,0.0,0.00266,0.01466,0.07836,0.00604,0.0,0.0,0.0,0.0009,0.00081,0.00068,0.00113,0.0,0.0,0.0,0.00901,0.06757,0.61486,0.02252,0.0,0.0
colSmol-256M,0.06757,0.13063,0.28829,0.76126,0.16216,0.08559,0.0991,0.08436,0.06757,0.08381,0.08824,0.08947,0.08577,0.07658,0.0795,0.067568,0.083807,0.088525,0.089761,0.085887,0.076577,0.079505,0.045783,0.307233,0.377506,0.146507,0.178174,0.501969,0.127654,0.10485,0.579619,0.341028,0.089291,0.404589,0.15403,0.14306,0.564441,0.236891,0.10724,0.428834,0.159973,0.08522,0.460412,0.24662,0.10855,0.454796,0.247648,0.107994,0.45539,0.248047,0.09929,0.454157,0.341028,0.089291,0.404589,0.250842,0.105313,0.456405,0.282834,0.099321,0.418138,0.260716,0.092649,0.428022,0.245571,0.107677,0.453385,0.246437,0.1072,0.454103,0.248047,0.09929,0.454157,0.341028,0.089291,0.404589,0.250063,0.10445,0.455331,0.282834,0.099321,0.418138,0.260716,0.092649,0.428022,0.194125,0.144459,0.460435,0.21006,0.134217,0.482995,0.209941,0.101441,0.491459,0.341028,0.089291,0.404589,0.218596,0.119103,0.494963,0.26979,0.10157,0.421175,0.231687,0.090709,0.437354,0.01004,0.24739,0.320998,0.146507,0.178174,0.501969,0.127654,0.10485,0.579619,0.341028,0.089291,0.404589,0.15403,0.14306,0.564441,0.236891,0.10724,0.428834,0.159973,0.08522,0.460412,0.062976,0.261624,0.383289,0.164421,0.192433,0.518471,0.127654,0.10485,0.579619,0.341028,0.089291,0.404589,0.162362,0.153841,0.578515,0.236891,0.10724,0.428834,0.159973,0.08522,0.460412,0.06757,0.09465,0.12305,0.17623,0.1021,0.07894,0.08436,0.06757,0.01306,0.00288,0.00079,0.00811,0.02853,0.01982,0.06757,0.13063,0.27703,0.73198,0.15991,0.08559,0.0991
colSmol-500M,0.06757,0.17117,0.32432,0.72973,0.20721,0.10811,0.12162,0.09661,0.06757,0.09515,0.09983,0.10118,0.09752,0.08483,0.08821,0.067568,0.095524,0.100489,0.101845,0.098072,0.084835,0.088213,0.25714,0.197691,0.424324,0.197486,0.185934,0.488457,0.349841,0.192408,0.534949,0.670357,0.295428,0.341931,0.27732,0.189253,0.489053,0.464443,0.307694,0.454273,0.370323,0.235928,0.481406,0.501012,0.269593,0.419211,0.500508,0.269453,0.419782,0.519871,0.271908,0.420878,0.670357,0.295428,0.341931,0.506602,0.27117,0.41872,0.564764,0.309862,0.392758,0.530996,0.286041,0.403338,0.501817,0.270544,0.418868,0.501478,0.270423,0.419268,0.521181,0.272492,0.421055,0.670357,0.295428,0.341931,0.508044,0.27167,0.418116,0.564764,0.309862,0.392758,0.530996,0.286041,0.403338,0.412949,0.238351,0.434971,0.393648,0.235838,0.449866,0.46159,0.245739,0.458798,0.670357,0.295428,0.341931,0.426041,0.242814,0.447265,0.534751,0.309513,0.410911,0.482225,0.271601,0.427007,0.168737,0.125892,0.298551,0.197486,0.185934,0.488457,0.349841,0.192408,0.534949,0.670357,0.295428,0.341931,0.27732,0.189253,0.489053,0.464443,0.307694,0.454273,0.370323,0.235928,0.481406,0.256147,0.166971,0.410252,0.193163,0.170922,0.48457,0.343181,0.189403,0.535453,0.670357,0.295428,0.341931,0.266421,0.18522,0.491735,0.464443,0.307694,0.454273,0.370323,0.235928,0.481406,0.06757,0.11271,0.14138,0.1903,0.12142,0.09079,0.09661,0.06757,0.01712,0.00324,0.00077,0.01036,0.03604,0.02432,0.06757,0.16892,0.31532,0.71847,0.2027,0.10811,0.12162
colnomic-embed-multimodal-3b,0.78378,0.94144,0.98649,0.9955,0.95495,0.92342,0.93694,0.86259,0.75225,0.83904,0.84269,0.84276,0.84125,0.83408,0.83814,0.783784,0.85473,0.856648,0.856709,0.855532,0.851351,0.854279,0.722683,-0.170942,0.554182,0.864032,0.609686,-0.06458,0.84674,0.677959,-0.25734,0.758503,0.313659,-0.113071,0.845343,0.746373,-0.106957,0.834812,0.58155,-0.454105,0.848359,0.691634,-0.363811,0.741645,0.36643,-0.250352,0.741735,0.366698,-0.250577,0.742004,0.37102,-0.256215,0.706996,0.271565,-0.139873,0.74334,0.370047,-0.250375,0.737366,0.351843,-0.285164,0.741851,0.374334,-0.260668,0.775498,0.390908,-0.172714,0.77558,0.391186,-0.172993,0.776682,0.395011,-0.173968,0.758503,0.313659,-0.113071,0.776231,0.394752,-0.17064,0.777032,0.387712,-0.195156,0.776987,0.396574,-0.179153,0.755043,0.382232,-0.231455,0.757057,0.389011,-0.233932,0.75937,0.410721,-0.258632,0.758503,0.313659,-0.113071,0.764688,0.410505,-0.235597,0.753446,0.384806,-0.312823,0.759229,0.418899,-0.273619,-0.195842,-0.037631,0.113569,-0.136274,0.01704,0.087881,0.197025,0.26195,-0.162301,0.758503,0.313659,-0.113071,0.064844,0.163083,-0.010666,0.287337,0.26367,-0.333758,0.236327,0.317268,-0.220636,0.749887,-0.097577,0.226354,0.842297,0.451211,-0.073804,0.775441,0.564188,-0.362208,0.706996,0.271565,-0.139873,0.852544,0.639974,-0.218515,0.759457,0.471766,-0.530201,0.771957,0.591022,-0.433472,0.78378,0.86469,0.87854,0.87978,0.87099,0.85598,0.86259,0.78378,0.1,0.01077,0.00109,0.0518,0.32432,0.1982,0.75225,0.92342,0.98198,0.99099,0.94595,0.9009,0.91667
colnomic-embed-multimodal-7b,0.76126,0.96847,0.99099,1.0,0.97297,0.92793,0.95045,0.85875,0.72297,0.8317,0.83342,0.83346,0.83247,0.81757,0.82635,0.761261,0.845506,0.846513,0.846554,0.845756,0.837087,0.842718,,,,0.711797,1.0,0.080963,0.87804,0.77134,-0.716599,0.787802,0.373802,-0.256838,0.857713,0.879478,-0.742572,0.807952,0.334403,-0.743311,0.798268,0.677787,-0.590442,0.743689,0.402358,-0.323761,0.743679,0.402519,-0.323647,0.744553,0.404788,-0.333143,0.697774,0.316472,-0.238827,0.744959,0.404208,-0.328014,0.722317,0.366564,-0.355362,0.732159,0.40461,-0.341728,0.799251,0.410304,-0.305923,0.799225,0.410475,-0.305806,0.80031,0.412097,-0.310699,0.787802,0.373802,-0.256838,0.799958,0.412608,-0.310258,0.799057,0.383038,-0.34025,0.797883,0.414305,-0.311498,0.762521,0.415714,-0.326638,0.761999,0.421643,-0.322469,0.768176,0.433446,-0.36553,0.787802,0.373802,-0.256838,0.76879,0.433109,-0.350844,0.733088,0.361234,-0.412185,0.743642,0.432928,-0.379642,-0.08775,0.019431,0.106109,-0.048221,0.067908,0.104866,0.118473,0.182777,-0.109395,0.787802,0.373802,-0.256838,0.064907,0.143926,-0.021913,0.300134,0.200768,-0.366519,0.190952,0.272207,-0.245082,,,,0.711797,1.0,0.080963,0.83028,0.742453,-0.808415,0.697774,0.316472,-0.238827,0.868658,0.82125,-0.728587,0.650091,0.293146,-0.71327,0.652226,0.597042,-0.683433,0.76126,0.86863,0.87518,0.87633,0.87069,0.8456,0.85875,0.76126,0.10541,0.0109,0.0011,0.05338,0.32733,0.2036,0.72297,0.96396,0.99099,1.0,0.97072,0.90766,0.93694
colpali-v1.1,0.16667,0.38739,0.71622,0.96847,0.51351,0.27027,0.33784,0.25253,0.16216,0.23107,0.2445,0.2457,0.23971,0.20983,0.22492,0.166667,0.235973,0.249697,0.250718,0.244953,0.213964,0.229505,0.152289,0.408552,0.423961,0.283621,0.104719,0.23955,0.260444,0.085116,0.14579,0.50668,0.097171,0.002604,0.257296,0.14979,0.154162,0.400024,0.110164,-0.004628,0.337163,0.087907,0.061873,0.417743,0.107392,0.039918,0.417448,0.10705,0.040519,0.415454,0.100405,0.037041,0.499822,0.089839,0.007711,0.415132,0.108482,0.037637,0.445389,0.108199,0.005632,0.427681,0.100818,0.022946,0.423588,0.108925,0.03062,0.423236,0.108454,0.030873,0.421697,0.103025,0.028508,0.50668,0.097171,0.002604,0.421555,0.109487,0.02819,0.45271,0.110084,-0.002506,0.434806,0.102192,0.014982,0.392814,0.115947,0.063523,0.386616,0.108982,0.081973,0.37376,0.096085,0.066341,0.50668,0.097171,0.002604,0.373443,0.119361,0.069315,0.43217,0.109308,0.003563,0.401866,0.098056,0.033924,-0.113104,0.14358,-0.07456,0.253594,0.137124,0.189391,0.256966,0.104679,0.144764,0.50668,0.097171,0.002604,0.227955,0.189691,0.137658,0.392939,0.131022,-0.002227,0.331924,0.107869,0.06266,0.212493,0.291096,0.272163,0.296557,0.093239,0.267802,0.257585,0.077772,0.156661,0.499822,0.089839,0.007711,0.256864,0.148019,0.175356,0.391881,0.108032,0.005338,0.328622,0.087722,0.070261,0.16667,0.26784,0.33528,0.36933,0.29905,0.22529,0.25253,0.16667,0.03919,0.00739,0.00105,0.02635,0.09159,0.06847,0.16216,0.37838,0.69369,0.96171,0.49775,0.26577,0.33108
colpali-v1.2,0.2027,0.43694,0.72072,0.98649,0.50901,0.31081,0.36937,0.28382,0.19595,0.26654,0.27699,0.27835,0.27119,0.24362,0.25702,0.202703,0.275154,0.285424,0.286568,0.279976,0.253003,0.266066,-0.040505,0.143723,-0.054138,0.230495,0.165,0.034698,0.327338,0.198737,-0.077087,0.487658,0.30167,0.013323,0.288798,0.188004,-0.000338,0.349063,0.291909,-0.025868,0.313384,0.262119,-0.037891,0.400788,0.28217,0.007183,0.400079,0.281631,0.006518,0.404407,0.279722,0.002764,0.482628,0.303465,0.024608,0.401814,0.278892,0.005608,0.412554,0.305052,0.015294,0.402459,0.290211,0.010345,0.410819,0.283493,-0.004295,0.41029,0.28301,-0.004676,0.41447,0.282259,-0.009809,0.487658,0.30167,0.013323,0.411768,0.28162,-0.005065,0.421309,0.301815,0.000317,0.410988,0.293254,-0.002676,0.380328,0.272854,0.004148,0.364013,0.26219,0.003215,0.382339,0.257194,-0.016698,0.487658,0.30167,0.013323,0.372914,0.254428,-0.002567,0.394436,0.301744,0.005816,0.378004,0.280051,-0.00163,-0.019342,0.023593,-0.022802,0.133826,0.140545,-0.014099,0.289421,0.192045,-0.088261,0.487658,0.30167,0.013323,0.243669,0.169885,-0.029496,0.332157,0.307608,-0.026849,0.288772,0.253428,-0.046795,-0.040505,0.143723,-0.054138,0.206626,0.178102,0.034491,0.31603,0.185574,-0.057502,0.482628,0.303465,0.024608,0.28168,0.175688,-0.005494,0.337387,0.291496,-0.006401,0.30731,0.246147,-0.021536,0.2027,0.30615,0.36395,0.40044,0.32353,0.25995,0.28382,0.2027,0.0455,0.0077,0.00109,0.02658,0.10511,0.07658,0.19595,0.42117,0.70045,0.98649,0.48874,0.2973,0.3536
colpali-v1.3,0.20721,0.4009,0.71171,0.96396,0.5045,0.27477,0.33333,0.26399,0.1982,0.25225,0.26342,0.2649,0.25858,0.23048,0.24253,0.207207,0.25871,0.270761,0.272036,0.265907,0.236486,0.24955,-0.117911,0.09235,0.170579,0.175746,0.082766,-0.13095,0.30494,0.257204,0.050204,0.456042,0.207295,0.016681,0.263647,0.205946,-0.004253,0.379358,0.199453,0.058472,0.374774,0.227182,0.046315,0.409836,0.223959,0.04113,0.409549,0.223768,0.040649,0.412541,0.229955,0.044437,0.466292,0.205783,0.030367,0.410586,0.226909,0.042388,0.432158,0.219334,0.047817,0.426109,0.227298,0.046584,0.401914,0.20918,0.024412,0.401627,0.208784,0.023681,0.405092,0.216291,0.029472,0.456042,0.207295,0.016681,0.402342,0.212011,0.025464,0.420879,0.206002,0.03303,0.416241,0.211575,0.029678,0.377729,0.211383,0.032733,0.364263,0.206525,0.020485,0.382654,0.237722,0.046582,0.456042,0.207295,0.016681,0.374209,0.226463,0.03677,0.419378,0.215705,0.051443,0.411896,0.229904,0.048836,-0.039493,-0.125742,-0.120857,0.124006,0.064704,-0.137908,0.293586,0.263659,0.036037,0.456042,0.207295,0.016681,0.254492,0.215889,-0.01549,0.38325,0.228135,0.056443,0.378645,0.253067,0.044921,-0.103768,-0.015901,0.057726,0.167889,0.131841,-0.070285,0.302801,0.274181,0.067397,0.466292,0.205783,0.030367,0.268515,0.237324,0.035309,0.39396,0.216395,0.074844,0.379733,0.251307,0.07058,0.20721,0.28687,0.34828,0.38447,0.31081,0.24158,0.26399,0.20721,0.04144,0.00743,0.00106,0.0259,0.09459,0.06847,0.1982,0.39189,0.68694,0.96171,0.48423,0.26802,0.32207
