model,cv_recall_at_1,cv_recall_at_10,cv_recall_at_100,cv_recall_at_1000,cv_recall_at_20,cv_recall_at_3,cv_recall_at_5,main_score,map_at_1,map_at_10,map_at_100,map_at_1000,map_at_20,map_at_3,map_at_5,mrr_at_1,mrr_at_10,mrr_at_100,mrr_at_1000,mrr_at_20,mrr_at_3,mrr_at_5,nauc_cv_recall_at_1000_diff1,nauc_cv_recall_at_1000_max,nauc_cv_recall_at_1000_std,nauc_cv_recall_at_100_diff1,nauc_cv_recall_at_100_max,nauc_cv_recall_at_100_std,nauc_cv_recall_at_10_diff1,nauc_cv_recall_at_10_max,nauc_cv_recall_at_10_std,nauc_cv_recall_at_1_diff1,nauc_cv_recall_at_1_max,nauc_cv_recall_at_1_std,nauc_cv_recall_at_20_diff1,nauc_cv_recall_at_20_max,nauc_cv_recall_at_20_std,nauc_cv_recall_at_3_diff1,nauc_cv_recall_at_3_max,nauc_cv_recall_at_3_std,nauc_cv_recall_at_5_diff1,nauc_cv_recall_at_5_max,nauc_cv_recall_at_5_std,nauc_map_at_1000_diff1,nauc_map_at_1000_max,nauc_map_at_1000_std,nauc_map_at_100_diff1,nauc_map_at_100_max,nauc_map_at_100_std,nauc_map_at_10_diff1,nauc_map_at_10_max,nauc_map_at_10_std,nauc_map_at_1_diff1,nauc_map_at_1_max,nauc_map_at_1_std,nauc_map_at_20_diff1,nauc_map_at_20_max,nauc_map_at_20_std,nauc_map_at_3_diff1,nauc_map_at_3_max,nauc_map_at_3_std,nauc_map_at_5_diff1,nauc_map_at_5_max,nauc_map_at_5_std,nauc_mrr_at_1000_diff1,nauc_mrr_at_1000_max,nauc_mrr_at_1000_std,nauc_mrr_at_100_diff1,nauc_mrr_at_100_max,nauc_mrr_at_100_std,nauc_mrr_at_10_diff1,nauc_mrr_at_10_max,nauc_mrr_at_10_std,nauc_mrr_at_1_diff1,nauc_mrr_at_1_max,nauc_mrr_at_1_std,nauc_mrr_at_20_diff1,nauc_mrr_at_20_max,nauc_mrr_at_20_std,nauc_mrr_at_3_diff1,nauc_mrr_at_3_max,nauc_mrr_at_3_std,nauc_mrr_at_5_diff1,nauc_mrr_at_5_max,nauc_mrr_at_5_std,nauc_ndcg_at_1000_diff1,nauc_ndcg_at_1000_max,nauc_ndcg_at_1000_std,nauc_ndcg_at_100_diff1,nauc_ndcg_at_100_max,nauc_ndcg_at_100_std,nauc_ndcg_at_10_diff1,nauc_ndcg_at_10_max,nauc_ndcg_at_10_std,nauc_ndcg_at_1_diff1,nauc_ndcg_at_1_max,nauc_ndcg_at_1_std,nauc_ndcg_at_20_diff1,nauc_ndcg_at_20_max,nauc_ndcg_at_20_std,nauc_ndcg_at_3_diff1,nauc_ndcg_at_3_max,nauc_ndcg_at_3_std,nauc_ndcg_at_5_diff1,nauc_ndcg_at_5_max,nauc_ndcg_at_5_std,nauc_precision_at_1000_diff1,nauc_precision_at_1000_max,nauc_precision_at_1000_std,nauc_precision_at_100_diff1,nauc_precision_at_100_max,nauc_precision_at_100_std,nauc_precision_at_10_diff1,nauc_precision_at_10_max,nauc_precision_at_10_std,nauc_precision_at_1_diff1,nauc_precision_at_1_max,nauc_precision_at_1_std,nauc_precision_at_20_diff1,nauc_precision_at_20_max,nauc_precision_at_20_std,nauc_precision_at_3_diff1,nauc_precision_at_3_max,nauc_precision_at_3_std,nauc_precision_at_5_diff1,nauc_precision_at_5_max,nauc_precision_at_5_std,nauc_recall_at_1000_diff1,nauc_recall_at_1000_max,nauc_recall_at_1000_std,nauc_recall_at_100_diff1,nauc_recall_at_100_max,nauc_recall_at_100_std,nauc_recall_at_10_diff1,nauc_recall_at_10_max,nauc_recall_at_10_std,nauc_recall_at_1_diff1,nauc_recall_at_1_max,nauc_recall_at_1_std,nauc_recall_at_20_diff1,nauc_recall_at_20_max,nauc_recall_at_20_std,nauc_recall_at_3_diff1,nauc_recall_at_3_max,nauc_recall_at_3_std,nauc_recall_at_5_diff1,nauc_recall_at_5_max,nauc_recall_at_5_std,ndcg_at_1,ndcg_at_10,ndcg_at_100,ndcg_at_1000,ndcg_at_20,ndcg_at_3,ndcg_at_5,precision_at_1,precision_at_10,precision_at_100,precision_at_1000,precision_at_20,precision_at_3,precision_at_5,recall_at_1,recall_at_10,recall_at_100,recall_at_1000,recall_at_20,recall_at_3,recall_at_5
CLIP-ViT-bigG-14-laion2B-39B-b160k,0.10556,0.16111,0.26667,0.75556,0.18889,0.12222,0.14444,0.12491,0.10278,0.1207,0.12399,0.12565,0.12267,0.11296,0.11852,0.105556,0.120701,0.124232,0.125788,0.12267,0.112963,0.118519,0.443705,0.141472,0.248271,0.483799,0.542627,0.716359,0.749605,0.80232,0.715399,0.927537,0.744123,0.59014,0.632632,0.787534,0.783817,0.822764,0.768732,0.629558,0.76696,0.756444,0.647601,0.83705,0.748948,0.629712,0.839114,0.752223,0.632461,0.856408,0.760132,0.62592,0.917008,0.730282,0.573519,0.843956,0.75904,0.633628,0.878031,0.755678,0.608648,0.860137,0.752564,0.614533,0.835961,0.747665,0.628823,0.837735,0.750329,0.631278,0.856408,0.760132,0.62592,0.927537,0.744123,0.59014,0.843956,0.75904,0.633628,0.878031,0.755678,0.608648,0.860137,0.752564,0.614533,0.738345,0.651628,0.590848,0.747662,0.715889,0.665602,0.826052,0.771237,0.649915,0.927537,0.744123,0.59014,0.785519,0.767446,0.674536,0.863221,0.759173,0.614246,0.83432,0.753813,0.623712,0.193193,-0.082101,-0.017556,0.505362,0.57766,0.728458,0.759132,0.809842,0.726228,0.927537,0.744123,0.59014,0.645047,0.794714,0.791123,0.830952,0.779415,0.64667,0.776552,0.766469,0.662106,0.425188,0.151567,0.255154,0.502703,0.586766,0.741179,0.749605,0.80232,0.715399,0.917008,0.730282,0.573519,0.632632,0.787534,0.783817,0.822764,0.768732,0.629558,0.76696,0.756444,0.647601,0.10556,0.13027,0.14916,0.20995,0.13734,0.11534,0.12491,0.10556,0.01667,0.00267,0.00093,0.00972,0.04259,0.03,0.10278,0.16111,0.25556,0.74074,0.18889,0.12222,0.14444
VLM2Vec-Full,0.08889,0.3,0.61667,0.98889,0.35556,0.17222,0.23889,0.14937,0.07778,0.13176,0.14521,0.1467,0.13745,0.10988,0.12432,0.088889,0.14931,0.159159,0.160424,0.152869,0.125,0.140833,-0.369981,0.414332,0.275444,0.232062,0.018323,-0.213348,0.177791,0.062064,-0.079756,0.368896,0.318889,-0.016753,0.102544,0.029696,-0.110192,0.12698,0.136319,-0.031576,0.179321,0.15992,0.025996,0.280347,0.225278,-0.02931,0.279513,0.224612,-0.030104,0.288606,0.235976,-0.01255,0.453831,0.376663,-0.001227,0.280582,0.22613,-0.022349,0.292155,0.265167,-0.012799,0.294935,0.251879,0.001056,0.237963,0.202288,-0.039326,0.237892,0.201642,-0.040318,0.242196,0.203099,-0.033756,0.368896,0.318889,-0.016753,0.234299,0.199948,-0.036555,0.230264,0.223906,-0.028728,0.244834,0.225453,-0.010243,0.241541,0.177351,-0.056343,0.239045,0.15297,-0.080479,0.249646,0.180601,-0.02603,0.431804,0.318558,-0.03946,0.22316,0.159456,-0.046504,0.246789,0.225961,-0.018972,0.257761,0.216624,0.007364,-0.12459,-0.14721,-0.21235,0.036992,-0.083187,-0.264553,0.133998,0.031458,-0.09556,0.431804,0.318558,-0.03946,0.053779,-0.033373,-0.152969,0.110843,0.113283,-0.051252,0.141174,0.109898,-0.017945,-0.095985,0.442297,0.29197,0.216272,0.020832,-0.179454,0.194239,0.094203,-0.030362,0.453831,0.376663,-0.001227,0.126683,0.049956,-0.073128,0.178889,0.166161,-0.016119,0.20634,0.163221,0.035907,0.08333,0.16725,0.23766,0.28592,0.18465,0.12353,0.14937,0.08333,0.03278,0.00778,0.00123,0.02111,0.05926,0.05111,0.07778,0.25926,0.59444,0.98611,0.3213,0.15093,0.20926
clip-vit-base-patch16,0.04444,0.08889,0.19444,0.78333,0.12778,0.06667,0.07778,0.0594,0.04167,0.05484,0.05802,0.05965,0.05673,0.05093,0.05343,0.044444,0.057615,0.061064,0.062632,0.059994,0.053704,0.056204,0.222309,0.469607,0.08919,0.154818,0.601935,0.198156,0.254695,0.827442,0.448434,0.577307,0.830963,0.61571,0.064693,0.676055,0.279951,0.254874,0.859136,0.541365,0.248841,0.80279,0.446108,0.339621,0.800212,0.487827,0.339783,0.803987,0.490912,0.367963,0.824181,0.515815,0.549128,0.819694,0.59009,0.342429,0.810959,0.498885,0.374564,0.834037,0.544406,0.371081,0.819538,0.515397,0.368512,0.806978,0.509254,0.369122,0.809652,0.511561,0.398435,0.832658,0.539159,0.577307,0.830963,0.61571,0.369824,0.813637,0.516645,0.406914,0.842621,0.567971,0.402164,0.828457,0.539348,0.270294,0.695845,0.354968,0.252004,0.739533,0.387854,0.327195,0.825217,0.493138,0.577307,0.830963,0.61571,0.249946,0.78408,0.439758,0.336408,0.841459,0.542429,0.330172,0.814848,0.493207,0.077463,0.146752,-0.055444,0.131408,0.554407,0.15753,0.254695,0.827442,0.448434,0.577307,0.830963,0.61571,0.070185,0.713153,0.316761,0.254874,0.859136,0.541365,0.248841,0.80279,0.446108,0.248147,0.495504,0.08986,0.129744,0.621585,0.206691,0.230653,0.821875,0.430641,0.549128,0.819694,0.59009,0.058438,0.718073,0.306278,0.222478,0.853012,0.521424,0.22102,0.795486,0.425593,0.04444,0.06293,0.08252,0.15166,0.07039,0.05486,0.0594,0.04444,0.00889,0.00211,0.00094,0.00611,0.02222,0.01556,0.04167,0.08611,0.18241,0.75556,0.11574,0.06389,0.075
colSmol-256M,0.11667,0.18333,0.31667,0.87222,0.2,0.14444,0.16111,0.13894,0.11389,0.13406,0.13731,0.1389,0.13505,0.12778,0.13167,0.116667,0.134522,0.138079,0.139606,0.135509,0.127778,0.131667,0.391322,-0.00562,0.043308,0.368332,0.28809,0.325166,0.499524,0.33856,0.411448,0.806033,0.348907,0.458335,0.50261,0.294667,0.378189,0.647036,0.388197,0.48353,0.584465,0.345956,0.463029,0.697487,0.352766,0.452855,0.697504,0.352895,0.453325,0.703871,0.354774,0.456814,0.827708,0.367491,0.476612,0.702902,0.351251,0.453909,0.736612,0.365558,0.467836,0.716783,0.355322,0.463685,0.693504,0.351065,0.449921,0.6934,0.351205,0.450141,0.700551,0.353623,0.454474,0.806033,0.348907,0.458335,0.699602,0.350115,0.451589,0.736612,0.365558,0.467836,0.716783,0.355322,0.463685,0.626245,0.325289,0.409218,0.610636,0.341609,0.427967,0.650086,0.35203,0.447866,0.806033,0.348907,0.458335,0.647843,0.33862,0.437107,0.712323,0.371677,0.472034,0.680051,0.353267,0.46383,0.141889,-0.115409,-0.104609,0.349789,0.266824,0.305181,0.471248,0.309587,0.382877,0.806033,0.348907,0.458335,0.47605,0.268975,0.352529,0.607295,0.351655,0.446543,0.550107,0.313783,0.429617,0.338912,0.107734,0.091963,0.39881,0.31268,0.363818,0.517611,0.345706,0.425777,0.827708,0.367491,0.476612,0.519524,0.300675,0.391055,0.647036,0.388197,0.48353,0.584465,0.345956,0.463029,0.11667,0.14509,0.16766,0.23392,0.1491,0.13201,0.13894,0.11667,0.01889,0.00322,0.00103,0.01028,0.05,0.03333,0.11389,0.17963,0.29537,0.83796,0.1963,0.14444,0.16111
colSmol-500M,0.13333,0.18889,0.33333,0.88889,0.21667,0.18333,0.18333,0.1612,0.12685,0.1545,0.15917,0.16107,0.15638,0.1537,0.1537,0.133333,0.158201,0.162728,0.164644,0.160089,0.157407,0.157407,0.077815,0.522469,0.630298,0.357192,0.512746,0.667435,0.544774,0.577047,0.655512,0.785573,0.572721,0.616867,0.484628,0.555159,0.628574,0.560212,0.579128,0.635242,0.560212,0.579128,0.635242,0.65839,0.554983,0.629264,0.659139,0.554902,0.62945,0.670821,0.557227,0.629067,0.812757,0.57392,0.626831,0.664788,0.554904,0.627097,0.673834,0.557491,0.62565,0.673834,0.557491,0.62565,0.649706,0.570208,0.626578,0.650407,0.57008,0.626696,0.661581,0.574102,0.626593,0.785573,0.572721,0.616867,0.655716,0.571708,0.624674,0.664506,0.574425,0.623227,0.664506,0.574425,0.623227,0.579722,0.551913,0.629301,0.580797,0.55173,0.642451,0.635277,0.562057,0.636009,0.785573,0.572721,0.616867,0.615304,0.555229,0.628652,0.641749,0.562692,0.628379,0.641749,0.562692,0.628379,-0.160823,0.054187,-0.051182,0.333163,0.511784,0.6355,0.523979,0.540663,0.636687,0.785573,0.572721,0.616867,0.467216,0.52208,0.611949,0.538407,0.541839,0.616687,0.538407,0.541839,0.616687,0.177942,0.535883,0.658521,0.375689,0.528452,0.6897,0.550982,0.56241,0.658118,0.812757,0.57392,0.626831,0.485899,0.53733,0.625959,0.566817,0.564172,0.637586,0.566817,0.564172,0.637586,0.13333,0.16306,0.19094,0.2586,0.17002,0.1612,0.1612,0.13333,0.01944,0.0035,0.00105,0.01111,0.06296,0.03778,0.12685,0.18519,0.325,0.86481,0.21296,0.17963,0.17963
colnomic-embed-multimodal-3b,0.73889,0.91111,0.91111,0.91111,0.91111,0.88889,0.91111,0.78437,0.62778,0.75137,0.75245,0.75245,0.75226,0.7267,0.74605,0.738889,0.811759,0.811759,0.811759,0.811759,0.806481,0.811759,0.568511,0.641311,0.09944,0.568511,0.641311,0.09944,0.568511,0.641311,0.09944,0.792994,0.523813,-0.380574,0.568511,0.641311,0.09944,0.551845,0.65745,0.092313,0.568511,0.641311,0.09944,0.82791,0.49876,-0.387913,0.82791,0.49876,-0.387913,0.829163,0.494676,-0.392605,0.900112,0.424904,-0.507309,0.827993,0.498836,-0.389113,0.842472,0.464491,-0.426636,0.834544,0.484112,-0.405492,0.725963,0.57063,-0.236974,0.725963,0.57063,-0.236974,0.725963,0.57063,-0.236974,0.792994,0.523813,-0.380574,0.725963,0.57063,-0.236974,0.719332,0.574534,-0.230143,0.725963,0.57063,-0.236974,0.789396,0.52803,-0.321183,0.789396,0.52803,-0.321183,0.793049,0.518125,-0.334169,0.912304,0.419796,-0.551728,0.789929,0.528307,-0.325435,0.812474,0.48193,-0.388185,0.803231,0.500687,-0.357846,-0.209234,0.1339,0.317899,-0.209234,0.1339,0.317899,-0.177649,0.13341,0.274843,0.912304,0.419796,-0.551728,-0.201621,0.145762,0.300015,0.187814,0.299577,-0.009611,-0.077048,0.171151,0.19262,0.60767,0.65724,-0.030242,0.60767,0.65724,-0.030242,0.635445,0.60313,-0.110735,0.900112,0.424904,-0.507309,0.613295,0.656957,-0.058507,0.729687,0.487358,-0.29666,0.686904,0.529605,-0.216948,0.66667,0.79234,0.79468,0.79468,0.79415,0.75935,0.78437,0.66667,0.10833,0.011,0.0011,0.05472,0.31481,0.20778,0.62778,0.87963,0.88704,0.88704,0.88519,0.81111,0.86019
colnomic-embed-multimodal-7b,0.8,1.0,1.0,1.0,1.0,0.97778,1.0,0.87572,0.6963,0.84271,0.84453,0.84453,0.8443,0.81836,0.83373,0.8,0.888611,0.888611,0.888611,0.888611,0.883333,0.888611,,,,,,,,,,0.830184,0.358253,-0.272935,,,,0.869281,0.59979,-1.127218,,,,0.892741,0.266519,-0.463796,0.892741,0.266519,-0.463796,0.893329,0.267955,-0.471229,0.917592,0.242938,-0.508537,0.892701,0.267282,-0.464948,0.899687,0.215226,-0.516458,0.894958,0.25958,-0.489435,0.817944,0.381279,-0.296777,0.817944,0.381279,-0.296777,0.817944,0.381279,-0.296777,0.830184,0.358253,-0.272935,0.817944,0.381279,-0.296777,0.820404,0.390742,-0.339727,0.817944,0.381279,-0.296777,0.890256,0.276395,-0.445292,0.890256,0.276395,-0.445292,0.891876,0.280959,-0.466037,0.916693,0.232572,-0.435653,0.890135,0.278959,-0.449354,0.900474,0.213244,-0.549134,0.894582,0.26452,-0.500982,-0.511644,-0.051179,0.463066,-0.511644,-0.051179,0.463066,-0.501037,-0.021915,0.429208,0.916693,0.232572,-0.435653,-0.511976,-0.041137,0.457578,-0.20911,-0.045338,0.153607,-0.451299,0.007347,0.378524,,,,,,,0.847636,0.383541,-0.9913,0.917592,0.242938,-0.508537,0.869281,0.722222,-1.151727,0.891711,0.070942,-0.813833,0.852941,0.184741,-0.812725,0.75,0.88787,0.89139,0.89139,0.89082,0.85603,0.87572,0.75,0.12167,0.01244,0.00124,0.06194,0.35926,0.23,0.6963,0.98981,1.0,1.0,0.99815,0.9213,0.96111
colpali-v1.1,0.36667,0.75,0.93889,1.0,0.85,0.56111,0.63333,0.48642,0.34167,0.46212,0.47413,0.47455,0.47064,0.42191,0.44256,0.366667,0.483455,0.492871,0.493202,0.490376,0.451852,0.467685,,,,0.616586,0.404295,0.477676,0.462911,0.262725,0.147834,0.701908,0.376313,0.061974,0.513866,0.268377,0.199226,0.521401,0.364792,0.145666,0.502838,0.285883,0.15365,0.65924,0.382696,0.081909,0.658932,0.382847,0.082261,0.658301,0.384224,0.079721,0.73142,0.421625,0.04665,0.659223,0.381073,0.079482,0.667159,0.405341,0.075915,0.662543,0.386832,0.079808,0.6227,0.36124,0.104077,0.622752,0.361396,0.104323,0.616824,0.358055,0.103125,0.701908,0.376313,0.061974,0.621004,0.359492,0.10379,0.6182,0.369418,0.10241,0.616891,0.355548,0.104517,0.639367,0.368874,0.096252,0.633051,0.370902,0.107849,0.624174,0.364508,0.090301,0.736967,0.400934,0.050728,0.630885,0.35972,0.09126,0.638612,0.40138,0.088972,0.632805,0.369949,0.092913,-0.295191,-0.329517,0.053989,-0.193254,-0.214367,0.135171,0.171573,0.013494,0.081182,0.736967,0.400934,0.050728,0.031156,-0.135117,0.065048,0.457739,0.287326,0.117986,0.351272,0.147861,0.109617,,,,0.472624,0.406592,0.464556,0.518846,0.313056,0.107612,0.73142,0.421625,0.04665,0.529687,0.289391,0.123846,0.584801,0.416812,0.110906,0.572263,0.342752,0.117759,0.35556,0.52958,0.58008,0.58932,0.55785,0.45236,0.48642,0.35556,0.08556,0.01167,0.00124,0.05,0.1963,0.13889,0.34167,0.71759,0.93056,1.0,0.8213,0.51389,0.59167
colpali-v1.2,0.41111,0.76111,0.93889,1.0,0.84444,0.6,0.63889,0.51211,0.36759,0.49138,0.50332,0.50385,0.49788,0.45941,0.47215,0.411111,0.517806,0.526346,0.526738,0.523705,0.491667,0.500833,,,,0.527757,0.16221,0.24043,0.424627,0.279478,-0.043606,0.692867,0.532262,0.054229,0.415297,0.108262,-0.050161,0.53961,0.389994,-0.034852,0.500217,0.368312,-0.064917,0.662896,0.46188,-0.058146,0.662503,0.461132,-0.058432,0.657137,0.463932,-0.063848,0.775209,0.540521,-0.040959,0.659594,0.460685,-0.063038,0.676235,0.472886,-0.072703,0.668871,0.47077,-0.067997,0.618436,0.467717,0.011784,0.618272,0.467227,0.011911,0.613461,0.467733,0.009196,0.692867,0.532262,0.054229,0.615648,0.464967,0.011018,0.624481,0.475982,0.009188,0.61826,0.472469,0.003009,0.641291,0.443783,-0.04304,0.635832,0.431199,-0.043493,0.612404,0.433428,-0.066263,0.738156,0.535979,-0.026008,0.620601,0.419749,-0.066679,0.64732,0.453472,-0.07736,0.633266,0.449184,-0.071775,-0.318724,-0.226662,0.337176,-0.175667,-0.17927,0.28554,0.103849,0.07118,0.067766,0.738156,0.535979,-0.026008,0.011153,-0.063578,0.110874,0.400835,0.287616,-0.034907,0.307199,0.236582,0.007599,,,,0.506967,0.132766,0.003627,0.45046,0.302567,-0.134292,0.775209,0.540521,-0.040959,0.454578,0.181985,-0.177362,0.575763,0.383757,-0.120479,0.538765,0.370927,-0.117613,0.39444,0.55433,0.60268,0.61286,0.57568,0.49084,0.51211,0.39444,0.08611,0.01156,0.00124,0.04833,0.21111,0.14,0.36759,0.72593,0.92778,1.0,0.80278,0.56111,0.60741
colpali-v1.3,0.42778,0.8,0.97222,1.0,0.87778,0.62222,0.70556,0.55301,0.39352,0.52103,0.5339,0.53421,0.52988,0.48194,0.50583,0.427778,0.546951,0.555317,0.555434,0.552489,0.515741,0.534352,,,,0.535107,0.716713,0.710177,0.452436,0.385184,-0.141317,0.666758,0.562599,0.167361,0.417138,0.3974,-0.081971,0.500463,0.547007,0.122812,0.534111,0.433309,-0.031147,0.623543,0.555123,0.095098,0.623229,0.554441,0.094465,0.622066,0.554431,0.086887,0.687325,0.575388,0.132682,0.623515,0.55354,0.088618,0.616747,0.569386,0.113216,0.616455,0.557455,0.097356,0.609307,0.543917,0.118001,0.609303,0.544009,0.118266,0.606691,0.538938,0.109282,0.666758,0.562599,0.167361,0.607824,0.542312,0.115126,0.601771,0.559825,0.140337,0.610667,0.53949,0.114507,0.61256,0.549531,0.097574,0.607803,0.541248,0.093033,0.599463,0.533021,0.048566,0.695048,0.574524,0.141813,0.604527,0.532281,0.055286,0.593282,0.568289,0.111411,0.595463,0.540203,0.074344,-0.243083,-0.133491,0.29584,-0.185619,-0.123505,0.25032,0.209273,0.166444,-0.030246,0.695048,0.574524,0.141813,0.034832,0.004881,0.019296,0.459983,0.501934,0.12666,0.348058,0.331087,0.029549,,,,0.428696,0.283442,0.037255,0.496844,0.43634,-0.154731,0.687325,0.575388,0.132682,0.505899,0.387861,-0.247016,0.514678,0.55687,0.093435,0.507483,0.478543,-0.018678,0.41667,0.58584,0.63477,0.64063,0.61261,0.51341,0.55301,0.41667,0.09,0.01189,0.00124,0.05194,0.21296,0.15222,0.39352,0.75833,0.95833,1.0,0.85463,0.57778,0.66759
