model,cv_recall_at_1,cv_recall_at_10,cv_recall_at_100,cv_recall_at_1000,cv_recall_at_20,cv_recall_at_3,cv_recall_at_5,main_score,map_at_1,map_at_10,map_at_100,map_at_1000,map_at_20,map_at_3,map_at_5,mrr_at_1,mrr_at_10,mrr_at_100,mrr_at_1000,mrr_at_20,mrr_at_3,mrr_at_5,nauc_cv_recall_at_1000_diff1,nauc_cv_recall_at_1000_max,nauc_cv_recall_at_1000_std,nauc_cv_recall_at_100_diff1,nauc_cv_recall_at_100_max,nauc_cv_recall_at_100_std,nauc_cv_recall_at_10_diff1,nauc_cv_recall_at_10_max,nauc_cv_recall_at_10_std,nauc_cv_recall_at_1_diff1,nauc_cv_recall_at_1_max,nauc_cv_recall_at_1_std,nauc_cv_recall_at_20_diff1,nauc_cv_recall_at_20_max,nauc_cv_recall_at_20_std,nauc_cv_recall_at_3_diff1,nauc_cv_recall_at_3_max,nauc_cv_recall_at_3_std,nauc_cv_recall_at_5_diff1,nauc_cv_recall_at_5_max,nauc_cv_recall_at_5_std,nauc_map_at_1000_diff1,nauc_map_at_1000_max,nauc_map_at_1000_std,nauc_map_at_100_diff1,nauc_map_at_100_max,nauc_map_at_100_std,nauc_map_at_10_diff1,nauc_map_at_10_max,nauc_map_at_10_std,nauc_map_at_1_diff1,nauc_map_at_1_max,nauc_map_at_1_std,nauc_map_at_20_diff1,nauc_map_at_20_max,nauc_map_at_20_std,nauc_map_at_3_diff1,nauc_map_at_3_max,nauc_map_at_3_std,nauc_map_at_5_diff1,nauc_map_at_5_max,nauc_map_at_5_std,nauc_mrr_at_1000_diff1,nauc_mrr_at_1000_max,nauc_mrr_at_1000_std,nauc_mrr_at_100_diff1,nauc_mrr_at_100_max,nauc_mrr_at_100_std,nauc_mrr_at_10_diff1,nauc_mrr_at_10_max,nauc_mrr_at_10_std,nauc_mrr_at_1_diff1,nauc_mrr_at_1_max,nauc_mrr_at_1_std,nauc_mrr_at_20_diff1,nauc_mrr_at_20_max,nauc_mrr_at_20_std,nauc_mrr_at_3_diff1,nauc_mrr_at_3_max,nauc_mrr_at_3_std,nauc_mrr_at_5_diff1,nauc_mrr_at_5_max,nauc_mrr_at_5_std,nauc_ndcg_at_1000_diff1,nauc_ndcg_at_1000_max,nauc_ndcg_at_1000_std,nauc_ndcg_at_100_diff1,nauc_ndcg_at_100_max,nauc_ndcg_at_100_std,nauc_ndcg_at_10_diff1,nauc_ndcg_at_10_max,nauc_ndcg_at_10_std,nauc_ndcg_at_1_diff1,nauc_ndcg_at_1_max,nauc_ndcg_at_1_std,nauc_ndcg_at_20_diff1,nauc_ndcg_at_20_max,nauc_ndcg_at_20_std,nauc_ndcg_at_3_diff1,nauc_ndcg_at_3_max,nauc_ndcg_at_3_std,nauc_ndcg_at_5_diff1,nauc_ndcg_at_5_max,nauc_ndcg_at_5_std,nauc_precision_at_1000_diff1,nauc_precision_at_1000_max,nauc_precision_at_1000_std,nauc_precision_at_100_diff1,nauc_precision_at_100_max,nauc_precision_at_100_std,nauc_precision_at_10_diff1,nauc_precision_at_10_max,nauc_precision_at_10_std,nauc_precision_at_1_diff1,nauc_precision_at_1_max,nauc_precision_at_1_std,nauc_precision_at_20_diff1,nauc_precision_at_20_max,nauc_precision_at_20_std,nauc_precision_at_3_diff1,nauc_precision_at_3_max,nauc_precision_at_3_std,nauc_precision_at_5_diff1,nauc_precision_at_5_max,nauc_precision_at_5_std,nauc_recall_at_1000_diff1,nauc_recall_at_1000_max,nauc_recall_at_1000_std,nauc_recall_at_100_diff1,nauc_recall_at_100_max,nauc_recall_at_100_std,nauc_recall_at_10_diff1,nauc_recall_at_10_max,nauc_recall_at_10_std,nauc_recall_at_1_diff1,nauc_recall_at_1_max,nauc_recall_at_1_std,nauc_recall_at_20_diff1,nauc_recall_at_20_max,nauc_recall_at_20_std,nauc_recall_at_3_diff1,nauc_recall_at_3_max,nauc_recall_at_3_std,nauc_recall_at_5_diff1,nauc_recall_at_5_max,nauc_recall_at_5_std,ndcg_at_1,ndcg_at_10,ndcg_at_100,ndcg_at_1000,ndcg_at_20,ndcg_at_3,ndcg_at_5,precision_at_1,precision_at_10,precision_at_100,precision_at_1000,precision_at_20,precision_at_3,precision_at_5,recall_at_1,recall_at_10,recall_at_100,recall_at_1000,recall_at_20,recall_at_3,recall_at_5
CLIP-ViT-bigG-14-laion2B-39B-b160k,0.036,0.09867,0.276,0.958,0.14333,0.05933,0.07667,0.05626,0.03667,0.05303,0.05906,0.06121,0.05601,0.04644,0.05001,0.036,0.052863,0.058896,0.061041,0.05587,0.046222,0.050056,-0.094519,0.079765,0.047782,0.139102,0.344658,0.213189,0.325205,0.476595,0.253918,0.734326,0.658597,0.244751,0.199758,0.427257,0.286712,0.482094,0.53802,0.191044,0.37444,0.461814,0.192364,0.479764,0.527835,0.222482,0.479704,0.528153,0.222386,0.520512,0.550141,0.220824,0.710525,0.636173,0.231217,0.494682,0.538281,0.2265,0.582735,0.578573,0.208591,0.545132,0.55412,0.20975,0.483934,0.532465,0.225603,0.483916,0.532683,0.225416,0.525147,0.554956,0.223915,0.734326,0.658597,0.244751,0.498541,0.542465,0.229124,0.589512,0.585005,0.212431,0.54614,0.554919,0.210229,0.363671,0.46335,0.219135,0.327369,0.45067,0.223128,0.449617,0.522895,0.231079,0.710525,0.636173,0.231217,0.382067,0.495583,0.248781,0.551915,0.566048,0.203212,0.493558,0.528688,0.206858,-0.094519,0.079765,0.047782,0.136944,0.346796,0.215178,0.325205,0.476595,0.253918,0.710525,0.636173,0.231217,0.203433,0.431325,0.290686,0.482094,0.53802,0.191044,0.388307,0.476895,0.20226,-0.094519,0.079765,0.047782,0.136944,0.346796,0.215178,0.325205,0.476595,0.253918,0.710525,0.636173,0.231217,0.203433,0.431325,0.290686,0.482094,0.53802,0.191044,0.388307,0.476895,0.20226,0.03667,0.06371,0.09865,0.17893,0.07473,0.04975,0.05626,0.03667,0.00987,0.00275,0.00096,0.00713,0.01978,0.01507,0.03667,0.09867,0.27533,0.958,0.14267,0.05933,0.07533
VLM2Vec-Full,0.03933,0.13467,0.37333,0.98667,0.18733,0.07133,0.096,0.06779,0.03933,0.06384,0.07158,0.07358,0.06744,0.053,0.05857,0.039333,0.063836,0.071577,0.073582,0.067438,0.053,0.058567,0.351027,-0.171965,-0.318371,0.073972,-0.040323,-0.063643,0.180999,0.005233,-0.091353,0.427176,0.020992,-0.238079,0.145277,-0.01931,-0.084454,0.223058,0.014381,-0.164022,0.222556,0.011521,-0.129839,0.270538,0.008109,-0.160411,0.269335,0.007247,-0.160895,0.286294,0.01539,-0.166464,0.427176,0.020992,-0.238079,0.276827,0.010863,-0.163194,0.311347,0.017286,-0.19675,0.303049,0.016858,-0.18032,0.270538,0.008109,-0.160411,0.269335,0.007247,-0.160895,0.286294,0.01539,-0.166464,0.427176,0.020992,-0.238079,0.276827,0.010863,-0.163194,0.311347,0.017286,-0.19675,0.303049,0.016858,-0.18032,0.225959,-0.00284,-0.133884,0.188131,-0.01254,-0.11935,0.246029,0.011822,-0.138443,0.427176,0.020992,-0.238079,0.223099,-0.000335,-0.131016,0.283476,0.016371,-0.186444,0.274397,0.015103,-0.162777,0.351027,-0.171965,-0.318371,0.073972,-0.040323,-0.063643,0.180999,0.005233,-0.091353,0.427176,0.020992,-0.238079,0.145277,-0.01931,-0.084454,0.223058,0.014381,-0.164022,0.222556,0.011521,-0.129839,0.351027,-0.171965,-0.318371,0.073972,-0.040323,-0.063643,0.180999,0.005233,-0.091353,0.427176,0.020992,-0.238079,0.145277,-0.01931,-0.084454,0.223058,0.014381,-0.164022,0.222556,0.011521,-0.129839,0.03933,0.0804,0.12687,0.19933,0.09365,0.05769,0.06779,0.03933,0.01347,0.00373,0.00099,0.00937,0.02378,0.0192,0.03933,0.13467,0.37333,0.98667,0.18733,0.07133,0.096
clip-vit-base-patch16,0.01867,0.068,0.222,0.95267,0.09667,0.034,0.048,0.03332,0.01867,0.03099,0.03572,0.03787,0.03289,0.02533,0.02853,0.018667,0.030987,0.035723,0.03787,0.032894,0.025333,0.028533,-0.068253,-0.120067,0.017556,0.123032,0.157534,0.015499,0.230946,0.305042,0.021746,0.527147,0.507379,0.030952,0.191695,0.270189,0.027917,0.33529,0.378531,0.022086,0.25509,0.310642,-0.005881,0.328652,0.35796,0.02578,0.331229,0.361068,0.024424,0.362929,0.389224,0.026775,0.527147,0.507379,0.030952,0.347908,0.377864,0.026005,0.418378,0.432858,0.032228,0.379385,0.399814,0.02193,0.328652,0.35796,0.02578,0.331229,0.361068,0.024424,0.362929,0.389224,0.026775,0.527147,0.507379,0.030952,0.347908,0.377864,0.026005,0.418378,0.432858,0.032228,0.379385,0.399814,0.02193,0.228286,0.259587,0.027386,0.22219,0.25968,0.019149,0.309863,0.354615,0.024187,0.527147,0.507379,0.030952,0.277856,0.329338,0.025514,0.392216,0.415698,0.029268,0.335652,0.368349,0.012627,-0.068253,-0.120067,0.017556,0.123032,0.157534,0.015499,0.230946,0.305042,0.021746,0.527147,0.507379,0.030952,0.191695,0.270189,0.027917,0.33529,0.378531,0.022086,0.25509,0.310642,-0.005881,-0.068253,-0.120067,0.017556,0.123032,0.157534,0.015499,0.230946,0.305042,0.021746,0.527147,0.507379,0.030952,0.191695,0.270189,0.027917,0.33529,0.378531,0.022086,0.25509,0.310642,-0.005881,0.01867,0.03957,0.06918,0.15392,0.04671,0.02756,0.03332,0.01867,0.0068,0.00222,0.00095,0.00483,0.01133,0.0096,0.01867,0.068,0.222,0.95267,0.09667,0.034,0.048
colSmol-256M,0.05533,0.108,0.288,0.956,0.13333,0.08333,0.09267,0.07583,0.05533,0.07222,0.07713,0.07909,0.07391,0.06811,0.07018,0.055333,0.072221,0.077132,0.079088,0.07391,0.068111,0.070178,0.187746,0.042208,0.103882,0.164447,-0.002701,0.035581,0.383106,-0.059634,-0.005458,0.566443,-0.049337,-0.013364,0.332222,-0.021312,0.03698,0.443145,-0.102231,-0.038869,0.384192,-0.098249,-0.046011,0.457823,-0.063844,-0.014305,0.45783,-0.063991,-0.014661,0.478118,-0.069516,-0.020304,0.566443,-0.049337,-0.013364,0.470606,-0.065901,-0.016112,0.498048,-0.0777,-0.025793,0.479912,-0.07726,-0.0286,0.457823,-0.063844,-0.014305,0.45783,-0.063991,-0.014661,0.478118,-0.069516,-0.020304,0.566443,-0.049337,-0.013364,0.470606,-0.065901,-0.016112,0.498048,-0.0777,-0.025793,0.479912,-0.07726,-0.0286,0.391403,-0.04943,0.001378,0.353309,-0.043358,0.003701,0.447854,-0.067548,-0.016562,0.566443,-0.049337,-0.013364,0.425801,-0.054176,-0.001489,0.481677,-0.084974,-0.029622,0.451111,-0.083863,-0.033894,0.187746,0.042208,0.103882,0.164447,-0.002701,0.035581,0.383106,-0.059634,-0.005458,0.566443,-0.049337,-0.013364,0.332222,-0.021312,0.03698,0.443145,-0.102231,-0.038869,0.384192,-0.098249,-0.046011,0.187746,0.042208,0.103882,0.164447,-0.002701,0.035581,0.383106,-0.059634,-0.005458,0.566443,-0.049337,-0.013364,0.332222,-0.021312,0.03698,0.443145,-0.102231,-0.038869,0.384192,-0.098249,-0.046011,0.05533,0.08078,0.11427,0.19188,0.0871,0.07204,0.07583,0.05533,0.0108,0.00288,0.00096,0.00667,0.02778,0.01853,0.05533,0.108,0.288,0.956,0.13333,0.08333,0.09267
colSmol-500M,0.054,0.11067,0.30533,0.968,0.13933,0.076,0.09333,0.07395,0.054,0.06984,0.07533,0.07743,0.07179,0.06367,0.0676,0.054,0.069845,0.075331,0.07743,0.071792,0.063667,0.0676,-0.030025,0.31535,0.48758,0.153366,0.022582,0.170996,0.364307,0.022193,0.083213,0.630498,0.076207,-0.001994,0.296693,0.022374,0.115793,0.475871,0.047887,0.007986,0.375833,0.01652,0.049525,0.485328,0.045208,0.031464,0.484654,0.044765,0.030791,0.510157,0.044955,0.019659,0.630498,0.076207,-0.001994,0.499755,0.045229,0.025158,0.551669,0.055137,-0.000351,0.516036,0.044602,0.012759,0.485328,0.045208,0.031464,0.484654,0.044765,0.030791,0.510157,0.044955,0.019659,0.630498,0.076207,-0.001994,0.499755,0.045229,0.025158,0.551669,0.055137,-0.000351,0.516036,0.044602,0.012759,0.401013,0.047151,0.07627,0.357901,0.035354,0.083372,0.462364,0.037171,0.039168,0.630498,0.076207,-0.001994,0.431471,0.037084,0.05451,0.529632,0.052769,0.001938,0.47273,0.035821,0.023727,-0.030025,0.31535,0.48758,0.153366,0.022582,0.170996,0.364307,0.022193,0.083213,0.630498,0.076207,-0.001994,0.296693,0.022374,0.115793,0.475871,0.047887,0.007986,0.375833,0.01652,0.049525,-0.030025,0.31535,0.48758,0.153366,0.022582,0.170996,0.364307,0.022193,0.083213,0.630498,0.076207,-0.001994,0.296693,0.022374,0.115793,0.475871,0.047887,0.007986,0.375833,0.01652,0.049525,0.054,0.07948,0.11601,0.1939,0.08668,0.06683,0.07395,0.054,0.01107,0.00305,0.00097,0.00697,0.02533,0.01867,0.054,0.11067,0.30533,0.968,0.13933,0.076,0.09333
colnomic-embed-multimodal-3b,0.778,0.91267,0.96533,0.992,0.92867,0.86933,0.89733,0.84431,0.778,0.82862,0.83073,0.83085,0.82979,0.82,0.82643,0.778,0.828622,0.830729,0.830851,0.829791,0.82,0.826433,0.756069,0.462924,-0.181995,0.786154,0.475517,-0.038991,0.741777,0.448179,-0.05505,0.808905,0.395595,-0.059877,0.752214,0.459615,-0.039499,0.759935,0.431763,-0.055812,0.748951,0.416532,-0.075599,0.790946,0.409394,-0.055686,0.790951,0.409378,-0.0558,0.789975,0.409728,-0.056057,0.808905,0.395595,-0.059877,0.79049,0.409569,-0.055551,0.790597,0.409942,-0.055288,0.789774,0.406957,-0.058062,0.790946,0.409394,-0.055686,0.790951,0.409378,-0.0558,0.789975,0.409728,-0.056057,0.808905,0.395595,-0.059877,0.79049,0.409569,-0.055551,0.790597,0.409942,-0.055288,0.789774,0.406957,-0.058062,0.787945,0.413233,-0.055427,0.78811,0.41443,-0.054925,0.782324,0.41569,-0.055898,0.808905,0.395595,-0.059877,0.784654,0.415875,-0.053857,0.784157,0.414566,-0.055248,0.782379,0.408994,-0.060818,0.756069,0.462924,-0.181995,0.786154,0.475517,-0.038991,0.741777,0.448179,-0.05505,0.808905,0.395595,-0.059877,0.752214,0.459615,-0.039499,0.759935,0.431763,-0.055812,0.748951,0.416532,-0.075599,0.756069,0.462924,-0.181995,0.786154,0.475517,-0.038991,0.741777,0.448179,-0.05505,0.808905,0.395595,-0.059877,0.752214,0.459615,-0.039499,0.759935,0.431763,-0.055812,0.748951,0.416532,-0.075599,0.778,0.84941,0.86032,0.86367,0.85352,0.83274,0.84431,0.778,0.09127,0.00965,0.00099,0.04643,0.28978,0.17947,0.778,0.91267,0.96533,0.992,0.92867,0.86933,0.89733
colnomic-embed-multimodal-7b,0.80933,0.94,0.97667,1.0,0.954,0.90067,0.92,0.87153,0.80933,0.85786,0.85942,0.85951,0.85885,0.85067,0.8551,0.809333,0.857857,0.859417,0.859508,0.858852,0.850667,0.8551,,,,0.786875,0.525797,0.090716,0.762066,0.509736,-0.02314,0.798481,0.3793,-0.080074,0.793231,0.499141,-0.006955,0.72001,0.436755,-0.061133,0.694125,0.456785,-0.068522,0.778247,0.398068,-0.07218,0.778246,0.398173,-0.072172,0.777512,0.39925,-0.072714,0.798481,0.3793,-0.080074,0.778268,0.39808,-0.072796,0.772862,0.3948,-0.074027,0.771149,0.396679,-0.07533,0.778247,0.398068,-0.07218,0.778246,0.398173,-0.072172,0.777512,0.39925,-0.072714,0.798481,0.3793,-0.080074,0.778268,0.39808,-0.072796,0.772862,0.3948,-0.074027,0.771149,0.396679,-0.07533,0.776709,0.404275,-0.067452,0.776944,0.407584,-0.064029,0.77417,0.413291,-0.066754,0.798481,0.3793,-0.080074,0.777589,0.409005,-0.066633,0.762539,0.402839,-0.071515,0.758399,0.406554,-0.074069,1.0,1.0,1.0,0.786875,0.525797,0.090716,0.762066,0.509736,-0.02314,0.798481,0.3793,-0.080074,0.793231,0.499141,-0.006955,0.72001,0.436755,-0.061133,0.694125,0.456785,-0.068522,,,,0.786875,0.525797,0.090716,0.762066,0.509736,-0.02314,0.798481,0.3793,-0.080074,0.793231,0.499141,-0.006955,0.72001,0.436755,-0.061133,0.694125,0.456785,-0.068522,0.80933,0.87809,0.88583,0.88867,0.88166,0.86355,0.87153,0.80933,0.094,0.00977,0.001,0.0477,0.30022,0.184,0.80933,0.94,0.97667,1.0,0.954,0.90067,0.92
colpali-v1.1,0.216,0.46933,0.78,0.99333,0.558,0.322,0.37667,0.30016,0.216,0.28719,0.29881,0.29982,0.2933,0.26244,0.27484,0.216,0.28719,0.298814,0.299815,0.293296,0.262444,0.274844,0.039216,0.220588,0.203455,0.172169,0.00791,0.027907,0.291706,0.049813,0.03509,0.493147,0.074327,-0.003837,0.268051,0.057205,0.039145,0.361765,0.081843,0.010755,0.338347,0.08002,0.018119,0.415653,0.07171,0.005344,0.415106,0.071447,0.005251,0.416419,0.070875,0.005389,0.493147,0.074327,-0.003837,0.415536,0.071944,0.005725,0.430149,0.076528,0.002102,0.423337,0.075294,0.003444,0.415653,0.07171,0.005344,0.415106,0.071447,0.005251,0.416419,0.070875,0.005389,0.493147,0.074327,-0.003837,0.415536,0.071944,0.005725,0.430149,0.076528,0.002102,0.423337,0.075294,0.003444,0.393192,0.069657,0.009802,0.376316,0.063774,0.009997,0.384064,0.065995,0.012554,0.493147,0.074327,-0.003837,0.379957,0.068722,0.013401,0.411486,0.077921,0.00442,0.400139,0.076468,0.00727,0.039216,0.220588,0.203455,0.172169,0.00791,0.027907,0.291706,0.049813,0.03509,0.493147,0.074327,-0.003837,0.268051,0.057205,0.039145,0.361765,0.081843,0.010755,0.338347,0.08002,0.018119,0.039216,0.220588,0.203455,0.172169,0.00791,0.027907,0.291706,0.049813,0.03509,0.493147,0.074327,-0.003837,0.268051,0.057205,0.039145,0.361765,0.081843,0.010755,0.338347,0.08002,0.018119,0.216,0.3301,0.39328,0.42025,0.35246,0.27773,0.30016,0.216,0.04693,0.0078,0.00099,0.0279,0.10733,0.07533,0.216,0.46933,0.78,0.99333,0.558,0.322,0.37667
colpali-v1.2,0.26533,0.54067,0.814,0.998,0.61867,0.38933,0.46,0.36751,0.26533,0.34744,0.35764,0.35853,0.35273,0.32078,0.33691,0.265333,0.347442,0.357636,0.35853,0.352729,0.320778,0.336911,0.764239,0.851385,0.522409,0.202286,0.242117,0.179445,0.322441,0.210557,0.078,0.466361,0.225976,0.057532,0.303983,0.229085,0.109351,0.39286,0.216939,0.077104,0.358067,0.180959,0.053305,0.418987,0.217837,0.063179,0.418434,0.217904,0.063432,0.419403,0.216449,0.060629,0.466361,0.225976,0.057532,0.418979,0.217575,0.062702,0.432096,0.220729,0.063182,0.423583,0.211602,0.056729,0.418987,0.217837,0.063179,0.418434,0.217904,0.063432,0.419403,0.216449,0.060629,0.466361,0.225976,0.057532,0.418979,0.217575,0.062702,0.432096,0.220729,0.063182,0.423583,0.211602,0.056729,0.404394,0.218634,0.069395,0.389465,0.219951,0.076748,0.396258,0.214555,0.064516,0.466361,0.225976,0.057532,0.393882,0.218858,0.071749,0.42162,0.219674,0.066754,0.406722,0.203926,0.05595,0.764239,0.851385,0.522409,0.202286,0.242117,0.179445,0.322441,0.210557,0.078,0.466361,0.225976,0.057532,0.303983,0.229085,0.109351,0.39286,0.216939,0.077104,0.358067,0.180959,0.053305,0.764239,0.851385,0.522409,0.202286,0.242117,0.179445,0.322441,0.210557,0.078,0.466361,0.225976,0.057532,0.303983,0.229085,0.109351,0.39286,0.216939,0.077104,0.358067,0.180959,0.053305,0.26533,0.39336,0.44893,0.47241,0.41292,0.33842,0.36751,0.26533,0.05407,0.00814,0.001,0.03093,0.12978,0.092,0.26533,0.54067,0.814,0.998,0.61867,0.38933,0.46
colpali-v1.3,0.26733,0.54467,0.83733,0.996,0.636,0.39333,0.45467,0.36591,0.26733,0.3486,0.36033,0.36104,0.35513,0.32244,0.33648,0.267333,0.348601,0.360327,0.361036,0.355127,0.322444,0.336478,0.268441,0.434485,0.565515,0.21952,0.167004,0.184003,0.299567,0.194539,0.074143,0.48111,0.190809,0.035008,0.251687,0.175217,0.075122,0.353102,0.206547,0.078085,0.333666,0.221097,0.098797,0.411047,0.199579,0.057267,0.410814,0.199499,0.057491,0.412167,0.200089,0.056072,0.48111,0.190809,0.035008,0.409824,0.199027,0.056193,0.421085,0.200412,0.054366,0.416157,0.203335,0.059363,0.411047,0.199579,0.057267,0.410814,0.199499,0.057491,0.412167,0.200089,0.056072,0.48111,0.190809,0.035008,0.409824,0.199027,0.056193,0.421085,0.200412,0.054366,0.416157,0.203335,0.059363,0.392822,0.199679,0.064403,0.382983,0.197044,0.07096,0.384709,0.199487,0.061281,0.48111,0.190809,0.035008,0.376006,0.195346,0.061366,0.402916,0.202145,0.06067,0.394521,0.207841,0.069477,0.268441,0.434485,0.565515,0.21952,0.167004,0.184003,0.299567,0.194539,0.074143,0.48111,0.190809,0.035008,0.251687,0.175217,0.075122,0.353102,0.206547,0.078085,0.333666,0.221097,0.098797,0.268441,0.434485,0.565515,0.21952,0.167004,0.184003,0.299567,0.194539,0.074143,0.48111,0.190809,0.035008,0.251687,0.175217,0.075122,0.353102,0.206547,0.078085,0.333666,0.221097,0.098797,0.26733,0.39512,0.45583,0.47575,0.41845,0.34063,0.36591,0.26733,0.05447,0.00837,0.001,0.0318,0.13111,0.09093,0.26733,0.54467,0.83733,0.996,0.636,0.39333,0.45467
