Model,KoVidoreFinOCRRetrieval,KoVidoreMIRRetrieval,KoVidoreOfficeRetrieval,KoVidoreSlideRetrieval,KoVidoreVQARetrieval,Average
colnomic-embed-multimodal-7b,81.9,67.9,85.9,87.6,87.2,82.1
colnomic-embed-multimodal-3b,82.2,70.7,86.3,78.4,84.4,80.4
colqwen2.5-v0.2,67.3,62.5,75.3,78.0,81.0,72.8
colqwen2-v1.0,66.3,57.4,68.7,73.9,75.5,68.4
colpali-v1.2,43.8,20.2,28.4,51.2,36.8,36.1
colpali-v1.3,42.6,18.8,26.4,55.3,36.6,35.9
llama-nemoretriever-colembed-1b-v1,,28.1,,,39.4,33.8
colpali-v1.1,38.3,19.0,25.3,48.6,30.0,32.2
colSmol-500M,50.9,4.7,9.7,16.1,7.4,17.8
colSmol-256M,46.6,4.0,8.4,13.9,7.6,16.1
siglip-so400m-patch14-384,4.0,3.9,6.3,21.3,7.3,8.6
VLM2Vec-Full,1.4,1.6,7.2,14.9,6.8,6.4
CLIP-ViT-bigG-14-laion2B-39B-b160k,0.5,1.9,3.7,12.5,5.6,4.8
clip-vit-base-patch16,0.3,0.6,0.0,5.9,3.3,2.0
granite-vision-3.3-2b-embedding,0.0,0.4,0.6,0.3,0.2,0.3
