query-id,corpus-id,score
0,541,1
0,542,1
0,543,1
1,514,1
1,515,1
1,516,1
1,517,1
2,955,1
2,962,1
3,1045,1
3,1046,1
4,1125,1
4,1127,1
4,1128,1
5,159,1
5,160,1
5,161,1
6,458,1
6,459,1
6,460,1
6,461,1
7,752,1
7,764,1
8,945,1
8,946,1
8,947,1
8,949,1
9,729,1
9,730,1
10,544,1
10,563,1
11,584,1
11,585,1
11,586,1
11,587,1
12,886,1
12,888,1
13,380,1
13,381,1
13,383,1
13,384,1
14,729,1
14,730,1
14,731,1
14,732,1
15,172,1
15,173,1
15,174,1
15,175,1
15,176,1
16,180,1
17,700,1
17,701,1
17,702,1
17,703,1
18,1134,1
18,1135,1
18,1136,1
18,1137,1
18,1138,1
19,514,1
20,685,1
20,686,1
20,687,1
21,87,1
21,88,1
21,99,1
22,303,1
22,307,1
22,308,1
23,127,1
24,402,1
24,427,1
25,502,1
26,810,1
26,825,1
26,828,1
27,7,1
27,21,1
28,729,1
28,730,1
29,181,1
29,184,1
29,185,1
30,427,1
30,428,1
30,429,1
31,225,1
31,227,1
31,228,1
31,229,1
32,720,1
32,721,1
32,723,1
32,724,1
33,498,1
33,499,1
33,500,1
33,501,1
34,690,1
34,692,1
35,224,1
35,304,1
36,739,1
37,1060,1
37,1062,1
37,1063,1
38,158,1
38,159,1
38,160,1
38,161,1
38,162,1
39,129,1
39,130,1
40,661,1
40,709,1
41,1134,1
42,11,1
43,50,1
43,51,1
43,55,1
43,56,1
44,841,1
44,842,1
44,847,1
44,848,1
45,444,1
45,448,1
46,1042,1
47,718,1
47,719,1
48,598,1
48,600,1
48,601,1
49,751,1
49,754,1
49,757,1
50,455,1
50,456,1
50,457,1
50,460,1
51,1012,1
51,1030,1
52,66,1
52,68,1
52,69,1
52,70,1
53,452,1
53,453,1
53,454,1
53,455,1
53,456,1
53,457,1
54,426,1
54,475,1
55,74,1
55,75,1
55,76,1
55,77,1
56,427,1
56,428,1
56,429,1
57,718,1
57,719,1
58,275,1
58,276,1
59,330,1
59,331,1
59,332,1
59,333,1
59,334,1
60,1041,1
60,1043,1
60,1047,1
61,972,1
61,977,1
62,507,1
62,508,1
62,511,1
63,718,1
63,719,1
63,720,1
64,701,1
64,702,1
64,703,1
64,704,1
65,1023,1
65,1027,1
66,164,1
66,165,1
66,166,1
67,119,1
67,120,1
68,413,1
69,1125,1
69,1127,1
69,1128,1
69,1129,1
70,790,1
70,791,1
70,821,1
71,203,1
71,204,1
72,530,1
72,534,1
73,504,1
73,516,1
74,878,1
74,879,1
74,880,1
74,881,1
74,882,1
75,405,1
75,406,1
76,757,1
77,163,1
77,164,1
77,165,1
77,166,1
77,167,1
77,168,1
77,169,1
78,450,1
78,451,1
78,453,1
78,454,1
79,773,1
80,497,1
80,519,1
81,326,1
82,966,1
82,967,1
83,411,1
83,412,1
84,36,1
84,37,1
85,931,1
85,932,1
86,623,1
86,646,1
87,834,1
87,835,1
87,836,1
87,838,1
88,248,1
88,249,1
89,7,1
89,8,1
89,9,1
90,402,1
90,403,1
90,404,1
91,589,1
91,591,1
92,162,1
93,99,1
94,794,1
94,795,1
94,796,1
95,465,1
95,466,1
95,467,1
95,468,1
96,590,1
96,592,1
96,593,1
96,594,1
97,948,1
98,949,1
98,955,1
99,66,1
99,67,1
99,68,1
99,70,1
99,71,1
100,505,1
100,506,1
100,507,1
100,508,1
101,764,1
101,765,1
102,856,1
102,857,1
102,858,1
103,95,1
104,60,1
104,61,1
104,62,1
104,63,1
105,926,1
105,951,1
106,752,1
106,753,1
106,772,1
107,711,1
107,712,1
107,713,1
107,714,1
107,715,1
108,847,1
108,849,1
108,850,1
108,851,1
109,25,1
109,26,1
109,29,1
109,31,1
110,936,1
110,977,1
111,1130,1
112,941,1
113,1141,1
113,1142,1
114,951,1
115,127,1
115,128,1
115,129,1
115,130,1
115,131,1
116,672,1
117,891,1
117,892,1
118,928,1
118,929,1
118,930,1
118,931,1
118,932,1
119,700,1
119,701,1
119,702,1
119,703,1
120,694,1
120,695,1
121,280,1
121,281,1
121,282,1
121,283,1
121,284,1
122,292,1
122,294,1
122,295,1
122,296,1
123,483,1
124,511,1
124,512,1
124,515,1
124,516,1
124,517,1
125,379,1
125,381,1
126,1087,1
126,1095,1
127,807,1
127,808,1
127,810,1
128,86,1
128,87,1
128,88,1
128,90,1
128,91,1
129,14,1
129,66,1
130,899,1
130,904,1
131,758,1
131,759,1
132,142,1
133,58,1
133,59,1
133,60,1
133,61,1
133,62,1
134,172,1
134,173,1
134,174,1
134,175,1
134,176,1
134,177,1
134,178,1
135,500,1
136,1038,1
136,1059,1
137,142,1
137,169,1
137,175,1
138,1045,1
139,803,1
140,1021,1
140,1022,1
140,1023,1
141,1087,1
142,450,1
143,51,1
143,52,1
143,53,1
143,55,1
144,465,1
144,466,1
144,469,1
145,530,1
145,534,1
146,280,1
146,282,1
147,243,1
147,244,1
147,245,1
147,246,1
148,607,1
148,612,1
