query-id,corpus-id,score
0,913,1
0,914,1
0,915,1
0,916,1
0,917,1
0,918,1
1,1231,1
1,1232,1
1,1230,1
2,1562,1
2,1563,1
2,1564,1
2,1565,1
3,172,1
3,174,1
3,176,1
3,177,1
4,410,1
4,411,1
4,412,1
4,413,1
5,578,1
5,579,1
5,580,1
5,581,1
6,567,1
6,568,1
6,569,1
6,570,1
7,1148,1
7,1152,1
7,1153,1
8,667,1
8,668,1
8,676,1
9,524,1
9,528,1
10,614,1
10,615,1
10,617,1
11,1458,1
11,1459,1
11,1467,1
12,659,1
12,660,1
12,661,1
13,483,1
13,484,1
13,485,1
14,807,1
14,808,1
14,809,1
15,797,1
15,800,1
15,801,1
15,802,1
15,803,1
16,777,1
16,778,1
16,779,1
16,780,1
16,781,1
17,372,1
17,373,1
17,375,1
17,376,1
17,377,1
18,20,1
18,21,1
18,22,1
18,23,1
18,24,1
19,1315,1
19,1319,1
19,1320,1
19,1321,1
20,31,1
20,32,1
20,33,1
20,37,1
21,104,1
21,106,1
21,108,1
21,110,1
22,186,1
22,188,1
22,189,1
22,190,1
23,194,1
23,196,1
23,197,1
23,198,1
24,835,1
24,836,1
24,838,1
24,839,1
25,633,1
25,634,1
25,635,1
26,1314,1
26,1315,1
26,1316,1
27,676,1
27,677,1
27,678,1
28,609,1
28,610,1
28,612,1
29,602,1
29,603,1
29,604,1
30,563,1
30,565,1
30,567,1
31,734,1
31,736,1
31,737,1
32,64,1
32,65,1
32,66,1
33,659,1
33,660,1
33,663,1
34,1216,1
34,1218,1
34,1220,1
35,449,1
35,452,1
35,455,1
36,866,1
36,867,1
36,871,1
37,400,1
37,402,1
37,403,1
38,925,1
38,926,1
38,929,1
39,342,1
39,343,1
39,344,1
40,67,1
40,71,1
41,1016,1
41,1017,1
41,1018,1
42,1160,1
42,1161,1
42,1163,1
43,1490,1
43,1493,1
43,1494,1
44,1153,1
44,1154,1
44,1155,1
45,1288,1
45,1290,1
45,1292,1
46,1353,1
46,1356,1
47,1294,1
47,1296,1
48,1370,1
48,1371,1
49,1370,1
49,1372,1
50,1242,1
50,1245,1
51,1241,1
51,1243,1
52,1395,1
52,1399,1
53,1374,1
53,1375,1
54,139,1
54,141,1
55,138,1
55,141,1
56,1501,1
56,1503,1
57,1083,1
57,1084,1
58,1551,1
58,1552,1
59,1071,1
59,1072,1
60,1059,1
60,1061,1
61,1388,1
61,1392,1
62,1019,1
62,1020,1
63,1409,1
63,1412,1
64,116,1
64,118,1
65,951,1
65,953,1
66,183,1
66,186,1
67,217,1
67,218,1
68,273,1
68,275,1
69,302,1
69,303,1
70,775,1
70,778,1
71,1252,1
71,1258,1
72,529,1
72,530,1
73,1241,1
73,1243,1
74,774,1
74,775,1
75,824,1
75,825,1
76,1107,1
76,1112,1
76,1113,1
77,1014,1
77,1015,1
78,231,1
78,232,1
79,1536,1
79,1537,1
80,665,1
81,1204,1
82,809,1
83,1569,1
83,1570,1
83,1571,1
83,1572,1
83,1573,1
83,1574,1
84,371,1
84,372,1
84,373,1
84,374,1
84,375,1
84,376,1
85,578,1
85,579,1
85,580,1
85,581,1
86,205,1
86,206,1
86,208,1
87,657,1
87,659,1
87,661,1
88,495,1
88,497,1
88,499,1
89,98,1
89,99,1
89,106,1
90,81,1
90,87,1
90,152,1
91,716,1
91,731,1
91,765,1
92,81,1
92,98,1
92,110,1
93,1141,1
93,1177,1
94,1188,1
94,1198,1
95,474,1
95,487,1
96,869,1
96,881,1
97,88,1
97,150,1
98,112,1
98,114,1
99,872,1
99,938,1
100,885,1
100,901,1
101,946,1
101,1016,1
102,329,1
102,336,1
103,1192,1
103,1204,1
104,327,1
104,329,1
105,960,1
105,1004,1
106,960,1
106,962,1
107,1271,1
107,1275,1
108,1280,1
108,1308,1
109,1507,1
109,1521,1
110,83,1
110,107,1
111,981,1
112,86,1
112,110,1
113,481,1
113,528,1
114,573,1
114,585,1
115,1364,1
115,1374,1
116,559,1
116,569,1
117,1028,1
117,1057,1
118,568,1
118,578,1
119,569,1
119,577,1
120,1206,1
120,1212,1
121,166,1
121,196,1
122,504,1
122,541,1
123,488,1
123,546,1
124,1348,1
124,1418,1
125,1111,1
125,1159,1
126,1061,1
126,1077,1
127,1028,1
127,1055,1
127,1077,1
128,91,1
128,115,1
128,142,1
129,1520,1
129,1550,1
130,554,1
130,561,1
130,597,1
131,870,1
131,892,1
131,927,1
132,1026,1
132,1033,1
132,1057,1
133,872,1
133,899,1
134,1213,1
134,1218,1
134,1239,1
135,86,1
135,102,1
135,114,1
136,949,1
136,972,1
137,955,1
137,971,1
137,981,1
138,868,1
138,883,1
139,981,1
139,983,1
140,868,1
140,885,1
141,344,1
141,347,1
142,1268,1
143,1282,1
143,1292,1
144,1267,1
144,1325,1
145,81,1
145,97,1
146,947,1
146,965,1
147,1519,1
147,1525,1
148,1045,1
148,1054,1
149,573,1
149,614,1
150,552,1
150,587,1
151,558,1
151,577,1
152,168,1
152,182,1
153,174,1
153,190,1
154,1184,1
154,1211,1
155,472,1
155,534,1
156,170,1
156,172,1
157,487,1
157,497,1
158,491,1
158,492,1
159,727,1
159,770,1
160,712,1
160,730,1
161,722,1
161,723,1
162,1344,1
162,1372,1
