corpus-id,image_path
IMG_OCR_6_T_BL_025692,data/finocr/images/IMG_OCR_6_T_BL_025692.png
IMG_OCR_6_T_ET_010706,data/finocr/images/IMG_OCR_6_T_ET_010706.png
IMG_OCR_6_F_0070223,data/finocr/images/IMG_OCR_6_F_0070223.png
IMG_OCR_6_F_0177515,data/finocr/images/IMG_OCR_6_F_0177515.png
IMG_OCR_6_T_PL_018753,data/finocr/images/IMG_OCR_6_T_PL_018753.png
IMG_OCR_6_F_0004921,data/finocr/images/IMG_OCR_6_F_0004921.png
IMG_OCR_6_T_ET_004699,data/finocr/images/IMG_OCR_6_T_ET_004699.png
IMG_OCR_6_F_0204611,data/finocr/images/IMG_OCR_6_F_0204611.png
IMG_OCR_6_T_NV_018284,data/finocr/images/IMG_OCR_6_T_NV_018284.png
IMG_OCR_6_F_0216507,data/finocr/images/IMG_OCR_6_F_0216507.png
IMG_OCR_6_F_0175921,data/finocr/images/IMG_OCR_6_F_0175921.png
IMG_OCR_6_F_0093402,data/finocr/images/IMG_OCR_6_F_0093402.png
IMG_OCR_6_T_PL_023681,data/finocr/images/IMG_OCR_6_T_PL_023681.png
IMG_OCR_6_T_PL_004908,data/finocr/images/IMG_OCR_6_T_PL_004908.png
IMG_OCR_6_T_ET_010585,data/finocr/images/IMG_OCR_6_T_ET_010585.png
IMG_OCR_6_T_PL_018593,data/finocr/images/IMG_OCR_6_T_PL_018593.png
IMG_OCR_6_F_0281308,data/finocr/images/IMG_OCR_6_F_0281308.png
IMG_OCR_6_F_0058717,data/finocr/images/IMG_OCR_6_F_0058717.png
IMG_OCR_6_F_0189515,data/finocr/images/IMG_OCR_6_F_0189515.png
IMG_OCR_6_F_0139415,data/finocr/images/IMG_OCR_6_F_0139415.png
IMG_OCR_6_T_BL_019610,data/finocr/images/IMG_OCR_6_T_BL_019610.png
IMG_OCR_6_T_NV_008259,data/finocr/images/IMG_OCR_6_T_NV_008259.png
IMG_OCR_6_T_CO_003073,data/finocr/images/IMG_OCR_6_T_CO_003073.png
IMG_OCR_6_F_0010415,data/finocr/images/IMG_OCR_6_F_0010415.png
IMG_OCR_6_F_0176024,data/finocr/images/IMG_OCR_6_F_0176024.png
IMG_OCR_6_T_NV_018023,data/finocr/images/IMG_OCR_6_T_NV_018023.png
IMG_OCR_6_T_ET_013299,data/finocr/images/IMG_OCR_6_T_ET_013299.png
IMG_OCR_6_T_NV_008681,data/finocr/images/IMG_OCR_6_T_NV_008681.png
IMG_OCR_6_F_0146011,data/finocr/images/IMG_OCR_6_F_0146011.png
IMG_OCR_6_T_NV_024920,data/finocr/images/IMG_OCR_6_T_NV_024920.png
IMG_OCR_6_F_0047907,data/finocr/images/IMG_OCR_6_F_0047907.png
IMG_OCR_6_T_PL_006674,data/finocr/images/IMG_OCR_6_T_PL_006674.png
IMG_OCR_6_F_0210616,data/finocr/images/IMG_OCR_6_F_0210616.png
IMG_OCR_6_T_NV_017680,data/finocr/images/IMG_OCR_6_T_NV_017680.png
IMG_OCR_6_T_ET_011954,data/finocr/images/IMG_OCR_6_T_ET_011954.png
