query-id,corpus-id,score
MI3_240725_TY2_0001_1_V02-8_1,MI2_240725_TY2_0001_1,1
MI3_240725_TY2_0001_3_V01_2,MI2_240725_TY2_0001_3,1
MI3_240725_TY2_0006_2_V01_3,MI2_240725_TY2_0006_2,1
MI3_240725_TY2_0023_2_V01_1,MI2_240725_TY2_0023_2,1
MI3_240725_TY2_0024_2_V02-1_1,MI2_240725_TY2_0024_2,1
MI3_240725_TY2_0027_1_V01_1,MI2_240725_TY2_0027_1,1
MI3_240725_TY2_0035_2_V02-1_2,MI2_240725_TY2_0035_2,1
MI3_240725_TY2_0035_4_V02-3_2,MI2_240725_TY2_0035_4,1
MI3_240725_TY2_0040_3_V02-4_1,MI2_240725_TY2_0040_3,1
MI3_240725_TY2_0041_1_V02-4_1,MI2_240725_TY2_0041_1,1
MI3_240725_TY2_0041_3_V02-8_1,MI2_240725_TY2_0041_3,1
MI3_240725_TY2_0057_2_V01_1,MI2_240725_TY2_0057_2,1
MI3_240725_TY2_0071_3_V01_1,MI2_240725_TY2_0071_3,1
MI3_240725_TY2_0089_5_V02-1_1,MI2_240725_TY2_0089_5,1
MI3_240725_TY2_0095_3_V01_1,MI2_240725_TY2_0095_3,1
MI3_240725_TY2_0110_4_V01_2,MI2_240725_TY2_0110_4,1
MI3_240725_TY2_0154_3_V01_1,MI2_240725_TY2_0154_3,1
MI3_240725_TY2_0154_4_V02-8_2,MI2_240725_TY2_0154_4,1
MI3_240725_TY2_0189_3_V02-3_2,MI2_240725_TY2_0189_3,1
MI3_240725_TY2_0191_2_V02-1_2,MI2_240725_TY2_0191_2,1
MI3_240725_TY2_0191_3_V02-1_1,MI2_240725_TY2_0191_3,1
MI3_240725_TY2_0191_7_V02-1_1,MI2_240725_TY2_0191_7,1
MI3_240725_TY2_0208_1_V01_2,MI2_240725_TY2_0208_1,1
MI3_240725_TY2_0208_2_V01_2,MI2_240725_TY2_0208_2,1
MI3_240725_TY2_0249_1_V01_1,MI2_240725_TY2_0249_1,1
MI3_240725_TY2_0249_1_V01_2,MI2_240725_TY2_0249_1,1
MI3_240725_TY2_0265_2_V01_1,MI2_240725_TY2_0265_2,1
MI3_240725_TY2_0325_1_V01_1,MI2_240725_TY2_0325_1,1
MI3_240725_TY2_0340_1_V01_1,MI2_240725_TY2_0340_1,1
MI3_240725_TY2_0360_4_V01_3,MI2_240725_TY2_0360_4,1
MI3_240725_TY2_0364_3_V01_1,MI2_240725_TY2_0364_3,1
MI3_240729_TY2_0081_3_V02-8_2,MI2_240729_TY2_0081_3,1
