query-id,corpus-id,score
1,OC2_240805_TY2-1_0787_001,1
2,OC2_240805_TY2-1_0787_001,1
3,OC2_240805_TY2-1_0787_001,1
4,OC2_240805_TY2-1_0787_002,1
5,OC2_240805_TY2-1_0787_002,1
6,OC2_240805_TY2-1_0787_002,1
7,OC2_240805_TY2-1_0787_002,1
8,OC2_240805_TY2-1_0787_002,1
9,OC2_240805_TY2-1_0787_001,1
10,OC2_240805_TY2-1_0787_001,1
10,OC2_240805_TY2-1_0787_002,1
11,OC2_240805_TY2-1_0672_001,1
12,OC2_240805_TY2-1_0672_001,1
13,OC2_240805_TY2-1_0672_003,1
13,OC2_240805_TY2-1_0672_001,1
14,OC2_240805_TY2-1_0672_003,1
15,OC2_240805_TY2-1_0672_002,1
16,OC2_240805_TY2-1_0672_001,1
17,OC2_240805_TY2-1_0672_001,1
17,OC2_240805_TY2-1_0672_003,1
18,OC2_240805_TY2-1_0672_002,1
18,OC2_240805_TY2-1_0672_001,1
19,OC2_240805_TY2-1_0672_003,1
20,OC2_240805_TY2-1_0672_002,1
21,OC2_240816_TY1-2_1086_001,1
22,OC2_240816_TY1-2_1086_001,1
23,OC2_240816_TY1-2_1086_001,1
24,OC2_240816_TY1-2_1086_001,1
25,OC2_240816_TY1-2_1086_001,1
26,OC2_240816_TY1-2_1086_001,1
27,OC2_240816_TY1-2_1086_001,1
28,OC2_240816_TY1-2_1086_001,1
29,OC2_240816_TY1-2_1086_001,1
30,OC2_240816_TY1-2_1086_001,1
31,OC2_240816_TY1-2_1053_001,1
32,OC2_240816_TY1-2_1053_001,1
33,OC2_240816_TY1-2_1053_001,1
34,OC2_240816_TY1-2_1053_001,1
35,OC2_240816_TY1-2_1053_001,1
36,OC2_240816_TY1-2_1053_002,1
37,OC2_240816_TY1-2_1053_002,1
38,OC2_240816_TY1-2_1053_002,1
39,OC2_240816_TY1-2_1053_001,1
40,OC2_240816_TY1-2_1053_003,1
41,OC2_240816_TY1-2_1053_003,1
42,OC2_240816_TY1-2_1053_002,1
43,OC2_240816_TY1-2_1012_001,1
44,OC2_240816_TY1-2_1012_001,1
45,OC2_240816_TY1-2_1012_001,1
46,OC2_240816_TY1-2_1012_001,1
47,OC2_240816_TY1-2_1012_001,1
48,OC2_240816_TY1-2_1012_002,1
49,OC2_240816_TY1-2_1012_002,1
50,OC2_240816_TY1-2_1012_002,1
51,OC2_240816_TY1-2_1012_002,1
52,OC2_240816_TY1-2_1012_003,1
53,OC2_240816_TY1-2_1012_003,1
54,OC2_240816_TY1-2_1012_003,1
55,OC2_240816_TY1-2_0904_001,1
56,OC2_240816_TY1-2_0904_001,1
57,OC2_240816_TY1-2_0904_001,1
58,OC2_240816_TY1-2_0904_001,1
59,OC2_240816_TY1-2_0904_001,1
60,OC2_240816_TY1-2_0904_001,1
61,OC2_240816_TY1-2_0904_002,1
62,OC2_240816_TY1-2_0904_002,1
63,OC2_240816_TY1-2_0904_002,1
64,OC2_240816_TY1-2_0904_002,1
65,OC2_240816_TY1-2_0904_001,1
66,OC2_240816_TY1-2_0904_002,1
67,OC2_240805_TY2-1_0775_001,1
68,OC2_240805_TY2-1_0775_001,1
69,OC2_240805_TY2-1_0775_001,1
70,OC2_240805_TY2-1_0775_001,1
71,OC2_240805_TY2-1_0775_001,1
72,OC2_240805_TY2-1_0775_001,1
73,OC2_240805_TY2-1_0775_001,1
74,OC2_240805_TY2-1_0775_002,1
75,OC2_240805_TY2-1_0775_002,1
76,OC2_240805_TY2-1_0775_002,1
77,OC2_240902_TY1-1_0016_001,1
78,OC2_240902_TY1-1_0016_001,1
79,OC2_240902_TY1-1_0016_001,1
80,OC2_240902_TY1-1_0016_001,1
81,OC2_240902_TY1-1_0016_001,1
82,OC2_240902_TY1-1_0016_002,1
83,OC2_240902_TY1-1_0016_002,1
84,OC2_240902_TY1-1_0016_002,1
85,OC2_240902_TY1-1_0016_002,1
86,OC2_240902_TY1-1_0016_002,1
87,OC2_240902_TY1-1_0016_003,1
88,OC2_240902_TY1-1_0016_003,1
89,OC2_240902_TY1-1_0016_003,1
90,OC2_240902_TY1-1_0016_001,1
91,OC2_240902_TY1-1_0016_001,1
92,OC2_240805_TY2-1_0754_001,1
93,OC2_240805_TY2-1_0754_001,1
94,OC2_240805_TY2-1_0754_001,1
95,OC2_240805_TY2-1_0754_002,1
96,OC2_240805_TY2-1_0754_002,1
97,OC2_240805_TY2-1_0754_002,1
98,OC2_240805_TY2-1_0754_002,1
99,OC2_240805_TY2-1_0754_002,1
100,OC2_240805_TY2-1_0754_002,1
101,OC2_240805_TY2-1_0754_001,1
102,OC2_241030_TY1-2_0032_001,1
103,OC2_241030_TY1-2_0032_001,1
104,OC2_241030_TY1-2_0032_001,1
105,OC2_241030_TY1-2_0032_001,1
106,OC2_241030_TY1-2_0032_002,1
106,OC2_241030_TY1-2_0032_001,1
107,OC2_241030_TY1-2_0032_002,1
108,OC2_241030_TY1-2_0032_002,1
109,OC2_241030_TY1-2_0032_001,1
109,OC2_241030_TY1-2_0032_002,1
110,OC2_241030_TY1-2_0032_001,1
