query-id,corpus-id,score
1,OC2_240916_TY3_0076_002,1
2,OC2_240916_TY3_0076_002,1
2,OC2_240916_TY3_0076_014,1
3,OC2_240916_TY3_0076_002,1
4,OC2_240916_TY3_0076_003,1
5,OC2_240916_TY3_0076_004,1
6,OC2_240916_TY3_0076_005,1
6,OC2_240916_TY3_0076_006,1
7,OC2_240916_TY3_0076_005,1
7,OC2_240916_TY3_0076_007,1
8,OC2_240916_TY3_0076_005,1
8,OC2_240916_TY3_0076_008,1
9,OC2_240916_TY3_0076_009,1
10,OC2_240916_TY3_0076_010,1
10,OC2_240916_TY3_0076_016,1
11,OC2_240916_TY3_0076_011,1
11,OC2_240916_TY3_0076_012,1
12,OC2_240916_TY3_0076_013,1
12,OC2_240916_TY3_0076_018,1
13,OC2_240916_TY3_0076_014,1
13,OC2_240916_TY3_0076_017,1
14,OC2_240916_TY3_0076_015,1
15,OC2_240916_TY3_0076_016,1
16,OC2_240916_TY3_0076_020,1
16,OC2_240916_TY3_0076_021,1
17,OC2_240916_TY3_0076_022,1
18,OC2_240916_TY3_0076_013,1
18,OC2_240916_TY3_0076_019,1
19,OC2_240916_TY3_0076_018,1
19,OC2_240916_TY3_0076_023,1
20,OC2_240916_TY3_0076_021,1
20,OC2_240916_TY3_0076_020,1
21,OC2_240916_TY3_0076_024,1
21,OC2_240916_TY3_0076_026,1
21,OC2_240916_TY3_0076_027,1
22,OC2_240916_TY3_0076_025,1
22,OC2_240916_TY3_0076_026,1
22,OC2_240916_TY3_0076_029,1
23,OC2_240916_TY3_0076_028,1
23,OC2_240916_TY3_0076_014,1
24,OC2_240916_TY3_0076_023,1
24,OC2_240916_TY3_0076_028,1
25,OC2_240916_TY3_0076_014,1
26,OC2_240827_TY3_0106_006,1
27,OC2_240827_TY3_0106_004,1
28,OC2_240827_TY3_0106_003,1
29,OC2_240827_TY3_0106_006,1
30,OC2_240827_TY3_0106_007,1
31,OC2_240827_TY3_0106_002,1
32,OC2_240827_TY3_0106_010,1
33,OC2_240827_TY3_0106_005,1
34,OC2_240827_TY3_0106_011,1
35,OC2_240827_TY3_0106_006,1
36,OC2_240827_TY3_0106_007,1
37,OC2_240827_TY3_0106_006,1
38,OC2_240827_TY3_0106_010,1
39,OC2_240827_TY3_0106_008,1
40,OC2_240827_TY3_0106_006,1
41,OC2_240827_TY3_0023_002,1
42,OC2_240827_TY3_0023_002,1
43,OC2_240827_TY3_0023_002,1
44,OC2_240827_TY3_0023_002,1
45,OC2_240827_TY3_0023_002,1
46,OC2_240827_TY3_0023_003,1
47,OC2_240827_TY3_0023_003,1
48,OC2_240827_TY3_0023_004,1
49,OC2_240827_TY3_0023_004,1
50,OC2_240827_TY3_0023_004,1
51,OC2_240827_TY3_0023_005,1
52,OC2_240827_TY3_0023_005,1
53,OC2_240827_TY3_0023_005,1
54,OC2_240827_TY3_0023_001,1
55,OC2_240918_TY3_0087_001,1
55,OC2_240918_TY3_0087_002,1
56,OC2_240918_TY3_0087_003,1
57,OC2_240918_TY3_0087_007,1
57,OC2_240918_TY3_0087_020,1
58,OC2_240918_TY3_0087_002,1
58,OC2_240918_TY3_0087_007,1
58,OC2_240918_TY3_0087_020,1
59,OC2_240918_TY3_0087_005,1
59,OC2_240918_TY3_0087_018,1
60,OC2_240918_TY3_0087_005,1
60,OC2_240918_TY3_0087_007,1
60,OC2_240918_TY3_0087_020,1
61,OC2_240918_TY3_0087_006,1
61,OC2_240918_TY3_0087_014,1
61,OC2_240918_TY3_0087_015,1
62,OC2_240918_TY3_0087_006,1
63,OC2_240918_TY3_0087_015,1
63,OC2_240918_TY3_0087_008,1
64,OC2_240918_TY3_0087_016,1
64,OC2_240918_TY3_0087_008,1
65,OC2_240918_TY3_0087_008,1
66,OC2_240918_TY3_0087_008,1
67,OC2_240918_TY3_0087_004,1
67,OC2_240918_TY3_0087_022,1
68,OC2_240918_TY3_0087_009,1
69,OC2_240918_TY3_0087_010,1
70,OC2_240918_TY3_0087_011,1
71,OC2_240918_TY3_0087_012,1
72,OC2_240918_TY3_0087_026,1
73,OC2_240918_TY3_0087_013,1
74,OC2_240918_TY3_0087_022,1
75,OC2_240918_TY3_0087_021,1
76,OC2_240918_TY3_0087_023,1
77,OC2_240918_TY3_0087_027,1
77,OC2_240918_TY3_0087_024,1
78,OC2_240918_TY3_0087_025,1
78,OC2_240918_TY3_0087_028,1
79,OC2_240918_TY3_0087_007,1
79,OC2_240918_TY3_0087_020,1
80,OC2_240918_TY3_0087_003,1
80,OC2_240918_TY3_0087_019,1
81,OC2_240918_TY3_0087_002,1
81,OC2_240918_TY3_0087_017,1
82,OC2_240918_TY3_0087_026,1
82,OC2_240918_TY3_0087_011,1
82,OC2_240918_TY3_0087_012,1
83,OC2_240918_TY3_0087_030,1
83,OC2_240918_TY3_0087_022,1
84,OC2_240918_TY3_0087_029,1
84,OC2_240918_TY3_0087_031,1
85,OC2_240827_TY3_0262_002,1
86,OC2_240827_TY3_0262_003,1
87,OC2_240827_TY3_0262_003,1
88,OC2_240827_TY3_0262_004,1
89,OC2_240827_TY3_0262_005,1
90,OC2_240827_TY3_0262_005,1
91,OC2_240827_TY3_0262_005,1
92,OC2_240827_TY3_0262_006,1
93,OC2_240827_TY3_0262_006,1
94,OC2_240827_TY3_0262_007,1
95,OC2_240827_TY3_0262_007,1
96,OC2_240827_TY3_0262_008,1
97,OC2_240827_TY3_0262_009,1
98,OC2_240827_TY3_0262_010,1
99,OC2_240827_TY3_0262_010,1
100,OC2_240827_TY3_0251_004,1
101,OC2_240827_TY3_0251_004,1
102,OC2_240827_TY3_0251_005,1
103,OC2_240827_TY3_0251_006,1
104,OC2_240827_TY3_0251_002,1
105,OC2_240827_TY3_0251_003,1
