query-id,corpus-id,score
81623,QA2_240729_00_005442_0002,1
16079,QA2_240813_00_001072_0004,1
15580,QA2_240729_00_001039_0002,1
60438,QA2_240712_00_004030_0001,1
60227,QA2_240715_00_004016_0001,1
94547,QA2_240812_00_006304_0001,1
89080,QA2_240730_00_005939_0002,1
91201,QA2_240726_00_006081_0001,1
41206,QA2_240725_00_002748_0001,1
146674,QA2_241021_00_009779_0001,1
58549,QA2_240715_00_003904_0001,1
63258,QA2_240723_00_004218_0001,1
11145,QA2_240725_00_000743_0003,1
149563,QA2_241022_00_009971_0003,1
79181,QA2_240724_00_005279_0003,1
88572,QA2_240808_00_005905_0004,1
88737,QA2_240809_00_005916_0004,1
27460,QA2_240731_00_001831_0002,1
84785,QA2_240809_00_005653_0001,1
112690,QA2_240910_00_007513_0003,1
113053,QA2_240910_00_007537_0004,1
30268,QA2_240806_00_002018_0004,1
5580,QA2_240716_00_000372_0003,1
45003,QA2_240719_00_003001_0001,1
27682,QA2_240905_00_001846_0002,1
21889,QA2_240708_00_001460_0001,1
99642,QA2_240730_00_006643_0003,1
105835,QA2_240912_00_007056_0003,1
111024,QA2_240911_00_007402_0003,1
81781,QA2_240730_00_005453_0001,1
79693,QA2_240806_00_005313_0004,1
47795,QA2_240702_00_003187_0001,1
42416,QA2_240726_00_002828_0004,1
84951,QA2_240725_00_005664_0002,1
105834,QA2_240912_00_007056_0002,1
91210,QA2_240726_00_006081_0003,1
111027,QA2_240911_00_007402_0003,1
99238,QA2_240819_00_006616_0005,1
20649,QA2_240808_00_001377_0002,1
111021,QA2_240911_00_007402_0002,1
81617,QA2_240729_00_005442_0001,1
146702,QA2_241021_00_009781_0002,1
149995,QA2_241022_00_010000_0002,1
45382,QA2_240904_00_003026_0002,1
28384,QA2_240801_00_001893_0001,1
63239,QA2_240801_00_004216_0004,1
113351,QA2_240911_00_007557_0003,1
89076,QA2_240730_00_005939_0002,1
39991,QA2_240725_00_002667_0001,1
48130,QA2_240703_00_003209_0004,1
23611,QA2_240906_00_001575_0001,1
92931,QA2_240812_00_006196_0002,1
54650,QA2_240712_00_003644_0001,1
11182,QA2_240729_00_000746_0002,1
49917,QA2_240708_00_003328_0005,1
89838,QA2_240807_00_005990_0001,1
112369,QA2_240910_00_007492_0001,1
7546,QA2_240715_00_000504_0001,1
112944,QA2_240912_00_007530_0002,1
22930,QA2_240805_00_001529_0003,1
112795,QA2_240910_00_007520_0002,1
102815,QA2_240905_00_006855_0002,1
91211,QA2_240726_00_006081_0003,1
141607,QA2_241016_00_009441_0002,1
14754,QA2_240806_00_000984_0003,1
87285,QA2_240801_00_005819_0003,1
99635,QA2_240730_00_006643_0002,1
81225,QA2_240807_00_005415_0005,1
