query-id,text
0,"제조업 및 서비스업 성장률과 건설 투자 변동, 물가 상승률의 상관관계를 2020-2022년 기간 동안 분석하시오."
1,"2020년의 GDP성장률, 소비자물가, 생산자물가, 수출입물가"
2,2020년부터 2022년까지 M2 광의통화 증가율과 회사채 유통수익률 및 콜금리 간의 상관관계는 어떻게 변화했나요?
3,"2024년 1/4분기 한국 민간소비 증가와 미국·일본·유로존의 소비자물가, 고용지표, 수출 동향을 비교 분석하라."
4,2025년 상반기 한국의 소매판매 증가 요인과 설비투자 감소 요인을 비교 분석하라.
5,"2020년 코로나19 팬데믹 기간 동안 광공업과 서비스업 생산 추이는 어떻게 달랐으며, 이는 전산업생산 지수와 경기종합지수에 어떤 영향을 미쳤나요?"
6,2021년 한국의 민간소비 회복과 설비투자 성장 간의 관계는 무엇인가요?
7," 2021년 제조업 취업자 증감, GDP 성장률, 경제활동별 성장률의 상관관계"
8,2024년 상반기 주택 매매거래량 증가와 청년실업률 변동 간의 상관관계를 분석하라.
9,2020년 국내 기계수주 증가와 수출 성장률 간의 관계는 무엇인가요?
10,2020년 M2 광의통화 증가율 확대가 GDP 대비 국가채무 증가에 어떤 영향을 미쳤나요?
11,2025년 1분기 수도권과 지방의 주택 매매가격 변동률이 해당 지역 고용률 및 실업률에 미친 영향을 비교 분석하라.
12,2024년 7월 서비스업 생산 증가 요인과 광공업 생산 감소 요인을 비교하라.
13,미국 유로존 2021년 1분기 경제 지표 비교
14,설비투자와 건설투자의 전기비 및 전년동기비 추이는 2023년 1분기까지 어떻게 달랐나요?
15,2020년 국제유가 급락과 이후 세계 주요국의 GDP 및 산업생산 변화 간의 관계는 무엇인가요?
16,"2021년 일본, 유로존, 독일, 영국, 대만의 GDP 성장률 비교"
17,"2021년과 2022년 한국의 대미, 대일, 대EU 무역수지 변화가 원화 환율 변동 및 M2 통화증가율과 어떤 상관관계를 보였나요?"
18,"2020년 경제 위기 이후 민간소비, 설비투자, 건설투자의 회복 패턴을 비교 분석하라."
19,"2023년 국내기계수주 감소와 이에 따른 대미, 대일, 대EU 수출 영향"
20,2024년 10월 서비스업 생산 지표와 11월 국고채 금리 변동 간의 상관관계를 금융·보험업 중심으로 비교 분석하라.
21,2023년 10월 경상수지 흑자 요인을 서비스업 생산 감소와 광공업 생산 동향을 중심으로 분석하라.
22,2024년 4월 전산업생산 증가에 기여한 제조업 및 서비스업의 세부 업종별 성장 요인과 경상수지 변동의 영향을 종합적으로 비교 분석하라.
23,2024년 광의통화 증가가 주택 매매가격 하락 및 토지 가격 상승과 어떤 관련이 있나요?
24,"2021년과 2022년의 경제성장률, 종사상지위별 취업자 증감, 소비자물가 상승률을 비교하라."
25,2024년 8월 제조업 취업자 감소와 비경제활동인구 중 '쉬었음' 증가의 연관성을 분석하라.
26,"2022년 광공업 생산지수, 국내건설기성 민간부문 투자, 소매판매액지수"
27,"2023년 고용률, 제조업 취업자 증감율, 명목임금 증가율"
28,"2020~2021년 대미, 대일, 대EU의 수출입차와 원화환율 변동 비교"
29,"2019년과 2020년 제조업 성장률, 광공업 생산지수, 설비투자 지수 변화를 기반으로 코로나19가 한국 제조업 생태계에 미친 영향을 단계별로 분석하라."
30,"2021년 미국, 유로존, 한국의 소매판매 증감에 따른 소비자심리지수의 변화"
31,2022년 4월 제조업 생산 감소와 서비스업 생산 증가가 전산업생산에 미친 영향을 분석하라.
32,2023년 원/달러 환율 변동이 M2 광의통화 증가율에 미친 영향을 분석하라.
33,2024년 7월 서비스업 생산 증가 요인 중 운수·창고업과 정보통신업의 성과를 8월 주식 시장 하락 요인과 비교하여 분석하라.
34,2021년 1월~2월 국고채 금리 상승이 주택 매매거래량 및 토지 거래량 변동에 미친 영향을 비교하라
35,2024년 한국의 대미 무역수지 변화가 원/달러 환율 변동에 미친 영향을 분석하라.
36,2022년 11월 취업자 수 증가세 둔화와 소비자물가지수 상승폭 축소의 관계
37,2024년과 2025년 두바이 국제유가 하락률과 2025년 8월 전년동월비 물가 상승률은 어떻게 다른가요?
38,2022년 원유 도입 단가 상승과 원/달러 환율 변동이 국내 회사채 수익률에 미친 영향을 비교 분석하라
39,2022년 7월 부동산업 감소의 전산업생산 감소 주요 원인 여부
40,2024년 9월 한국의 콜금리와 유로존의 정책금리는 각각 얼마였나요?
41,"2022년 독일, 영국, 대만의 GDP 성장률은 각각 얼마였나요?"
42,"2020년부터 2022년까지 한국, 일본, EU의 환율 변동과 해당 국가들에 대한 수출입차 간의 상관관계를 비교 분석하라."
43,"2020년부터 2024년까지 일본과 한국의 GDP 성장률 및 1인당 GDP 변화를 비교 분석하고, 환율 변동과의 연관성을 설명하라."
44,"2020년과 2021년 제조업 성장률과 광공업 생산지수 변화율을 비교하고, 이 기간 설비투자 지수 변화가 미친 영향을 분석하라."
45,2023년 4월 전산업생산 감소가 광공업 및 서비스업 생산 감소와 어떤 상관관계가 있는지 분석하라.
46,2020년 한국의 통합재정수지와 유로존의 GDP 성장률은 각각 얼마였나요?
47,2023년 4월 M2 광의통화 증가율과 5월 코스피 시가총액 변동률을 비교하라.
48,2021년 10월 서비스업 중 예술·스포츠·여가 및 하수·폐기물 처리 업종의 전년동월비 변화율을 비교하라.
49,2021년 10월 서비스업 생산의 전월대비 변화율을 제시하시오.
50,2020년 외채 증가율과 M2 증가율 비교
51,2018년부터 2020년까지 한국의 대EU 수출액과 원/달러 환율 변동 간의 상관관계를 분석하라.
52,2020년 4분기부터 2021년 2분기까지 설비투자 지수 변동과 수출 증가율 간의 상관관계는 무엇인가요?
53,2021년 1월과 11월의 코스피 지수 차이
54,2022년 한국 원화의 대미 환율 약세가 EU와의 무역수지 적자 확대에 영향을 미쳤는가?
55,"2020년부터 2023년까지 한국 대미 및 대일 무역수지 변동과 원/달러, 엔/달러 환율 추이를 비교 분석하라"
56,"2023년 2월 고용률 상승과 실업률 하락의 주요 원인은 무엇이며, 비경제활동인구 변화와 어떤 관련이 있나요?"
57,"2023년 대미, 대일, 대EU, 대중 수출입차의 주요 특징과 차이점은 무엇인가요?"
58,2022년 4분기 광공업 생산지수 감소와 민간 건설투자 증가율 둔화의 연관성을 분석하라.
59,2023년 제조업 취업자 감소와 명목임금 증가율 간의 상관관계는 어떻게 되나요?
