query-id,text
1,관세평가분류원 HIT팀 결성 목적은 무엇인가?
2,관세평가분류원이 제공하는 전화문의와 사전심사신청의 연간 접수건수는 얼마인가?
3,관세평가분류원에 소속된 베테랑 관세공무원 수는 몇 명인가?
4,유럽에서 발생한 DMB 기능 추가 신형 휴대전화의 관세분류 분쟁에서 적용된 분류 유형은 무엇인가?
5,LCD 제조에 사용되는 특정 편광필름이 분류된 관세율(일반필름 기준)은 얼마인가?
6,HS분쟁신고센터가 2008년 이후 받은 컨설팅 신청 건수와 지금까지 확인된 경제적 효과 누적액은 얼마인가?
7,관세평가분류원이 FTA 확대에 대비하여 기업에 제공하겠다고 밝힌 컨설팅 서비스 방식은 무엇인가?
8,기업을 보호하기 위해 관세평가분류원이 설치한 센터 명칭은 무엇인가?
9,국제거래 상품에 부여되는 코드 명칭과 그 약칭은 무엇인가?
10,관세평가분류원이 분쟁 대응을 위해 기업에게 제공하는 주요 지원 활동에는 어떤 항목들이 포함되는가?
11,관세청 보도자료 발표일은 언제인가?
12,입국 또는 출국 시 미화 1만 달러 초과 소지 시 세관 신고 의무 여부는 어떻게 되는가?
13,2010년 1~7월 외환 및 위조지폐 밀반입 적발 건수와 전년대비 증감률은 얼마인가?
14,2006년부터 2010년(1~7월)까지 연도별 외환 밀반입 적발 건수는 어떻게 되는가?
15,인천공항세관에 시범 도입된 최신형 위폐감별기의 주요 기능은 무엇인가?
16,관세청이 전국 공항 세관에서 활용하고 있는 과학장비 종류는 무엇인가?
17,문서에 소개된 위조지폐 위장 수법 사례는 어떤 방식들이 있나?
18,관세청이 외환 밀반입 원천 차단을 위해 강화할 계획인 조치는 무엇인가?
19,문서에 실린 사진 사례 중 미화 100달러 다발 사이에 끼운 미화 1달러 묶음 적발 사례에 대한 설명은 무엇인가?
20,최신형 위폐감별기가 유가증권과 수표의 위조 여부를 실시간 판독할 수 있는가?
21,ECB는 유로지역 은행에 대한 배당금 지급 및 자사주 매입 중단 권고를 기존 10.1일에서 언제까지 연장했나?
22,연장 권고 발표일 또는 결정일은 언제였나?
23,ECB가 은행들에 코로나19 위기 상황에서 대출 지원을 위해 무엇을 요청했나?
24,2019년 유로지역 주요 은행별 배당금액(억유로) 목록은 어떻게 되나?
25,코로나19 영향의 비관적 시나리오에서 유로지역 은행의 보통주 자본비율(CET1)이 얼마나 하락할 것으로 제시되었나?
26,보통주 자본비율(CET1) 기본 시나리오와 비관적 시나리오 각각의 하락폭과 최종 비율은 무엇인가?
27,ECB는 배당 중단 등 조치의 지속 여부를 어느 시기에 결정할 예정인가?
28,문서에서 일부 은행이 연말에 배당을 재개할 가능성을 언급한 사례로 어떤 은행이 언급되었나?
29,ECB가 은행에 대해 주주 보상과 관련하여 어떤 자제를 요청했나?
30,문서 작성 또는 제공 날짜는 언제로 표시되어 있나?
31,2017년 7월 20일 일본은행 금융정책결정회의에서 단기금리를 얼마로 결정했나?
32,일본은행이 10년물 국채금리를 어느 수준으로 유지하기로 했나?
33,장기국채 매입의 연간 매입규모(잔액기준)는 얼마로 제시되었나?
34,ETF 및 REIT 매입 연간 규모는 얼마로 발표되었나?
35,CP 및 회사채의 잔액기준 유지 규모는 각각 얼마로 제시되었나?
36,2019년 성장속도에 영향을 미칠 것으로 문서에서 언급한 요인들은 무엇인가?
37,소비세율 인상 예정 시기와 인상폭은 어떻게 제시되었나?
38,물가안정목표 2% 달성 시기는 언제로 전망되었나?
39,정책위원 표결 결과는 찬성과 반대가 각각 몇 명이었나?
40,향후 물가경로의 리스크 요인으로 문서에서 제시한 항목들은 무엇인가?
41,일본은행 정책위원 전망에서 2017년도 실질 GDP 성장률 전망 범위는 얼마로 제시되었나?
42,4월 전망과 비교했을 때 2017년 및 2018년 성장률 전망은 어떻게 조정되었나?
43,2018년 미국이 세탁기와 태양광 패널에 관세를 부과한 날짜와 근거 법조항은 무엇인가?
44,2018년 3월 발표된 미국의 알루미늄 및 철강 관세 비율과 적용된 법조항은 무엇인가?
45,미국이 자동차 및 자동차 부품에 대한 관세 조사에 착수한 날짜와 관련 법조항은 무엇인가?
46,2018년 6월~7월에 발표된 중국산 제품에 대한 미국의 관세 계획 규모와 법적 근거는 무엇인가?
47,2018년에 중국과 EU가 미국에 대해 발표한 주요 보복 관세 조치의 사례와 일자는 무엇인가?
48,관세 부과가 향후 수개월 중 미국 PCE 물가에 미칠 것으로 추정되는 영향 규모는 얼마인가?
49,7월까지의 관세부과 조치가 추가 관세 부과까지 실행될 경우 총 물가 영향(bp) 추정치는 얼마인가?
50,2018년 6월 FOMC 의사록에서 무역정책 불확실성에 대해 제기된 우려 내용은 무엇인가?
51,문서에 수록된 무역정책 관련 불확실성 지수(Trade Policy Uncertainty Index) 그래프는 어느 페이지에 있는가?
52,"PIIE 연구 결과에 따르면 무역법 301조 대상 1,333개 품목 중 다국적 기업 비중은 얼마나 나타났는가?"
53,문서에서 언급한 건설업에 대한 관세부과 직접 비용 인상 효과 추정치와 관련 문제점은 무엇인가?
54,문서에서 제시한 10% 수준 관세가 제조업 수익에 미칠 수 있는 잠재적 영향은 어떻게 설명되었는가?
55,2017년 6월19일 브뤼셀에서 열린 Brexit 1차 협상에서 어떤 합의가 이뤄졌나?
56,1차 협상에서 영국과 EU가 우선적으로 다루기로 합의한 의제 세 가지는 무엇인가?
57,영국과 EU는 협상 순서에 대해 어떤 방식으로 합의했나?
58,향후 협상 일정으로 합의된 10월까지의 4차례 협상 날짜는 언제로 정해졌나?
59,문서에서 투자은행들은 1차 협상 결과를 어떻게 평가했나?
60,1차 협상 결과가 영국 정부의 Hard Brexit 원칙에 어떤 영향을 미칠 것으로 평가되었나?
61,문서에서 1차 협상 합의가 향후 Soft Brexit 기대를 높인 이유는 무엇이라고 설명했나?
62,문서에서 임시협정(임시합정) 체결 가능성에 대해 어떤 전망을 제시했나?
63,영국 언론들은 1차 협상 결과에 대해 어떤 우려를 표명했나?
64,문서에서 향후 갈등이 다시 확대될 것으로 예상되는 구체적 사안은 무엇인가?
65,문서에서 'divorce bill'로 표기한 사항은 무엇이며 협상 우선순위에 어떻게 포함되었나?
66,문서에서 1차 협상이 형식상 진전에 더 가깝다고 평가한 근거는 무엇인가?
67,메탈베이블레이드 위조 팽이 몇 개가 적발되었나?
68,적발된 위조 팽이의 시가 총액은 얼마인가?
69,위조 팽이는 어느 나라에서 밀수입되었나?
70,관세당국이 구속한 주요 피의자 직업은 무엇인가?
71,세관이 불구속 입건한 도매상 인원은 몇 명인가?
72,수입상 K씨가 위조 팽이를 세관에 신고할 때 사용한 수법은 무엇인가?
73,컨테이너에 수입제한 품목과 수입제한 없는 품목을 함께 넣은 이유는 무엇인가?
74,국내 저작권자 (주)손오공이 위조 메탈베이블레이드에 대해 제기한 안전 우려는 무엇인가?
75,세관이 파악한 위조 팽이 주요 이용자층과 유통경로는 무엇인가?
76,세관이 향후 수사를 확대하려는 대상은 어디인가?
77,정치·사회 이슈를 가장 많이 접하는 매체와 해당 비율은 무엇인가요?
78,신문기사로 정치·사회 이슈를 접한다고 응답한 비율은 얼마인가요?
79,주변 지인과의 대화로 정치·사회 이슈를 접한다고 응답한 비율은 얼마인가요?
80,정치·사회 이슈를 주제로 하는 유튜브 채널을 통해 정보를 얻는 비율은 얼마인가요?
81,연령대별로 SNS를 통해 정치·사회 이슈를 접한다고 응답한 비율은 어떻게 되나요?
82,각 매체별 신뢰도에서 주변 지인과의 대화 신뢰도는 얼마인가요?
83,라디오를 신뢰한다고 응답한 비율은 얼마인가요?
84,온라인 카페·커뮤니티 사이트를 신뢰한다고 응답한 비율은 얼마인가요?
85,어떤 매체가 정치적 의사결정(투표·정치적 의견 형성 등)에 가장 큰 영향을 준다고 응답했나요?
86,정치·사회 채널이 정치적 의사결정에 영향을 미친다고 답한 비율은 얼마인가요?
87,채널을 참고해 정치적 의사결정을 한다고 답한 응답자들이 채널을 참고하는 주된 이유는 무엇인가요?
88,60세 이상 응답자 중 TV뉴스가 특정 진영의 논리만을 대변한다고 응답한 비율은 얼마인가요?
89,50-59세 응답자 중 TV뉴스가 왜곡된 정보를 담고 있다고 응답한 비율은 얼마인가요?
90,팟캐스트를 통해 정치·사회 이슈를 접한다고 응답한 비율은 얼마인가요?
91,온라인 카페·커뮤니티를 통해 정치·사회 이슈를 접한다고 응답한 비율은 얼마인가요?
92,재킷 형태의 스쿠버 다이빙용품에 부착된 콤비네이션 밸브의 기능은 무엇인가?
93,재킷 형태의 스쿠버 다이빙용품에서 벨트의 주된 역할은 무엇인가?
94,재킷 형태의 스쿠버 다이빙용품 사진에서 가슴쪽과 등쪽 사진은 각각 무엇을 보여주는가?
95,관세청은 재킷 형태의 스쿠버 다이빙용품을 최종적으로 어떤 품목번호(HS코드)로 결정했나?
96,관세청이 재킷 형태의 스쿠버 다이빙용품을 초기에는 어떤 품목번호로 분류했으며 당시 관세율은 얼마였나?
97,미국과 일본 등 외국의 품목분류 사례에서는 재킷 형태의 스쿠버 다이빙용품을 어떤 품목으로 분류했나?
98,관세청이 재킷 형태의 스쿠버 다이빙용품 분류 결정을 내리기 위해 참고한 국제기구는 어디인가?
99,관세품목분류위원회는 어떤 법적 근거로 언제부터 설치·운영되고 있나?
100,관세품목분류위원회 위원 구성과 회의 시 위원 수 지정 방식은 어떻게 되나?
101,관세청이 재킷 형태의 스쿠버 다이빙용품 분류 결정을 위해 개최한 위원회 회의 날짜는 언제였나?
102,2023년 10월 한국 신발 시장 규모는 얼마로 추정되었나?
103,2023년 10월 한국 신발 매출 순위에서 1위를 차지한 브랜드는 무엇이며 해당 브랜드의 판매 전략은 무엇이었나?
104,2023년 10월 매출 순위에서 2위를 차지한 브랜드의 주요 제품 포지셔닝과 타깃 소비자층은 누구였나?
105,2023년 10월 매출 순위에서 3위 브랜드가 특히 강세를 보인 제품군과 마케팅 활동은 무엇이었나?
106,운동화 및 스니커즈 카테고리가 2023년 10월에 신발 시장에서 중요한 이유는 무엇인가?
107,캐주얼화 수요가 10월에 증가한 원인과 소비자 반응은 무엇인가?
108,고가 럭셔리 신발 시장의 10월 동향과 럭셔리 신발에 대한 소비자 관심 양상은 어떠했나?
109,한정판 스니커즈가 리셀 시장에서 높은 가치를 기록한 이유는 무엇인가?
110,2023년 10월 신발 시장에서 주요 브랜드들이 활용한 마케팅 활동 유형은 무엇인가?
111,문서에서 제시한 2023년 10월 신발 시장의 결론 및 향후 전망은 무엇인가?
