query-id,text
0,스피어 피싱을 통한 최초 침투 후 공격자가 사용하는 지속성 확보 기법을 분석하라.
1,Log4j 취약점 대응을 위해 SBOM 관리 체계와 침해 평가 수행 절차를 어떻게 연계해야 하는가?
2,13개 국가의 공인인증서 활용 사례와 한국의 DID 기술 한계를 설명하라.
3,차등 백업과 중복제거 백업 방식의 저장 효율성과 복구 과정에서 어떤 차이가 있나요?
4,MITRE ATT&CK for Enterprise와 ATT&CK for ICS 버전 간 전술 및 기술 수량의 차이는 어떻게 다른가요?
5,"코로나19, 사스, 신종플루, 메르스 이슈를 악용한 사이버 공격 유형의 차이점을 비교하라."
6,"XSS 취약점을 이용한 피싱 공격에서 phproxy가 계정정보 탈취에 어떻게 활용되며, 재로그인 유도 페이지와의 연관성은 무엇인가요?"
7,악성코드 공격에서 '서비스 실행'과 '보안 소프트웨어 탐색'의 기술 사용 빈도 차이는 얼마나 되나요?
8,"업무용 이메일 서비스 이용 현황과 계정 비밀번호 관리 방식, 2단계 인증 사용률 간의 상관관계는 무엇인가요?"
9,Enterprise ATT&CK 매트릭스에서 호스트 탐지가 효과적인 5개 카테고리와 각 카테고리에서 가장 빈번히 발생하는 기법은 무엇인가요?
10,스피어피싱 메일에 첨부된 악성 한글 문서 공격과 LLMNR/NBT-NS 프로토콜 스푸핑 공격의 대응 전략 차이점은 무엇인가요?
11,드랍퍼 악성코드의 -s 옵션 실행 시 RC4 키 복호화 과정과 서비스 등록 절차를 설명하시오
12,"Ubuntu 22.04 LTS와 CentOS 8 시스템에서 해킹진단도구를 실행하기 위해 필요한 배포 파일은 무엇이며, 각 시스템의 아키텍처는 어떻게 다른가요?"
13," 원격 명령 서비스 비정상 계정 생성, 데이터 유출 탐지 시 해킹진단도구를 활용한 대응 절차를 설명하시오."
14,"Enterprise ATT&CK의 5개 탐지 가능 카테고리에서 발생 빈도가 가장 높은 공격 기법을 식별하고, 해당 기법을 탐지하기 위한 이벤트 로그 및 Sysmon 기반 전략을 설명하시오."
15,"코로나19 상황을 악용한 사이버 공격에서 특정 종교집단 관련 문서 위장 악성코드, 가짜 정보 페이지 유도 APK 설치, 그리고 구독 회원 유치를 위한 메신저 피싱 전략이 어떻게 연계되어 있나요?"
16,"개인 정보, 가명 정보, 익명 정보는 각각 무엇이며, 이와 관련된 법조항은 무엇인가?"
