query-id,text
81623,기온역전은 어떤 경우를 의미하나요?
16079,2021년과 2022년의 신규사업장 통합 허가 처리 건수 합계는?
15580,승합차의 비율은 몇 퍼센트인가요?
60438,두꺼비 집단산란지인 경기 광주시 양촌마을의 임상은 뭐야?
60227,제품 생산량이 가장 높은 달은 언제인가요?
94547,생명 및 건강 편익의 유효 퍼센트는 얼마지?
89080,식수 고도처리 방법에서 활성탄과 오존 중 카바마제핀을 더 잘 없앨 수 있는 것은 무엇이니?
91201,1994년에 몇 건의 폭발물 사고가 발생했나요?
41206,백제보에서 채집된 총 개체 수는 몇 개체입니까?
146674,제4기 모니터링 대상 물질 제안 및 산단 주변 주민 환경 보건 관리 방안 마련 단계에서 어떤 기초자료를 제공합니까?
58549,2종과 3종 중 전체 사업장의 수가 더 많은 쪽은 어디일까?
63258,어업 회복을 위해 댐과 보가 철거된 비율은 몇 퍼센트인가요?
11145,Project WET 교육목표는 몇 가지 영역으로 구분됩니까?
149563,2020년 수송 배출량은 얼마니?
79181,2021년 가장 작은 면적을 가진 도시는 어디인가?
88572,한강수계 하천의 2011년 목표기준 달성률은 몇 퍼센트니?
88737,2009년~2011년 중 생활계 폐플라스틱의 발생량은 어느 해에 가장 많았나요?
27460,한강과 낙동강의 중권역을 합하면 몇 개인가요?
84785,"2010년, 2013년, 2015년 중 조류가 가장 적게 조사된 해는 언제니?"
112690,1998년 금호강 하류에서 가장 높게 나타난 배출 유형은 무엇입니까?
113053,물발자국 지속가능성 평가는 몇 번째 단계에서 진행되니?
30268,강원권 겨울철새 서식지의 rRT-PCR 검사에서 M 유전자 양성 건수는 몇 건이야?
5580,2004년과 2012년의 미세먼지 농도는 몇 ㎍/㎥ 차이가 나니?
45003,어류 폐사 원인 분석 총괄은 어디서 하니?
27682,"'21년 기준 시설별 처리량 현황을 보았을 때, 공공폐수(산업)의 비율은 얼마나 되나요?"
21889,외부 공개용 홈페이지를 통해 누구에게 정보를 제공하지?
99642,2002년부터 2010년까지 양서류의 다양도가 가장 높은 해는 언제인가?
105835,소형 복합 DPF 장치 모니터링 체계도에서 모니터링은 몇 단계로 이루어지는가?
111024,1992년에서 2017년 사이에 조사된 국내 어류 폐사 원인은 몇 가지인가요?
81781,유수성 종수가 가장 많은 해는 언제인가요?
79693,꼬마물떼새와 흰목물떼새 중 내성천 5구간에 더 많이 출현한 것은 뭘까?
47795,중금속에 노출된 주민에 대한 사후 모니터링에 불참한 사람의 수가 가장 적은 해는 언제야?
42416,2009년 서울시와 인천시 중 더 많은 오존주의보를 발령한 지역은 어디니?
84951,증도면의 65세 이상 인구율은 얼마니?
105834,인증 취소 심의를 담당하는 기관은 어디야?
91210,2005년에 총 몇 건의 테러 사건이 발생했어?
111027,기타 원인은 전체의 몇 퍼센트를 차지하나요?
99238,지형 및 지질 항목의 입지 및 계획 검토의견의 전체 건수는 몇 건인가요?
20649,APP이 데이터를 요청하기 위해 하는 일은 뭐야?
111021,2000년과 2001년 중 어류 폐사 발생 건수가 더 많은 해는 언제인가요?
81617,"2015년 기준 PM₂.₅, NO₃⁻, SO₄²⁻ 중 농도의 평균값이 가장 높은 것이 뭐야?"
146702,2020년 6월 평균 구미 관측소의 기온은 몇 도인가요?
149995,교통량 데이터 수집 지점 수는 대전과 울산 중 어느 지역에 더 많아?
45382,DB 취약점 분석 절차에서 DB 내부 접속과 취약점 Scan 중 나중에 이루어지는 작업은 뭐지?
28384,문헌 본문을 통한 문헌 선택 과정에서 선택된 문헌의 수는 몇 개인가?
63239,2020년 국가 생물종 목록 중 어떤 것이 15%를 차지하나요?
113351,유통량 흐름 및 개념에서 사용량에 포함되는 것은 뭐야?
89076,식수 처리 공정 시 염소처리 방법으로 이부프로펜은 몇 %를 처리할 수 있을까요?
39991,배출량 산정 및 모니터링 체계의 구축 관리체계 조직에서 실무자는 어떤 역할을 해?
48130,2018년 과학 기술적 특허 등록 건수는 몇 건이지?
23611,2018년의 플라스틱 재활용 비율은 얼마나 되지?
92931,천안시와 평택시 중 하수도 보급률이 더 높은 곳은 어디입니까?
54650,기타지역에서 부지경계선 복합악취 평균농도가 5이하일 경우 평가점수는 몇 점이니?
11182,운영지원팀은 어느 기관과 함께 운영되니?
49917,농어촌 지하수 관측망 수위 변동폭은 홍성1과 홍성2지점 중 어느 곳이 더 높니?
