query-id,text
0,하이테크섬유소재 산업에서 산업용 테크니컬 섬유의 시장 성장 전망이 연구개발 인력 비중 변화에 어떤 영향을 미치고 있나요?
1,「소재·부품·장비 2.0전략」으로 확대된 GVC 핵심품목 수와 2022년 국내 첨단화학소재 시장 규모는 각각 얼마인가요?
2,2023년 유연근로제도 도입 이유 중 '근로자의 일·가정 양립 지원'과 이에 대한 도입 효과 중 '매우 긍정적' 응답 비율의 관계를 비교 분석하라.
3,산업용 첨단화학소재의 연구개발 인력 부족률은 얼마인가요?
4,차세대세라믹소재 소분류의 KSIC 매칭 결과 및 직무별 인력 현황
5,"차세대 세라믹소재 분야에서 광·전자 세라믹소재 생산기술 직무의 인력 수요 증가에 가장 큰 영향을 미치는 학력 수준은 무엇이며, 이는 전체 연평균증가율에 어떻게 기여하나요?"
6,육아휴직 수당 지급률과 복귀율에 대한 산업별・규모별 비교
7,차세대세라믹소재 분야별 매출 성장률과 산업기술인력 기여율의 관계를 비교하라.
8,"건축감리기술자의 일자리 전망을 좌우하는 주요 요인들은 무엇이며, 이들이 건축감리기술자의 자격 요건과 경력 등급 체계에 어떤 영향을 미치고 있나요?"
9,하이테크섬유소재 분야의 인력 부족 문제가 2032년 생산기술 및 연구개발 인력 수요 전망에 미치는 영향을 분석하라.
10,상·하수도처리장치조작원의 일자리가 현 상태를 유지할 것으로 전망되는 주요 원인과 감소 요인은 무엇인가요?
11,"KT의 스타오디션, 롯데그룹의 SPEC태클 채용, 제니퍼소프트의 블라인드 채용 절차에서 직무역량 평가 방식의 차이점을 비교하라."
12,통신장비 설치·보수·감리 기술자와 조경원의 직업 성장 동력 및 제약 요인을 비교하라.
13,목재가공기계조작원과 펄프종이제조장치조작원의 향후 10년 일자리 전망 증가 요인 및 감소 요인
14,주유원과 계산원의 향후 10년간 일자리 감소에 영향을 미치는 과학기술 발전 요인을 비교하라.
15,신기능 금속복합소재 분야에서 연구개발 활동 차질 비중은 초고성능 철강 소재 분야와 얼마나 차이가 나는가?
16,숙박 및 음식점업의 고용보험 가입률 격차와 광업의 시간당 임금 격차가 동일한 수치를 보이는가?
17,2019년 대비 2022년 첨단화학소재 산업에서 생산기술 직무 퇴직률 증가와 채용 규모 확대 간의 상관관계를 분야별로 비교하라.
18,신기능 금속복합소재 분야에서 신입직 퇴직률이 높은 반면 석·박사 채용률도 높은 현상이 나타나는 이유는 무엇인가요?
19,초고성능 철강소재 분야의 산업기술인력 수요 증가율이 다른 분야에 비해 높은 이유는 무엇인가요?
20,제조업과 건설업에서의 육아휴직제도 인지도와 난임치료휴가제도 활용률 간의 차이는 어떻게 다른가요?
21,하이테크섬유소재 분야별 사업 참여단계와 매출액 비중의 차이점은 무엇인가요?
22,이차전지 산업에서 재사용·재활용 분야의 높은 퇴직률(14.4%)과 자격증 중심 채용 기준(37.0%)은 어떤 상관관계를 가지는가?
23,"도배공과 유리부착원의 주요 업무 내용, 작업 환경, 향후 일자리 전망 요인은 각각 어떻게 다른가요?"
24,차세대세라믹소재 산업에서 대졸 학력의 연평균증가율이 전체 평균보다 낮은데도 광·전자 분야에서 기여율이 높은 이유는 무엇인가요?
25,에너지·환경 세라믹소재의 매출 증가율과 연구개발 활동 차질 간의 관계
26,건축구조기술자와 건축시공기술자의 일자리 전망 요인에 대하여 '증가 요인'과 '감소 요인'을 각각 비교 분석하라.
27,육아기 근로시간 단축제도와 대체인력지원금의 인지도를 사업체 규모별로 비교하라.
28,향후 10년간 산업안전 및 위험관리원과 비파괴검사원의 일자리 전망은 각각 어떤 요인에 의해 증가 또는 감소 추세로 전망되나요?
29,첨단화학소재의 5단계 조사 프로세스와 산업 분류 체계의 계층 구조를 분석하라.
30,"2021년 석유화학산업과 2022년 플라스틱산업의 수출 상위 5개국 중 공통된 국가는 무엇이며, 이는 세계 화학시장에서의 중국 점유율 변화와 어떤 관계가 있는가?"
31,가축사육종사원의 일자리 전망에 영향을 미치는 증가 요인과 감소 요인을 비교하여 설명하시오.
32,2023년 여성 임원 비율과 인사관리 성평등 인식 조사 결과 사이에 어떤 상관관계가 있는가?
33,첨단화학소재 생산기술 인력 급증 및 신기술 교육 부족의 관계
34,웹개발자 및 웹기획자 취업자 수 증감률 비교
35,사진인화·현상기조작원과 목재가공기계조작원의 향후 10년간 일자리 전망 차이와 그 원인을 비교 분석하라.
36,첨단화학소재 산업기술인력의 학력별·직무별 부족률과 2022~2032년 전망된 인력 증가율 사이에 어떤 상관관계가 있나요?
37,이차전지 시장의 글로벌 과점 체계와 재사용·재활용 분야의 전담인력 부족이 산업 성장에 미치는 영향은 무엇인가요?
38,엔지니어링 세라믹소재 분야의 생산기술 인력 부족 현황과 향후 10년간 연평균증가율을 비교하라.
39,중대재해처벌법 시행이 산업안전 및 위험관리원 일자리 전망에 미치는 영향을 설명하시오.
40,이차전지 산업에서 구매·영업·시장조사 직무의 퇴직률과 채용률은 각각 몇 퍼센트인가요?
41,데이터베이스 개발·관리직과 정보시스템운영자의 일자리 전망 증가율 차이와 주요 영향 요인을 비교하라.
42,신기능 금속복합소재 분야에서 매출액 비중과 연구개발비 비중이 사업체 규모별로 어떻게 다른가요? 또한 이 분야의 산업기술인력 분포 변화는 어떤 추세를 보이고 있나요?
43,연구 분야에서 일자리 전망이 '다소 증가'로 예측되는 직업들은 어떤 주요 요인에 의해 영향을 받는가?
44, 2023년 부산광역시와 경상북도의 출산휴가 후 퇴직률과 난임치료휴가 인식률
45,'부모 모두 자녀 생후 12개월 내 육아휴직 시 첫 3개월 통상임금 100% 지원' 제도 인지도 분석 결과에서 가장 인지도가 높은 업종에 대해서 이야기하시오.
46,재량근무제 원격근무제 재택근무제 도입률 평균 활용인원 비교
47,산업용 첨단화학소재 분야의 높은 인력 증가율과 채용 시 정보 부족 문제 간의 관계를 분석하시오.
