query-id,text
0,독일의 E.ON과 RWE 합병 전략이 2021년 초 육상 풍력 발전 수요 커버리지 급등에 어떤 영향을 미쳤는가?
1,2012년 이후 도시가스 요금과 2024년 일반용 보완전력요금의 계절별 차등 적용 방식은 어떻게 다른가요?
2,석탄 화력발전과 재생에너지의 도매가격 결정 방식은 어떤 차이가 있나요?
3,덴마크 송전계통의 HVDC 연결 구조와 배전 지역 회사들의 관할 구역은 어떻게 다른가요?
4,"대전광역시 기반산업과의 에너지산업팀과 에너지보급팀의 주요 업무는 무엇이며, 다른 광역지자체의 에너지 전담부서 구조와 어떻게 다른가요?"
5,2018년 수정된 로드맵의 국내 감축 목표와 대전광역시 직접배출량 감소율을 에너지 부문 중심으로 비교하라
6,대전광역시에서 상업시설과 공공시설의 태양광 에너지 활용도가 다른 신재생에너지원과 비교해 현저히 높은 이유는 무엇인가요?
7,2018년 수정된 로드맵의 국내 감축 목표와 대전광역시 직접배출량 감소율을 에너지 부문 중심으로 비교하라
8,스페인의 국가 에너지 및 기후변화 통합계획(NECP)과 영국의 신규 원전 및 SMR 도입 전략이 탄소중립 목표 달성에 어떻게 다른 방식으로 기여하는가?
9,MISO의 석탄 발전 비중이 높은 것이 재무적송전권시장 결제금액 비중과 관련이 있는가?
10,석유대체연료의 품질검사 주기와 검사 방법을 석유제품과 비교하여 설명하시오.
11,2011년에 폐목재가 바이오에서 폐기물로 카테고리가 변경되었나요?
12,"2023년 프로판, 부탄, 휘발유, 등유의 건물 부문 소비량 차이는 무엇인가요?"
13,주요 ISO의 가상입찰 시스템과 실시간시장 입찰 방식에서 재생에너지 처리 방식의 차이점을 설명하라.
14,"대전광역시의 신재생에너지 세부사업 중 산업단지 태양광, 영농형 태양광, 대학교 태양광 사업의 주요 차이점(사업 규모, 재원 구조, 법적 근거)은 무엇인가요?"
15,독일 현물시장 참가자 수 감소가 선물시장 비중 확대와 시장 구조 분화와 관련이 있나요?
16,덴마크의 2020~2030 에너지 합의와 2022년 에너지 독립 계획을 비교하여 2050년 탄소중립 목표 달성 전략을 설명하시오.
17,"EU, 프랑스, 일본, 미국의 산업 및 건물 부문에서 에너지효율 향상을 위한 주요 정책과 CCS 확대 전략을 비교하라."
18,2030년 국가 온실가스 감축 목표 달성을 위해 에너지효율 혁신전략과 기후변화대응 기본계획에서 제시하는 주요 추진과제를 부문별로 비교 분석하라.
19,유럽 통계청과 ACER 보고서에서 독일의 산업용 전기요금 순위가 다르게 나타나는 이유는 무엇인가요?
20,대전광역시 테크노파크 에너지자립단지 도심형 마이크로 그리드 사업과 산업단지 수소연료 전지 발전사업의 민간 투자 금액을 비교하시오.
21,2013년부터 2019년까지 유성구와 대덕구에서 추진한 지역에너지절약사업의 세부 사업명과 연도별 투자 금액을 구별로 비교 분석하시오.
22,정유업종 부가가치 감소 추세와 서비스 부문 에너지 소비 회복 비교
23,"2023년 항공유, 등유, 경유, 중유의 건물 부문 최종 소비량 합계는 얼마인가요?"
24,"대전광역시 산업단지, 영농형, 대학교 태양광 사업의 총 설비용량이 폐기물 에너지 기술적 잠재량을 초과하는가?"
25,2019년 스페인 하루 전 시장과 당일 시장의 전력 거래량 차이를 테라와트시 단위로 계산하시오.
26,중국의 탄소배출권 거래 시장의 단계별 주요 차이점은 무엇인가요?
27,승용차 요일제 이행확인 시스템 구축 사업에 2013년에 집행된 예산은 이후 동일 사업에 예산이 미집행된 이유는 무엇인가요?
28,2023년 에너지 플로우 에너지산업자체소비의 산업부문 포함 여부
29,2017년 기준 대전광역시와 광주광역시의 최종에너지 원별 소비 비중 및 전국 대비 비교
30,대전광역시의 지리적 특성이 에너지이용합리화 추진에 어떻게 반영되었는가?
31,대전광역시 기반산업과의 에너지산업팀과 에너지보급팀이 타 광역지자체의 에너지 담당부서와 비교해 에너지 정책 집행에 어떤 차이점을 보일 수 있나요?
32, 1990~2023년 중동의 원유 수입 비중 및 국가별 수입단가 비교
33,전력광역운영기관과 일본 전력거래소(JEPX)의 전력시장 운영 역할 차이를 설명하라.
